mode,seed,policy,epoch,n_active,churn_units,churn_frac,binding_commitments,commitment_infeasible,capacity_violation,mean_completion,mean_quality
full,3443763727,reoptimize,0,5,1569,0.9961904761904762,0,0,0,0.0,0.0
full,3443763727,reoptimize,1,5,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,2,5,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,3,5,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,4,5,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,5,5,1,0.0006349206349206349,0,0,0,0.0,0.0
full,3443763727,reoptimize,6,6,641,0.406984126984127,0,0,0,0.0,0.0
full,3443763727,reoptimize,7,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,8,5,369,0.2342857142857143,0,0,0,0.0,0.0
full,3443763727,reoptimize,9,5,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,10,6,733,0.4653968253968254,0,0,0,0.0,0.0
full,3443763727,reoptimize,11,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,12,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,13,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,14,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,15,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,16,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,17,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,18,7,622,0.3949206349206349,0,0,0,0.0,0.0
full,3443763727,reoptimize,19,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,20,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,21,6,393,0.24952380952380954,0,0,0,0.0,0.0
full,3443763727,reoptimize,22,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,23,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,24,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,25,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,26,6,499,0.31682539682539684,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,reoptimize,27,6,0,0.0,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,reoptimize,28,6,0,0.0,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,reoptimize,29,6,0,0.0,0,0,0,0.06666666666666667,0.0662455318759751
full,3443763727,reoptimize,30,6,473,0.42883046237534,0,0,0,0.06666666666666667,0.05751895983385041
full,3443763727,reoptimize,31,6,0,0.0,0,0,0,0.06666666666666667,0.05751895983385041
full,3443763727,reoptimize,32,6,394,0.357207615593835,0,0,0,0.0,0.0
full,3443763727,reoptimize,33,6,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,34,7,474,0.42973708068902994,0,0,0,0.0,0.0
full,3443763727,reoptimize,35,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,36,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,37,8,560,0.5077062556663645,0,0,0,0.0,0.0
full,3443763727,reoptimize,38,8,84,0.07615593834995467,0,0,0,0.0,0.0
full,3443763727,reoptimize,39,8,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,40,7,233,0.2112420670897552,0,0,0,0.0,0.0
full,3443763727,reoptimize,41,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,42,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,43,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,44,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,45,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,46,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,47,7,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,48,7,357,0.3236627379873073,0,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,reoptimize,49,7,0,0.0,0,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,reoptimize,50,7,0,0.0,0,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,reoptimize,51,7,0,0.0,0,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,reoptimize,52,7,0,0.0,0,0,0,0.028571428571428574,0.018250919017815333
full,3443763727,reoptimize,53,6,290,0.2629193109700816,0,0,0,0.0,0.0
