seed,policy,schedule_hash,admissions,entrants_offered,mean_waiting_time,protected_agent_epochs,active_floor_epochs,infeasible_floor_epochs,discrete_floor_violations,floor_shortfall_total,scaled_floor_shortfall_total,mean_floor_shortfall,lease_expiries,mean_churn_frac,mean_incumbent_utility_change,worst_incumbent_loss,shortfall_epochs,mean_shortfall_scale,noop_events,capacity_violations
3443763727,reoptimize,24b379b26f52af64,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.07216587949171811,0.016886448067911418,-33.396000000000015,0,1.0,5,0
3443763727,permanent_floors,24b379b26f52af64,5,5,0.0,483,99,30,119,3132.8478665851076,0.0,26.326452660379054,0,0.0736685230755947,0.12926710279156806,-56.91987179487178,0,1.0,5,0
3443763727,leases,24b379b26f52af64,5,5,0.4,440,99,2,28,236.98555413578663,0.0,8.463769790563807,41,0.08173998762394047,0.4674426986450667,-94.31952662721893,0,1.0,5,0
3443763727,leases_shortfall,24b379b26f52af64,5,5,0.4,440,99,2,26,3.5432464434789424,0.3654072498663652,0.1362787093645747,41,0.07651786613708644,0.4674426986450667,-94.31952662721893,2,0.9996142387390137,5,0
1732094786,reoptimize,c9dd15f232ccef7b,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06292900709759833,-0.1894179588462521,-26.834394904458605,0,1.0,8,0
1732094786,permanent_floors,c9dd15f232ccef7b,5,5,4.8,491,99,22,90,2507.9563359568497,0.0,27.866181510631662,0,0.06646319654171848,0.17736770230722898,-35.299145299145295,0,1.0,8,0
1732094786,leases,c9dd15f232ccef7b,5,5,2.8,458,97,5,14,115.38853503184706,0.0,8.242038216560504,43,0.07107491815344011,-0.07011557972169008,-37.19841269841269,0,1.0,8,0
1732094786,leases_shortfall,c9dd15f232ccef7b,5,5,2.8,458,97,5,24,2.6515933066396755,1.8699901021313536,0.11048305444331981,43,0.07158041265893461,-0.07011557972169008,-37.19841269841269,5,0.9997026920318604,8,0
3339037984,reoptimize,92494ac5c6f922dd,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.07555810437364395,-0.10519112875658315,-22.34375,0,1.0,5,0
3339037984,permanent_floors,92494ac5c6f922dd,5,5,0.4,499,99,20,153,1836.474218202076,0.0,12.003099465373046,0,0.06945557611054012,0.25327772145575334,-43.59763313609468,0,1.0,5,0
3339037984,leases,92494ac5c6f922dd,5,5,1.0,454,99,4,28,311.7030419618474,0.0,11.132251498637407,42,0.08201214114422747,0.3501044865269752,-66.02884615384616,0,1.0,5,0
3339037984,leases_shortfall,92494ac5c6f922dd,5,5,1.0,454,99,4,27,2.8582061861597055,0.49108506530132345,0.1058594883762854,42,0.078643023866621,0.3492839688975679,-66.02884615384616,4,0.9997263550758362,5,0
3143681886,reoptimize,cfe40258713b1323,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06341207329829934,0.06985257436675148,-25.84615384615384,0,1.0,4,0
3143681886,permanent_floors,cfe40258713b1323,5,5,5.4,595,99,9,71,1152.756272487541,0.0,16.236003837852692,0,0.06403777645124563,0.42807339342649825,-56.46153846153848,0,1.0,4,0
3143681886,leases,cfe40258713b1323,5,5,0.4,566,99,4,37,150.43787497743762,0.0,4.06588851290372,54,0.07551773497015866,0.4046192554893287,-66.53254437869822,0,1.0,4,0
3143681886,leases_shortfall,cfe40258713b1323,5,5,0.4,566,99,4,25,4.270341840367735,0.8373886994489794,0.1708136736147094,54,0.07454825561647824,0.4046192554893286,-66.53254437869822,4,0.9998745918273926,4,0
1439426857,reoptimize,6adcbab77a99cc20,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06474356502458305,-0.10337601373084492,-19.92708333333333,0,1.0,7,0
1439426857,permanent_floors,6adcbab77a99cc20,5,5,2.2,521,99,10,67,919.8317617523691,0.0,13.728832264960733,0,0.05815837132114968,0.3355053925019079,-30.51488095238095,0,1.0,7,0
1439426857,leases,6adcbab77a99cc20,5,5,0.6,482,98,2,34,39.055069474396,0.0,1.1486785139528235,47,0.07106571318395284,-0.049420860819270974,-45.33783783783782,0,1.0,7,0
1439426857,leases_shortfall,6adcbab77a99cc20,5,5,0.6,482,98,2,32,3.0237751540054205,0.4539413624270736,0.09449297356266939,47,0.06911673162468496,-0.060059757209584626,-45.33783783783782,2,0.9999129772186279,7,0
4181838513,reoptimize,d916bfb63c6ef570,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06499790779611574,-0.00048313835404700323,-23.91129032258064,0,1.0,2,0
4181838513,permanent_floors,d916bfb63c6ef570,5,5,5.2,627,99,21,142,2930.6468967273804,0.0,20.638358427657607,0,0.06853171230163416,0.3260769376074619,-52.26612903225808,0,1.0,3,0
4181838513,leases,d916bfb63c6ef570,5,5,1.8,585,97,2,57,42.20277815340077,0.0,0.7403996167263294,59,0.07024300390632175,0.24467112922771275,-44.0,0,1.0,3,0
4181838513,leases_shortfall,d916bfb63c6ef570,5,5,1.8,585,97,2,49,5.801088953288556,0.6945554665089446,0.11838957047527665,59,0.06894581126353375,0.24467112922771284,-44.0,2,0.9997861385345459,3,0
2911385241,reoptimize,d8cc7233c0389ecd,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06425548535305889,0.036619483890929554,-32.03092783505154,0,1.0,6,0
2911385241,permanent_floors,d8cc7233c0389ecd,5,5,1.4,492,99,30,148,2781.082057596202,0.0,18.79109498375812,0,0.06362032085127715,0.3928452667841907,-32.89690721649485,0,1.0,6,0
2911385241,leases,d8cc7233c0389ecd,5,5,1.8,447,98,3,31,112.69124178713871,0.0,3.6352013479722163,43,0.07327425832445775,0.24248559961213145,-43.93814432989689,0,1.0,6,0
2911385241,leases_shortfall,d8cc7233c0389ecd,5,5,1.8,447,98,3,27,2.253406052958269,0.3622259401506085,0.08345948344289884,43,0.06821020406673356,0.24248559961213145,-43.93814432989689,3,0.9997288386027018,6,0
1861291672,reoptimize,23a488dd2186e750,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06468371624917418,-0.12083003018723812,-67.95238095238096,0,1.0,8,0
1861291672,permanent_floors,23a488dd2186e750,5,5,1.4,336,99,10,48,719.0860820340462,0.0,14.980960042375962,0,0.06102143134990954,0.2190806403967905,-67.95238095238096,0,1.0,8,0
1861291672,leases,23a488dd2186e750,5,5,1.4,309,99,10,34,695.1805615048528,0.0,20.446487103083907,27,0.06486555239288955,0.4112590913022805,-130.27127659574467,0,1.0,8,0
