comparison,metric,mean_diff,ci_lo,ci_hi,n_pairs
permanent_floors_minus_reoptimize,task_completion,0.01570192063492063,0.009835667460317459,0.022095632142857136,100
permanent_floors_minus_reoptimize,task_quality,0.014684733955435007,0.008932183107733848,0.020836040664793876,100
permanent_floors_minus_reoptimize,entrant_admission_rate,0.0,0.0,0.0,100
permanent_floors_minus_reoptimize,mean_waiting_time,3.2460000000000004,2.5539,3.9505499999999976,100
permanent_floors_minus_reoptimize,worst_incumbent_loss,-0.06600000000000002,-0.11405000000000001,-0.018000000000000006,100
permanent_floors_minus_reoptimize,mean_churn_frac,-0.008692860510296593,-0.010862690953963937,-0.006601349071075999,100
permanent_floors_minus_reoptimize,mean_binding_commitments,0.7761999999999998,0.7331975,0.8248149999999996,100
permanent_floors_minus_reoptimize,commitment_infeasibility,15.47,13.6,17.28,100
permanent_floors_minus_reoptimize,mean_utilization,0.020860554093751333,0.01487657579985783,0.027092941651601907,100
leases_minus_reoptimize,task_completion,0.004653761904761905,0.001973202777777776,0.007481483730158731,100
leases_minus_reoptimize,task_quality,0.0043395740209273255,0.0018035517284937927,0.007053869186342179,100
leases_minus_reoptimize,entrant_admission_rate,0.0,0.0,0.0,100
leases_minus_reoptimize,mean_waiting_time,0.386,0.282,0.49800000000000005,100
leases_minus_reoptimize,worst_incumbent_loss,-0.042,-0.08000000000000002,-0.004000000000000006,100
leases_minus_reoptimize,mean_churn_frac,0.003089809610154125,0.0015923034048554458,0.00459150990660392,100
leases_minus_reoptimize,mean_binding_commitments,1.5214,1.4512975000000001,1.5978249999999996,100
leases_minus_reoptimize,commitment_infeasibility,1.2,0.81,1.61,100
leases_minus_reoptimize,mean_utilization,0.006229256828550781,0.0036194765982209007,0.009017546820089912,100
leases_shortfall_minus_reoptimize,task_completion,0.005279833333333333,0.002523410912698417,0.008261440079365077,100
leases_shortfall_minus_reoptimize,task_quality,0.004911486527243608,0.0023591297354798105,0.0077370310952032595,100
leases_shortfall_minus_reoptimize,entrant_admission_rate,0.0,0.0,0.0,100
leases_shortfall_minus_reoptimize,mean_waiting_time,0.35200000000000004,0.25595,0.462,100
leases_shortfall_minus_reoptimize,worst_incumbent_loss,-0.05399999999999999,-0.094,-0.016000000000000004,100
leases_shortfall_minus_reoptimize,mean_churn_frac,0.00430676958943142,0.0027217593705478583,0.0058202605577861236,100
leases_shortfall_minus_reoptimize,mean_binding_commitments,1.5113999999999999,1.4454825,1.5878075,100
leases_shortfall_minus_reoptimize,commitment_infeasibility,0.94,0.62,1.2902499999999986,100
leases_shortfall_minus_reoptimize,mean_utilization,0.007135707636721146,0.004649405898754647,0.009853787780101422,100
