comparison,metric,mean_diff,ci_lo,ci_hi,n_pairs
permanent_floors_minus_reoptimize,task_completion,0.008291666666666664,-0.0006250000000000012,0.017708333333333326,5
permanent_floors_minus_reoptimize,task_quality,0.008361903977315014,0.0009435710757799819,0.015638185878422278,5
permanent_floors_minus_reoptimize,entrant_admission_rate,-0.1,-0.3,0.0,5
permanent_floors_minus_reoptimize,mean_waiting_time,1.9,0.2,3.6,5
permanent_floors_minus_reoptimize,worst_incumbent_loss,-0.05,-0.2,0.1,5
permanent_floors_minus_reoptimize,mean_churn_frac,-0.021782014859073114,-0.04090295570590359,-0.0034127834890509577,5
permanent_floors_minus_reoptimize,mean_binding_commitments,1.1099999999999999,0.77,1.4300000000000002,5
permanent_floors_minus_reoptimize,commitment_infeasibility,6.0,6.0,6.0,5
permanent_floors_minus_reoptimize,mean_utilization,0.016649578992145815,0.012647794198103796,0.020651363786187836,5
leases_minus_reoptimize,task_completion,0.007999999999999998,0.0014999999999999996,0.015749999999999997,5
leases_minus_reoptimize,task_quality,0.006609861737240484,0.001157681531761699,0.014685753246884713,5
leases_minus_reoptimize,entrant_admission_rate,0.0,0.0,0.0,5
leases_minus_reoptimize,mean_waiting_time,0.8,0.0,1.8,5
leases_minus_reoptimize,worst_incumbent_loss,-0.15,-0.45,0.0,5
leases_minus_reoptimize,mean_churn_frac,0.005362055667828447,-0.007595437815462405,0.02499147262982155,5
leases_minus_reoptimize,mean_binding_commitments,0.97,0.76,1.24,5
leases_minus_reoptimize,commitment_infeasibility,4.0,4.0,4.0,5
leases_minus_reoptimize,mean_utilization,0.00973836486155521,-0.0009470555529226404,0.023818287830862393,5
leases_shortfall_minus_reoptimize,task_completion,0.010833333333333335,0.0032499999999999972,0.01791666666666667,5
leases_shortfall_minus_reoptimize,task_quality,0.009284999556303785,0.002546386115799365,0.016041678506007996,5
leases_shortfall_minus_reoptimize,entrant_admission_rate,0.0,0.0,0.0,5
leases_shortfall_minus_reoptimize,mean_waiting_time,0.8,0.0,1.8,5
leases_shortfall_minus_reoptimize,worst_incumbent_loss,-0.15,-0.45,0.0,5
leases_shortfall_minus_reoptimize,mean_churn_frac,0.00719844965781175,-0.004590516357672142,0.024033091702545094,5
leases_shortfall_minus_reoptimize,mean_binding_commitments,0.97,0.76,1.24,5
leases_shortfall_minus_reoptimize,commitment_infeasibility,4.0,4.0,4.0,5
leases_shortfall_minus_reoptimize,mean_utilization,0.016994229423329104,0.007375728773044647,0.027477096560522794,5
