case,trials,operations,expected_successes,observed_successes,expected_denials,observed_denials,single_shot,backend_after_denial,quota_violations,capacity_violations,partial_deductions,silent_fallbacks,incorrect_success
negative_resource_requests,100,200,0,0,200,200,False,0,0,0,0,0,0
repeated_over_quota_calls,1,20,2,2,18,18,True,0,0,0,0,0,0
concurrent_over_quota_calls,1,400,20,20,380,380,True,0,0,0,0,0,0
duplicate_calls_each_charged,1,50,10,10,40,40,True,0,0,0,0,0,0
stale_context_execution,100,100,0,0,100,100,False,0,0,0,0,0,0
invalid_service_composition,1,1,0,0,1,1,True,0,0,0,0,0,0
cyclic_service_composition,1,1,0,0,1,1,True,0,0,0,0,0,0
malformed_solver_output,1,2,0,0,2,2,True,0,0,0,0,0,0
hung_solver_process,1,2,1,1,1,1,True,0,0,0,0,0,0
oversubscribed_minimums,1,1,0,0,1,1,True,0,0,0,0,0,0
one_exhausted_resource,100,100,0,0,100,100,False,0,0,0,0,0,0
expired_contract_execution,100,100,0,0,100,100,False,0,0,0,0,0,0
cross_version_context_execution,100,100,0,0,100,100,False,0,0,0,0,0,0
removed_agent_execution,100,100,0,0,100,100,False,0,0,0,0,0,0
service_instance_charge,100,100,100,100,0,0,False,0,0,0,0,0,0
unsupported_utility_requests,1,1,0,0,1,1,True,0,0,0,0,0,0
