cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"B=1.3,lam=0.0",equal,objective_regret,-4.74206984790726e-09,-9.927622279803927e-09,-3.7140388542411525e-09,-1.713933102109877e-08,-9.259714772724694e-10,-6.6234338902404485e-09,100
"B=1.3,lam=0.0",equal,mean_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,100
"B=1.3,lam=0.0",equal,min_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,100
"B=1.3,lam=0.0",equal,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,100
"B=1.3,lam=0.0",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",equal,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,100
"B=1.3,lam=0.0",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,100
"B=1.3,lam=0.0",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",joint,mean_norm_util,0.12499999992988531,0.12499999985600002,0.12499999994432125,0.12499999974663782,0.12499999998621207,0.12499999990138912,100
"B=1.3,lam=0.0",joint,min_norm_util,0.12499943835151214,0.12499747043725165,0.12499974524692767,0.12499446411969525,0.12499991297009651,0.12499839677945943,100
"B=1.3,lam=0.0",joint,median_norm_util,0.12500004846018226,0.12499975608122278,0.1250003612904809,0.1249995668827869,0.12500079067209935,0.12500008750074956,100
"B=1.3,lam=0.0",joint,frac_worse_than_equal,0.125,0.125,0.875,0.125,0.875,0.45375,100
"B=1.3,lam=0.0",joint,frac_worse_than_strongest_sep,0.125,0.125,0.875,0.125,0.875,0.45375,100
"B=1.3,lam=0.0",joint,worst_indiv_change_vs_equal,-5.616484878082084e-07,-2.5295627483247485e-06,-2.5475307226588417e-07,-5.535880304658597e-06,-8.702990343528741e-08,-1.6032205405126787e-06,100
"B=1.3,lam=0.0",joint,p5_indiv_change_vs_equal,-4.289523234585202e-07,-1.5177641180788916e-06,-2.3719468361452223e-07,-3.3215869632409118e-06,-8.702990343528741e-08,-1.0114680889616867e-06,100
"B=1.3,lam=0.0",joint,capacity_utilization,0.999990932341843,0.9821208197554542,0.9999999478477576,0.9639284164370722,0.9999999880700692,0.9914208201335005,100
"B=1.3,lam=0.0",joint,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",joint,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,100
"B=1.3,lam=0.0",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",oracle_envelope,objective_regret,-4.74206984790726e-09,-9.927622279803927e-09,-3.7140388542411525e-09,-1.713933102109877e-08,-9.259714772724694e-10,-6.623434067876133e-09,100
"B=1.3,lam=0.0",oracle_envelope,mean_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,100
"B=1.3,lam=0.0",oracle_envelope,min_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,100
"B=1.3,lam=0.0",oracle_envelope,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,100
"B=1.3,lam=0.0",oracle_envelope,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",oracle_envelope,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",oracle_envelope,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,1.3877787807813668e-18,1.3877787807814458e-18,100
"B=1.3,lam=0.0",oracle_envelope,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,1.3877787807813668e-18,1.3877787807814458e-18,100
"B=1.3,lam=0.0",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,100
"B=1.3,lam=0.0",oracle_envelope,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",oracle_envelope,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,100
"B=1.3,lam=0.0",oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",proportional_gamma1,objective_regret,-4.74206984790726e-09,-9.927622279803927e-09,-3.7140388542411525e-09,-1.713933102109877e-08,-9.259714772724694e-10,-6.623433854713312e-09,100
"B=1.3,lam=0.0",proportional_gamma1,mean_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,100
"B=1.3,lam=0.0",proportional_gamma1,min_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,100
"B=1.3,lam=0.0",proportional_gamma1,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,100
"B=1.3,lam=0.0",proportional_gamma1,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",proportional_gamma1,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,100
"B=1.3,lam=0.0",proportional_gamma1,worst_indiv_change_vs_equal,0.0,0.0,0.0,-6.938893903907204e-19,0.0,4.163336342344337e-19,100
"B=1.3,lam=0.0",proportional_gamma1,p5_indiv_change_vs_equal,0.0,0.0,0.0,-6.938893903907204e-19,0.0,4.163336342344337e-19,100
"B=1.3,lam=0.0",proportional_gamma1,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,100
"B=1.3,lam=0.0",proportional_gamma1,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,100
