cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"B=1.5,lam=0.25",equal,objective_regret,-1.0081594610892033,-9.516762291821127,0.0538476884860728,-96.80423689799014,0.6690102823085945,-20.61574281982393,13
"B=1.5,lam=0.25",equal,mean_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,min_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,13
"B=1.5,lam=0.25",joint,mean_norm_util,0.1269724548173326,0.1257145071216722,0.1453531146638307,0.07389459134615513,0.14934970068027315,0.12399790488582717,13
"B=1.5,lam=0.25",joint,min_norm_util,0.0278623051789636,0.0077253261364435,0.1250596804467405,1.0979000128187957e-11,0.12836005997823924,0.06296527583897603,13
"B=1.5,lam=0.25",joint,median_norm_util,0.1255869432608723,0.0670110444587027,0.1378640599021359,0.006966301783963001,0.16870643214355133,0.10697742753934529,13
"B=1.5,lam=0.25",joint,frac_worse_than_equal,0.25,0.0,0.625,0.0,0.8249999999999997,0.3,15
"B=1.5,lam=0.25",joint,frac_worse_than_strongest_sep,0.25,0.0,0.625,0.0,0.8249999999999997,0.3,15
"B=1.5,lam=0.25",joint,worst_indiv_change_vs_equal,-0.0971376948210363,-0.1172746738635564,5.9680446740512094e-05,-0.12499999998902098,0.0033600599782392503,-0.06203472416102392,13
"B=1.5,lam=0.25",joint,p5_indiv_change_vs_equal,-0.0803345674478654,-0.1167401342740042,6.964371000638403e-05,-0.1249999997803741,0.0034559196656839502,-0.05780395089809005,13
"B=1.5,lam=0.25",joint,capacity_utilization,0.9992336935104104,0.9932366114729442,0.9999999944796424,0.5652007305120386,1.1857995928657563,0.9498638062759368,13
"B=1.5,lam=0.25",joint,frac_cells_at_lower,0.0,0.0,0.03125,0.0,0.09375,0.025,15
"B=1.5,lam=0.25",joint,frac_cells_interior,1.0,0.96875,1.0,0.90625,1.0,0.975,15
"B=1.5,lam=0.25",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,objective_regret,-1.7304553318462617,-10.257916366393085,0.0006786522013442,-98.09083445954282,0.5799059100061897,-21.1514548605946,13
"B=1.5,lam=0.25",oracle_envelope,mean_norm_util,0.1353823749939574,0.12661129205768507,0.1455806562559721,0.12566758373531478,0.15004426212878536,0.13596586837982416,15
"B=1.5,lam=0.25",oracle_envelope,min_norm_util,0.1296976989352786,0.1259241875963339,0.13411584064632154,0.1253273247508789,0.14788058336463272,0.1318525508162772,15
"B=1.5,lam=0.25",oracle_envelope,median_norm_util,0.1296999328323579,0.1263381700295652,0.1374639902096979,0.12561309023168954,0.14962386792651725,0.13302553139704185,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,worst_indiv_change_vs_equal,0.0046976989352786,0.0009241875963339,0.00911584064632155,0.00032732475087884,0.02288058336463274,0.006852550816277206,15
"B=1.5,lam=0.25",oracle_envelope,p5_indiv_change_vs_equal,0.004697814570312,0.00094652896924325,0.00966717012855575,0.00033248973423378005,0.02294608865061602,0.006959923483916092,15
"B=1.5,lam=0.25",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,objective_regret,-1.5482294138660926,-9.846412685522434,0.0286367942994729,-97.39728904091545,0.6245276645765516,-20.868173084238204,13
"B=1.5,lam=0.25",proportional_gamma1,mean_norm_util,0.1293055355677997,0.1258301665227428,0.1345054644112258,0.12536727578032258,0.13589980471565175,0.12991672317326677,15
"B=1.5,lam=0.25",proportional_gamma1,min_norm_util,0.1254541365746118,0.1250279630596996,0.1267785284257023,0.1250149148061055,0.1342477201239315,0.12698217226880215,15
"B=1.5,lam=0.25",proportional_gamma1,median_norm_util,0.1257095214338779,0.12537934541568715,0.12940732402373414,0.12515781900839026,0.13500682434038824,0.12795076342985673,15
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,worst_indiv_change_vs_equal,0.0004541365746117,2.7963059699653847e-05,0.00177852842570225,1.4914806105501001e-05,0.00924772012393151,0.0019821722688021333,15
