cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"B=1.5,lam=0.25",equal,objective_regret,1.8457177195826286,0.19912444670106125,3.3941757028187776,0.07283079928332706,5.6595482021562615,1.988364051666199,50
"B=1.5,lam=0.25",equal,mean_norm_util,0.125,0.125,0.125,0.1249999999999999,0.125,0.125,50
"B=1.5,lam=0.25",equal,min_norm_util,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.12499999999999993,50
"B=1.5,lam=0.25",equal,median_norm_util,0.125,0.125,0.125,0.1249999999999999,0.125,0.125,50
"B=1.5,lam=0.25",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,frac_worse_than_strongest_sep,0.875,0.625,1.0,0.5,1.0,0.7925,50
"B=1.5,lam=0.25",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",joint,mean_norm_util,0.1832664716093113,0.12816687621897038,0.2046096383537613,0.12614779100049245,0.281938172503323,0.17696797674864498,50
"B=1.5,lam=0.25",joint,min_norm_util,0.1287494711940338,0.12557084902533233,0.1444626363038054,0.12512273583294226,0.1868591847757903,0.1388434425444567,50
"B=1.5,lam=0.25",joint,median_norm_util,0.13102702570077096,0.12774665401055008,0.1577450083717035,0.1257076012811301,0.2136738368950957,0.14822849370678465,50
"B=1.5,lam=0.25",joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",joint,frac_worse_than_strongest_sep,0.375,0.375,0.5,0.25,0.625,0.405,50
"B=1.5,lam=0.25",joint,worst_indiv_change_vs_equal,0.0037494711940338,0.000570849025332325,0.019462636303805327,0.00012273583294225,0.06185918477579031,0.013843442544456686,50
"B=1.5,lam=0.25",joint,p5_indiv_change_vs_equal,0.0037526214225090003,0.0006301493802212,0.020484182965399975,0.00018258178636904003,0.062427265514473765,0.014664674936662798,50
"B=1.5,lam=0.25",joint,capacity_utilization,0.9999997316490397,0.9999983886923005,0.9999999886106545,0.9999127944914998,0.9999999980408997,0.9996970137720531,50
"B=1.5,lam=0.25",joint,frac_cells_at_lower,0.125,0.0625,0.2109375,0.0,0.4093749999999998,0.150625,50
"B=1.5,lam=0.25",joint,frac_cells_interior,0.875,0.7890625,0.9375,0.590625,1.0,0.849375,50
"B=1.5,lam=0.25",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",oracle_envelope,objective_regret,0.012666327503872251,0.00244274640254975,0.04220258837690768,0.00078264701209063,0.09022478729806485,0.02791509558195006,50
"B=1.5,lam=0.25",oracle_envelope,mean_norm_util,0.1887663919768176,0.12817211413174223,0.20583839459155004,0.12614904756061987,0.28606949236855594,0.17939357014830035,50
"B=1.5,lam=0.25",oracle_envelope,min_norm_util,0.12410541025068814,0.12290779571239217,0.133139377129549,0.11666192183913703,0.1736748884068786,0.1312263406682161,50
"B=1.5,lam=0.25",oracle_envelope,median_norm_util,0.12862525852434809,0.1264852683682208,0.15924414058495023,0.12432743354006892,0.21591246917197937,0.14802581293310008,50
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_equal,0.125,0.0,0.375,0.0,0.5,0.2075,50
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.44374999999999964,0.07,50
"B=1.5,lam=0.25",oracle_envelope,worst_indiv_change_vs_equal,-0.0008945897493118,-0.00209220428760775,0.008139377129548951,-0.008338078160862876,0.04867488840687862,0.006226340668216135,50
"B=1.5,lam=0.25",oracle_envelope,p5_indiv_change_vs_equal,-0.00053062864592255,-0.001567387896304325,0.0101564393920341,-0.007802525535430506,0.050794469498643614,0.007867999400193285,50
"B=1.5,lam=0.25",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_lower,0.03125,0.0,0.1171875,0.0,0.2843749999999998,0.0725,50
"B=1.5,lam=0.25",oracle_envelope,frac_cells_interior,0.96875,0.8828125,1.0,0.715625,1.0,0.9275,50
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",proportional_gamma1,objective_regret,0.1829401661663112,0.036979464287019974,0.35032715642867,0.01512801530117857,0.48984476446115627,0.1996907696744501,50
"B=1.5,lam=0.25",proportional_gamma1,mean_norm_util,0.16929107494171236,0.12756083247494077,0.19123541578385211,0.12591479059058805,0.25979538709348804,0.1682834133327557,50
"B=1.5,lam=0.25",proportional_gamma1,min_norm_util,0.1292423466361495,0.12521198401665318,0.14500827746624056,0.12503481671271413,0.17650257336466768,0.13791256182370037,50
"B=1.5,lam=0.25",proportional_gamma1,median_norm_util,0.1312600385185373,0.12712027045334523,0.15533084674167646,0.12554098848361014,0.20216218585939422,0.1460941420471592,50
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_strongest_sep,0.5,0.375,0.625,0.25,0.9437499999999996,0.545,50
"B=1.5,lam=0.25",proportional_gamma1,worst_indiv_change_vs_equal,0.0042423466361494,0.00021198401665315,0.02000827746624055,3.481671271416062e-05,0.05150257336466764,0.012912561823700342,50
"B=1.5,lam=0.25",proportional_gamma1,p5_indiv_change_vs_equal,0.00425073459365055,0.00044205769662857496,0.0206151456672483,7.976030214074608e-05,0.05245675529548677,0.013607264686078306,50
"B=1.5,lam=0.25",proportional_gamma1,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",tuned_gamma2.0,objective_regret,0.030732645930273198,0.00244274640254975,0.05097548936124058,0.00078264701209063,0.09022478729806485,0.031314815229782224,50
"B=1.5,lam=0.25",tuned_gamma2.0,mean_norm_util,0.18866157398252154,0.12817211413174223,0.20488804563516727,0.12614904756061987,0.28606949236855594,0.17915729198378547,50
"B=1.5,lam=0.25",tuned_gamma2.0,min_norm_util,0.12410541025068814,0.12290779571239217,0.133139377129549,0.11666192183913703,0.1788189590056126,0.13237323681561639,50
"B=1.5,lam=0.25",tuned_gamma2.0,median_norm_util,0.12862525852434809,0.1264852683682208,0.15862816260955026,0.12432743354006892,0.21591246917197937,0.14745840048439804,50
"B=1.5,lam=0.25",tuned_gamma2.0,frac_worse_than_equal,0.125,0.0,0.375,0.0,0.5,0.2075,50
