cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"B=1.5,lam=0.25",equal,objective_regret,1.799235810853137,0.15456227588327204,3.1109283537246917,0.058990488764410244,4.8463255464609105,1.8560236910735568,15
"B=1.5,lam=0.25",equal,mean_norm_util,0.125,0.125,0.125,0.1249999999999999,0.125,0.125,15
"B=1.5,lam=0.25",equal,min_norm_util,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.12499999999999994,15
"B=1.5,lam=0.25",equal,median_norm_util,0.125,0.125,0.125,0.12499999999999997,0.125,0.125,15
"B=1.5,lam=0.25",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_worse_than_strongest_sep,0.75,0.5625,1.0,0.375,1.0,0.7666666666666667,15
"B=1.5,lam=0.25",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,mean_norm_util,0.1818215462823577,0.12744695881246482,0.19840226425904295,0.12592820169776126,0.2867913693750095,0.17580144478727217,15
"B=1.5,lam=0.25",joint,min_norm_util,0.128458003948957,0.12527104245143425,0.14090431820602728,0.1251547954608168,0.16265943622127588,0.13536868002843533,15
"B=1.5,lam=0.25",joint,median_norm_util,0.1296028019626289,0.12783783918171926,0.14446395477500146,0.1255279451489794,0.18426042699897383,0.14048965235027105,15
"B=1.5,lam=0.25",joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,frac_worse_than_strongest_sep,0.375,0.375,0.5625,0.25,0.6624999999999999,0.4583333333333333,15
"B=1.5,lam=0.25",joint,worst_indiv_change_vs_equal,0.003458003948957,0.00027104245143425,0.0159043182060273,0.00015479546081673172,0.03765943622127577,0.010368680028435303,15
"B=1.5,lam=0.25",joint,p5_indiv_change_vs_equal,0.0034596479062067,0.0003002447043586,0.0165830172241208,0.00020390130659712002,0.040894232325309456,0.011038797526282527,15
"B=1.5,lam=0.25",joint,capacity_utilization,0.9999997751933688,0.9999993066710107,0.9999999827292354,0.9999910075719749,0.9999999974889499,0.9999984418966573,15
"B=1.5,lam=0.25",joint,frac_cells_at_lower,0.09375,0.046875,0.21875,0.0,0.42187499999999983,0.15416666666666667,15
"B=1.5,lam=0.25",joint,frac_cells_interior,0.90625,0.78125,0.953125,0.578125,1.0,0.8458333333333333,15
"B=1.5,lam=0.25",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,objective_regret,0.0266471636990672,0.0021452630208642,0.0481105757000346,0.00038616474236259,0.0980156030530736,0.0312357040628074,15
"B=1.5,lam=0.25",oracle_envelope,mean_norm_util,0.1869767067814736,0.12743305417229733,0.20389810378286724,0.12593017726539174,0.2964621953875835,0.17887267029424184,15
"B=1.5,lam=0.25",oracle_envelope,min_norm_util,0.1243269827445648,0.1234959414801251,0.13243581675076874,0.11746137133720332,0.14407318853924378,0.12843839037046506,15
"B=1.5,lam=0.25",oracle_envelope,median_norm_util,0.1284752877772146,0.1252244283477541,0.142650548474982,0.12361764674101318,0.1877761402831248,0.13978456267854053,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_equal,0.25,0.0,0.4375,0.0,0.625,0.23333333333333334,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.1124999999999996,0.025,15
"B=1.5,lam=0.25",oracle_envelope,worst_indiv_change_vs_equal,-0.0006730172554351,-0.00150405851987485,0.007435816750768751,-0.00753862866279666,0.019073188539243707,0.0034383903704651125,15
"B=1.5,lam=0.25",oracle_envelope,p5_indiv_change_vs_equal,-0.0006217308436839,-0.0014324353961890999,0.00836951866289765,-0.00699632880808892,0.02626875660958078,0.004803232242452606,15
"B=1.5,lam=0.25",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_lower,0.03125,0.0,0.09375,0.0,0.20624999999999993,0.0625,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_interior,0.96875,0.90625,1.0,0.79375,1.0,0.9375,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,objective_regret,0.1694665170352003,0.03313941250349825,0.2905265236300689,0.01044298942716531,0.36634327628651375,0.16557726944257284,15
"B=1.5,lam=0.25",proportional_gamma1,mean_norm_util,0.1681912263639881,0.12690418710276163,0.18599623604651538,0.12576351074576944,0.26408494076328043,0.16762436784911844,15
"B=1.5,lam=0.25",proportional_gamma1,min_norm_util,0.1293920003956662,0.12510987184730288,0.14040896183405865,0.12504660558966896,0.1604348028346331,0.13518698751967576,15
"B=1.5,lam=0.25",proportional_gamma1,median_norm_util,0.1308807781719884,0.12704986726837503,0.1458825184516446,0.1252803308118639,0.18143958604592034,0.13999494469457816,15
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_strongest_sep,0.5,0.375,0.625,0.25,0.875,0.49166666666666664,15
"B=1.5,lam=0.25",proportional_gamma1,worst_indiv_change_vs_equal,0.0043920003956661,0.0001098718473028301,0.01540896183405865,4.660558966896461e-05,0.035434802834633,0.01018698751967571,15
"B=1.5,lam=0.25",proportional_gamma1,p5_indiv_change_vs_equal,0.0043932876598785,0.0001597085845871,0.01703864755675155,7.764723757355527e-05,0.038194494238742605,0.010789282374191023,15
"B=1.5,lam=0.25",proportional_gamma1,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",tuned_gamma2.0,objective_regret,0.0287973733170652,0.0021452630208642,0.0481105757000346,0.00038616474236259,0.0980156030530736,0.031808579204048906,15
"B=1.5,lam=0.25",tuned_gamma2.0,mean_norm_util,0.1869767067814736,0.12743305417229733,0.20349134934897606,0.12593017726539174,0.2964621953875835,0.178818436369723,15
"B=1.5,lam=0.25",tuned_gamma2.0,min_norm_util,0.1243269827445648,0.1234959414801251,0.13243581675076874,0.11746137133720332,0.151569985637104,0.12915237104645175,15
"B=1.5,lam=0.25",tuned_gamma2.0,median_norm_util,0.1284752877772146,0.1252244283477541,0.142650548474982,0.12361764674101318,0.18544013043946048,0.13926544937994847,15
"B=1.5,lam=0.25",tuned_gamma2.0,frac_worse_than_equal,0.25,0.0,0.4375,0.0,0.625,0.23333333333333334,15
"B=1.5,lam=0.25",tuned_gamma2.0,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",tuned_gamma2.0,worst_indiv_change_vs_equal,-0.0006730172554351,-0.00150405851987485,0.007435816750768751,-0.00753862866279666,0.026569985637103926,0.0041523710464518,15
"B=1.5,lam=0.25",tuned_gamma2.0,p5_indiv_change_vs_equal,-0.0006217308436839,-0.0014324353961890999,0.00836951866289765,-0.00699632880808892,0.031247881192891916,0.005277434583720333,15
"B=1.5,lam=0.25",tuned_gamma2.0,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",tuned_gamma2.0,frac_cells_at_lower,0.03125,0.0,0.078125,0.0,0.14374999999999993,0.04791666666666667,15
"B=1.5,lam=0.25",tuned_gamma2.0,frac_cells_interior,0.96875,0.921875,1.0,0.85625,1.0,0.9520833333333333,15
"B=1.5,lam=0.25",tuned_gamma2.0,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",equal,objective_regret,6.522320566669549,5.7868976696142465,7.783042853505782,4.374752746442992,8.365982534094814,6.579933011045904,15
"B=1.5,lam=0.75",equal,mean_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.75",equal,min_norm_util,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.12499999999999994,15
"B=1.5,lam=0.75",equal,median_norm_util,0.125,0.125,0.125,0.1249999999999999,0.125,0.12499999999999999,15
"B=1.5,lam=0.75",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
