cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"B=1.5,lam=0.25",equal,objective_regret,1.3077149555500345,0.1424445004210088,2.1428196208301644,0.06527693567982469,4.722792548307477,1.4299496329882215,50
"B=1.5,lam=0.25",equal,mean_norm_util,0.125,0.125,0.125,0.1249999999999999,0.125,0.125,50
"B=1.5,lam=0.25",equal,min_norm_util,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.12499999999999989,50
"B=1.5,lam=0.25",equal,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,50
"B=1.5,lam=0.25",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,frac_worse_than_strongest_sep,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",joint,mean_norm_util,0.15533135414758856,0.12726358948587776,0.17039144988132557,0.12602969280385795,0.24377591279255642,0.15708644270878536,50
"B=1.5,lam=0.25",joint,min_norm_util,0.12816524622860015,0.12522363325167638,0.13620964511102157,0.12500580493175625,0.16617098682898715,0.13552691902809205,50
"B=1.5,lam=0.25",joint,median_norm_util,0.1306270801501198,0.12680218565962822,0.14175899000008618,0.1255457826263123,0.1911844936214998,0.1416012618750138,50
"B=1.5,lam=0.25",joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",joint,frac_worse_than_strongest_sep,0.25,0.0,0.5,0.0,0.6937499999999996,0.2825,50
"B=1.5,lam=0.25",joint,worst_indiv_change_vs_equal,0.0031652462286002,0.000223633251676375,0.011209645111021575,5.804931756331345e-06,0.041170986828987156,0.010526919028092063,50
"B=1.5,lam=0.25",joint,p5_indiv_change_vs_equal,0.00321098681946365,0.000403100365127475,0.011210497593248124,2.2540462415471776e-05,0.042666024858477085,0.010808351330513792,50
"B=1.5,lam=0.25",joint,capacity_utilization,0.9999999899411764,0.9999999332869749,0.9999999968985728,0.9999773778996909,0.9999999985897912,0.9999813822350326,50
"B=1.5,lam=0.25",joint,frac_cells_at_lower,0.09375,0.03125,0.15625,0.0,0.3125,0.10875,50
"B=1.5,lam=0.25",joint,frac_cells_interior,0.90625,0.84375,0.96875,0.6875,1.0,0.89125,50
"B=1.5,lam=0.25",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",oracle_envelope,objective_regret,0.01276785308493085,0.0012169117178899,0.02400277226480525,0.00052337835181871,0.0407301697115851,0.014322972630931992,50
"B=1.5,lam=0.25",oracle_envelope,mean_norm_util,0.1548941535723246,0.12724461489465944,0.1697535426585887,0.12602107208083616,0.24255554591992987,0.15663151252455695,50
"B=1.5,lam=0.25",oracle_envelope,min_norm_util,0.12814507019633198,0.12524251846213735,0.13610180612947453,0.12502153622016907,0.16564880830227582,0.13548742338250302,50
"B=1.5,lam=0.25",oracle_envelope,median_norm_util,0.13061011332273037,0.12678480356478214,0.14159209955926857,0.12556418777433528,0.18958102040878885,0.1414552006089995,50
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
