cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"B=1.5,lam=0.25",equal,objective_regret,0.4796252389497084,0.1288486640599391,2.575833015966275,0.08169048514269826,5.045558513571253,1.6049465456521619,15
"B=1.5,lam=0.25",equal,mean_norm_util,0.125,0.125,0.125,0.12499999999999997,0.125,0.125,15
"B=1.5,lam=0.25",equal,min_norm_util,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.12499999999999988,0.1249999999999999,0.12499999999999993,15
"B=1.5,lam=0.25",equal,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_worse_than_strongest_sep,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,mean_norm_util,0.132912680024186,0.12703748278221935,0.1745526312375223,0.12628793153246914,0.2636291962985986,0.163639954354295,15
"B=1.5,lam=0.25",joint,min_norm_util,0.1254274523238701,0.1251636350954236,0.1477291407907296,0.1250327993524524,0.17604379719618848,0.1381252740040308,15
"B=1.5,lam=0.25",joint,median_norm_util,0.1281898470368928,0.1266745126514791,0.16432105436017105,0.12583530432740248,0.2045158940788814,0.1461195100413245,15
"B=1.5,lam=0.25",joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,frac_worse_than_strongest_sep,0.375,0.0625,0.5,0.0,0.5374999999999999,0.2916666666666667,15
"B=1.5,lam=0.25",joint,worst_indiv_change_vs_equal,0.00042745232387,0.00016363509542359999,0.0227291407907296,3.27993524523923e-05,0.05104379719618849,0.0131252740040308,15
"B=1.5,lam=0.25",joint,p5_indiv_change_vs_equal,0.0007730840168007,0.0003695920044821,0.0227511185245548,8.681964446125416e-05,0.05137773467125553,0.01325917847111888,15
"B=1.5,lam=0.25",joint,capacity_utilization,0.9999999953317672,0.9999999705256408,0.999999997093003,0.9998573019996848,0.9999999986725564,0.9999684398397307,15
"B=1.5,lam=0.25",joint,frac_cells_at_lower,0.0625,0.015625,0.1875,0.0,0.35312499999999997,0.12083333333333333,15
"B=1.5,lam=0.25",joint,frac_cells_interior,0.9375,0.8125,0.984375,0.646875,1.0,0.8791666666666667,15
"B=1.5,lam=0.25",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,objective_regret,0.0030729511723279,0.00142983407501515,0.0251388088364201,0.00077175036132037,0.04859748602433269,0.0148983110300323,15
"B=1.5,lam=0.25",oracle_envelope,mean_norm_util,0.1328520435071331,0.127015748790276,0.1738977980666664,0.1262736185567402,0.26044725432377996,0.16301611926393828,15
"B=1.5,lam=0.25",oracle_envelope,min_norm_util,0.125452175067305,0.12522932946064086,0.14756826574873844,0.1250597883884609,0.1745721377155392,0.13806009780518583,15
"B=1.5,lam=0.25",oracle_envelope,median_norm_util,0.1281603396502308,0.12666502531622945,0.16586641260436935,0.1258349312358602,0.20282671687043446,0.1461540904661506,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,worst_indiv_change_vs_equal,0.000452175067305,0.00022932946064085002,0.02256826574873845,5.9788388460958744e-05,0.049572137715539165,0.013060097805185794,15
"B=1.5,lam=0.25",oracle_envelope,p5_indiv_change_vs_equal,0.0008001770393939,0.00042766514053545,0.0225903583887634,8.608733932146373e-05,0.05020389657050091,0.013217367773123148,15
"B=1.5,lam=0.25",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,objective_regret,0.0030729511723279,0.00142983407501515,0.0251388088364201,0.00077175036132037,0.04859748602433269,0.0148983110300323,15
"B=1.5,lam=0.25",proportional_gamma1,mean_norm_util,0.1328520435071331,0.127015748790276,0.1738977980666664,0.1262736185567402,0.26044725432377996,0.16301611926393828,15
"B=1.5,lam=0.25",proportional_gamma1,min_norm_util,0.125452175067305,0.12522932946064086,0.14756826574873844,0.1250597883884609,0.1745721377155392,0.13806009780518583,15
"B=1.5,lam=0.25",proportional_gamma1,median_norm_util,0.1281603396502308,0.12666502531622945,0.16586641260436935,0.1258349312358602,0.20282671687043446,0.1461540904661506,15
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,worst_indiv_change_vs_equal,0.000452175067305,0.00022932946064085002,0.02256826574873845,5.9788388460958744e-05,0.049572137715539165,0.013060097805185794,15
"B=1.5,lam=0.25",proportional_gamma1,p5_indiv_change_vs_equal,0.0008001770393939,0.00042766514053545,0.0225903583887634,8.608733932146373e-05,0.05020389657050091,0.013217367773123148,15
"B=1.5,lam=0.25",proportional_gamma1,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",tuned_gamma1.0,objective_regret,0.0030729511723279,0.00142983407501515,0.0251388088364201,0.00077175036132037,0.04859748602433269,0.0148983110300323,15
"B=1.5,lam=0.25",tuned_gamma1.0,mean_norm_util,0.1328520435071331,0.127015748790276,0.1738977980666664,0.1262736185567402,0.26044725432377996,0.16301611926393828,15
"B=1.5,lam=0.25",tuned_gamma1.0,min_norm_util,0.125452175067305,0.12522932946064086,0.14756826574873844,0.1250597883884609,0.1745721377155392,0.13806009780518583,15
"B=1.5,lam=0.25",tuned_gamma1.0,median_norm_util,0.1281603396502308,0.12666502531622945,0.16586641260436935,0.1258349312358602,0.20282671687043446,0.1461540904661506,15
"B=1.5,lam=0.25",tuned_gamma1.0,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",tuned_gamma1.0,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",tuned_gamma1.0,worst_indiv_change_vs_equal,0.000452175067305,0.00022932946064085002,0.02256826574873845,5.9788388460958744e-05,0.049572137715539165,0.013060097805185794,15
"B=1.5,lam=0.25",tuned_gamma1.0,p5_indiv_change_vs_equal,0.0008001770393939,0.00042766514053545,0.0225903583887634,8.608733932146373e-05,0.05020389657050091,0.013217367773123148,15
"B=1.5,lam=0.25",tuned_gamma1.0,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",tuned_gamma1.0,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",tuned_gamma1.0,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",tuned_gamma1.0,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",equal,objective_regret,6.600009046078149,6.095041598803995,7.24013159843577,4.441480539223649,7.371341651605495,6.418918475257666,15
"B=1.5,lam=0.75",equal,mean_norm_util,0.125,0.12499999999999994,0.125,0.1249999999999999,0.125,0.12499999999999999,15
"B=1.5,lam=0.75",equal,min_norm_util,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.12499999999999994,15
"B=1.5,lam=0.75",equal,median_norm_util,0.125,0.125,0.125,0.1249999999999999,0.125,0.125,15
"B=1.5,lam=0.75",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",equal,frac_worse_than_strongest_sep,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.75",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.75",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.75",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",joint,mean_norm_util,0.3107704098248577,0.2837347250499672,0.31945789887559584,0.2200242630400015,0.3232520715885884,0.2942111028900466,15
"B=1.5,lam=0.75",joint,min_norm_util,0.2036505572529588,0.18914585424936808,0.2381333178286128,0.16315791839904215,0.24887630548384437,0.20956475926444693,15
"B=1.5,lam=0.75",joint,median_norm_util,0.2805905954576193,0.2503979962189765,0.3044534401150383,0.19575898889707888,0.3300288934663659,0.2726501017684659,15
"B=1.5,lam=0.75",joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",joint,frac_worse_than_strongest_sep,0.375,0.375,0.4375,0.21250000000000002,0.5374999999999999,0.39166666666666666,15
"B=1.5,lam=0.75",joint,worst_indiv_change_vs_equal,0.0786505572529588,0.06414585424936815,0.1131333178286128,0.03815791839904205,0.12387630548384437,0.08456475926444687,15
"B=1.5,lam=0.75",joint,p5_indiv_change_vs_equal,0.0799047722723277,0.06599732779858905,0.11448651244674965,0.03937467804751057,0.12404635003946479,0.08734499019821232,15
"B=1.5,lam=0.75",joint,capacity_utilization,0.9999999993282228,0.9999999989276818,0.9999999994410572,0.9999999986858542,0.9999999995528248,0.9999999992001494,15
"B=1.5,lam=0.75",joint,frac_cells_at_lower,0.4375,0.375,0.4375,0.334375,0.47812499999999997,0.41041666666666665,15
"B=1.5,lam=0.75",joint,frac_cells_interior,0.5625,0.5625,0.625,0.521875,0.6656249999999999,0.5895833333333333,15
"B=1.5,lam=0.75",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",oracle_envelope,objective_regret,0.0473858588822793,0.03708200109426755,0.0512306934200186,0.03128168514823848,0.06198754038226748,0.04585554506205437,15
"B=1.5,lam=0.75",oracle_envelope,mean_norm_util,0.3086652298802345,0.28174292968665793,0.31772894449700345,0.21885960147942887,0.32074088344714674,0.2922074313128881,15
"B=1.5,lam=0.75",oracle_envelope,min_norm_util,0.2023517680043511,0.18862324012003429,0.2392161500276886,0.15928205250924787,0.2514351431623274,0.20959231360640732,15
"B=1.5,lam=0.75",oracle_envelope,median_norm_util,0.2811625004660097,0.24721647711602734,0.29936860118745323,0.1975477437528186,0.3271164769826777,0.27040182271161856,15
"B=1.5,lam=0.75",oracle_envelope,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",oracle_envelope,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.1124999999999996,0.025,15
"B=1.5,lam=0.75",oracle_envelope,worst_indiv_change_vs_equal,0.0773517680043511,0.0636232401200343,0.11421615002768859,0.03428205250924784,0.1264351431623274,0.08459231360640723,15
"B=1.5,lam=0.75",oracle_envelope,p5_indiv_change_vs_equal,0.0792569484423285,0.06593258348028175,0.11560235230314266,0.03529492694212843,0.12732400932418433,0.0877141801102915,15
"B=1.5,lam=0.75",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.75",oracle_envelope,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.018749999999999933,0.004166666666666667,15
"B=1.5,lam=0.75",oracle_envelope,frac_cells_interior,1.0,1.0,1.0,0.98125,1.0,0.9958333333333333,15
"B=1.5,lam=0.75",oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",proportional_gamma1,objective_regret,0.0473858588822793,0.03708200109426755,0.05497593830455115,0.03128168514823848,0.06612090826766627,0.046883015405451985,15
"B=1.5,lam=0.75",proportional_gamma1,mean_norm_util,0.3086652298802345,0.28174292968665793,0.31772894449700345,0.21849817757724624,0.32074088344714674,0.29212711489018084,15
"B=1.5,lam=0.75",proportional_gamma1,min_norm_util,0.2023517680043511,0.18862324012003429,0.2392161500276886,0.16422021528397246,0.2514351431623274,0.21028406022554338,15
"B=1.5,lam=0.75",proportional_gamma1,median_norm_util,0.2811625004660097,0.24721647711602734,0.29936860118745323,0.192924637034539,0.3271164769826777,0.2699615268336871,15
"B=1.5,lam=0.75",proportional_gamma1,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",proportional_gamma1,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",proportional_gamma1,worst_indiv_change_vs_equal,0.0773517680043511,0.0636232401200343,0.11421615002768859,0.03922021528397239,0.1264351431623274,0.08528406022554329,15
"B=1.5,lam=0.75",proportional_gamma1,p5_indiv_change_vs_equal,0.0792569484423285,0.06593258348028175,0.11560235230314266,0.04031233897628715,0.12732400932418433,0.08829423294335394,15
"B=1.5,lam=0.75",proportional_gamma1,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.75",proportional_gamma1,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",proportional_gamma1,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.75",proportional_gamma1,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",tuned_gamma1.0,objective_regret,0.0473858588822793,0.03708200109426755,0.05497593830455115,0.03128168514823848,0.06612090826766627,0.046883015405451985,15
"B=1.5,lam=0.75",tuned_gamma1.0,mean_norm_util,0.3086652298802345,0.28174292968665793,0.31772894449700345,0.21849817757724624,0.32074088344714674,0.29212711489018084,15
"B=1.5,lam=0.75",tuned_gamma1.0,min_norm_util,0.2023517680043511,0.18862324012003429,0.2392161500276886,0.16422021528397246,0.2514351431623274,0.21028406022554338,15
"B=1.5,lam=0.75",tuned_gamma1.0,median_norm_util,0.2811625004660097,0.24721647711602734,0.29936860118745323,0.192924637034539,0.3271164769826777,0.2699615268336871,15
"B=1.5,lam=0.75",tuned_gamma1.0,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",tuned_gamma1.0,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",tuned_gamma1.0,worst_indiv_change_vs_equal,0.0773517680043511,0.0636232401200343,0.11421615002768859,0.03922021528397239,0.1264351431623274,0.08528406022554329,15
"B=1.5,lam=0.75",tuned_gamma1.0,p5_indiv_change_vs_equal,0.0792569484423285,0.06593258348028175,0.11560235230314266,0.04031233897628715,0.12732400932418433,0.08829423294335394,15
"B=1.5,lam=0.75",tuned_gamma1.0,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.75",tuned_gamma1.0,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.75",tuned_gamma1.0,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.75",tuned_gamma1.0,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=1.0",equal,objective_regret,6.654552418921547,5.708993665455946,6.971649342562635,5.341233568557908,7.373316337177161,6.413113772071165,15
"B=1.5,lam=1.0",equal,mean_norm_util,0.125,0.125,0.125,0.1249999999999999,0.125,0.125,15
"B=1.5,lam=1.0",equal,min_norm_util,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.1249999999999999,0.12499999999999994,15
"B=1.5,lam=1.0",equal,median_norm_util,0.125,0.125,0.125,0.12499999999999997,0.125,0.125,15
"B=1.5,lam=1.0",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=1.0",equal,frac_worse_than_strongest_sep,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=1.0",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=1.0",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=1.0",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=1.0",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=1.0",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=1.0",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=1.0",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=1.0",joint,mean_norm_util,0.2905565858475245,0.2717358358245617,0.3179993931530727,0.2596674862079585,0.32621959615019197,0.29523415277057563,15
"B=1.5,lam=1.0",joint,min_norm_util,0.1967841113564729,0.1844579507195614,0.2374120447705464,0.18179881034161,0.2484469607621522,0.21205172951254614,15
"B=1.5,lam=1.0",joint,median_norm_util,0.2600014146431058,0.23813492377761475,0.2650431990260669,0.2226073643194815,0.29467802418625455,0.2559411901268104,15
"B=1.5,lam=1.0",joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=1.0",joint,frac_worse_than_strongest_sep,0.375,0.3125,0.4375,0.25,0.625,0.39166666666666666,15
"B=1.5,lam=1.0",joint,worst_indiv_change_vs_equal,0.0717841113564729,0.05945795071956135,0.11241204477054645,0.05679881034160998,0.1234469607621522,0.08705172951254614,15
"B=1.5,lam=1.0",joint,p5_indiv_change_vs_equal,0.0744155506373567,0.06627279402552524,0.11448143521147339,0.0577276201521449,0.12467218302780234,0.0903504268071553,15
