cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"B=1.5,lam=0.25",equal,objective_regret,1.8129024308393067,-3.275654414380824e-09,4.2955473489786495,-5.380394973997227e-09,6.478924357832662,2.161205827266512,50
"B=1.5,lam=0.25",equal,mean_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,50
"B=1.5,lam=0.25",equal,min_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,50
"B=1.5,lam=0.25",equal,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,50
"B=1.5,lam=0.25",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,frac_worse_than_strongest_sep,0.9375,0.625,1.0,0.375,1.0,0.78,50
"B=1.5,lam=0.25",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",joint,mean_norm_util,0.2051299989234046,0.12499999998177293,0.2226175891654374,0.1249999999693481,0.3240017237931768,0.1925587521403793,50
"B=1.5,lam=0.25",joint,min_norm_util,0.1249975420278649,0.12499538886204958,0.14772009673439512,0.12499383940017844,0.20723483949796703,0.14334935108112712,50
"B=1.5,lam=0.25",joint,median_norm_util,0.12500082204842966,0.12499998109473118,0.1672547863123454,0.12499890082580072,0.2435501873087012,0.15124912575376165,50
"B=1.5,lam=0.25",joint,frac_worse_than_equal,0.375,0.0,0.5,0.0,0.625,0.2775,50
"B=1.5,lam=0.25",joint,frac_worse_than_strongest_sep,0.625,0.5,0.625,0.25,0.875,0.585,50
"B=1.5,lam=0.25",joint,worst_indiv_change_vs_equal,-2.457972135064268e-06,-4.611137950354116e-06,0.02272009673439515,-6.160599821556506e-06,0.08223483949796703,0.018349351081127133,50
"B=1.5,lam=0.25",joint,p5_indiv_change_vs_equal,-2.160176773330011e-06,-3.754811379835625e-06,0.024830929029818975,-5.351295280094544e-06,0.08260771480729863,0.01903390598915313,50
"B=1.5,lam=0.25",joint,capacity_utilization,0.9508746290461147,0.9271092820186468,0.9614174557512358,0.8914144003227611,0.9752008198010125,0.9426440909811745,50
"B=1.5,lam=0.25",joint,frac_cells_at_lower,0.0,0.0,0.0625,0.0,0.2359374999999999,0.049375,50
"B=1.5,lam=0.25",joint,frac_cells_interior,1.0,0.9375,1.0,0.7640625,1.0,0.950625,50
"B=1.5,lam=0.25",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",oracle_envelope,objective_regret,0.13132551286559918,-3.275654414380824e-09,0.6530029698488802,-5.380394973997227e-09,1.1216693254977992,0.34601754690323305,50
"B=1.5,lam=0.25",oracle_envelope,mean_norm_util,0.1513496629142449,0.125,0.20705992225391767,0.125,0.2606967961262301,0.16773470847823407,50
"B=1.5,lam=0.25",oracle_envelope,min_norm_util,0.12849292326645384,0.125,0.15713837161478955,0.125,0.215209037820059,0.14709047254241467,50
"B=1.5,lam=0.25",oracle_envelope,median_norm_util,0.1341269244285109,0.125,0.17436502410503685,0.125,0.24199840877293446,0.15275716139208945,50
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0025,50
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_strongest_sep,0.5,0.0,0.625,0.0,0.875,0.43,50
"B=1.5,lam=0.25",oracle_envelope,worst_indiv_change_vs_equal,0.00349292326645385,0.0,0.032138371614789524,0.0,0.09020903782005903,0.022090472542414655,50
"B=1.5,lam=0.25",oracle_envelope,p5_indiv_change_vs_equal,0.0074593113796273,0.0,0.03243420249521338,0.0,0.09109829239846691,0.02293125702076026,50
"B=1.5,lam=0.25",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.003125,50
"B=1.5,lam=0.25",oracle_envelope,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,0.996875,50
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",proportional_gamma1,objective_regret,0.27347704799990424,0.00067889943884045,0.710958251291312,0.000122187130268375,1.3639465171748604,0.4122034933230633,50
"B=1.5,lam=0.25",proportional_gamma1,mean_norm_util,0.1442582315734455,0.125,0.19766707357286853,0.1249999999999999,0.2606967961262301,0.16420069662690323,50
"B=1.5,lam=0.25",proportional_gamma1,min_norm_util,0.12880355531972315,0.12242492567559582,0.16929432754379595,0.12099347258907657,0.215209037820059,0.14626114637832244,50
"B=1.5,lam=0.25",proportional_gamma1,median_norm_util,0.13802407020773916,0.12522810275221358,0.18045755867924862,0.12448965574997133,0.24199840877293446,0.15445176024819857,50
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_equal,0.0625,0.0,0.375,0.0,0.625,0.22,50
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",proportional_gamma1,worst_indiv_change_vs_equal,0.0038035553197232003,-0.002575074324404075,0.04429432754379592,-0.0040065274109233944,0.09020903782005903,0.02126114637832245,50
"B=1.5,lam=0.25",proportional_gamma1,p5_indiv_change_vs_equal,0.0095467272577091,-0.0022447367011808,0.04501137762526328,-0.003118902952164985,0.09109829239846691,0.02263961344885687,50
"B=1.5,lam=0.25",proportional_gamma1,capacity_utilization,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,50
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,50
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,50
"B=1.5,lam=0.25",tuned_gamma1.0,objective_regret,0.27347704799990424,0.00067889943884045,0.710958251291312,0.000122187130268375,1.3639465171748604,0.4122034933230633,50
"B=1.5,lam=0.25",tuned_gamma1.0,mean_norm_util,0.1442582315734455,0.125,0.19766707357286853,0.1249999999999999,0.2606967961262301,0.16420069662690323,50
