cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"B=1.5,lam=0.25",equal,objective_regret,-1.442675312546271e-09,-3.12218517706242e-09,4.355350256270311,-3.945729432075496e-09,6.729991981533969,2.1748004416070335,15
"B=1.5,lam=0.25",equal,mean_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,min_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_worse_than_strongest_sep,0.875,0.5625,1.0,0.375,1.0,0.7583333333333333,15
"B=1.5,lam=0.25",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,mean_norm_util,0.124999999990199,0.12499999998145025,0.2191219503615972,0.12499999997434212,0.3283559980511138,0.18896492958058,15
"B=1.5,lam=0.25",joint,min_norm_util,0.1249966898585349,0.12499459139389191,0.17413827629591394,0.12499379225454785,0.22859563842595668,0.15115199046527092,15
"B=1.5,lam=0.25",joint,median_norm_util,0.1250010576852749,0.12500063508705275,0.17945458639085637,0.12500015180811747,0.2560522732443087,0.15759432542367222,15
"B=1.5,lam=0.25",joint,frac_worse_than_equal,0.375,0.0,0.375,0.0,0.5374999999999999,0.26666666666666666,15
"B=1.5,lam=0.25",joint,frac_worse_than_strongest_sep,0.625,0.4375,0.625,0.2625,0.875,0.5666666666666667,15
"B=1.5,lam=0.25",joint,worst_indiv_change_vs_equal,-3.310141465096006e-06,-5.408606108085745e-06,0.049138276295913955,-6.20774545213032e-06,0.10359563842595668,0.026151990465270954,15
"B=1.5,lam=0.25",joint,p5_indiv_change_vs_equal,-3.1940517501542753e-06,-4.4503104347667214e-06,0.04955212464570575,-5.0958545772882695e-06,0.1042135990604357,0.026376983112422914,15
"B=1.5,lam=0.25",joint,capacity_utilization,0.9499202188848755,0.9194581168670581,0.9602014251342983,0.88107678802132,0.9815539927340087,0.9401942194526787,15
"B=1.5,lam=0.25",joint,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.25937499999999997,0.05,15
"B=1.5,lam=0.25",joint,frac_cells_interior,1.0,1.0,1.0,0.740625,1.0,0.95,15
"B=1.5,lam=0.25",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,objective_regret,-1.442675312546271e-09,-3.12218517706242e-09,0.49367676981467135,-3.945729432075496e-09,0.8206049644978108,0.27014169124189824,15
"B=1.5,lam=0.25",oracle_envelope,mean_norm_util,0.125,0.125,0.2056684527245671,0.125,0.29972380547016325,0.17089806229233434,15
"B=1.5,lam=0.25",oracle_envelope,min_norm_util,0.125,0.125,0.1792961068727006,0.125,0.22917410247985165,0.15433621371485098,15
"B=1.5,lam=0.25",oracle_envelope,median_norm_util,0.125,0.125,0.1845093693153477,0.125,0.2600107838640034,0.15966194154580218,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_strongest_sep,0.375,0.0,0.625,0.0,0.875,0.4083333333333333,15
"B=1.5,lam=0.25",oracle_envelope,worst_indiv_change_vs_equal,0.0,0.0,0.0542961068727006,0.0,0.10417410247985164,0.029336213714850987,15
"B=1.5,lam=0.25",oracle_envelope,p5_indiv_change_vs_equal,0.0,0.0,0.055091550498457154,0.0,0.10596315855014585,0.02974427783061345,15
"B=1.5,lam=0.25",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,objective_regret,0.0978277478478304,0.00051343571091065,0.6081502244384307,0.00010546522049207481,0.8206049644978108,0.2977186216197019,15
"B=1.5,lam=0.25",proportional_gamma1,mean_norm_util,0.125,0.125,0.2056684527245671,0.12499999999999997,0.29972380547016325,0.16997098926444512,15
