cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"B=1.5,lam=0.25",equal,objective_regret,3.078969056725974,0.5894461996685649,4.267773766353727,0.17899382324302235,6.413001841690169,2.650017574984101,15
"B=1.5,lam=0.25",equal,mean_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,min_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
"B=1.5,lam=0.25",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_worse_than_strongest_sep,0.875,0.6875,1.0,0.5,1.0,0.8166666666666667,15
"B=1.5,lam=0.25",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",joint,mean_norm_util,0.2006551072403075,0.134567665664062,0.22376793811501117,0.1278382208541777,0.3121388143618782,0.19041793721082204,15
"B=1.5,lam=0.25",joint,min_norm_util,0.1342629992267479,0.13123551791318214,0.20769999696066105,0.12494245665726775,0.21054941785194484,0.15816554758531048,15
"B=1.5,lam=0.25",joint,median_norm_util,0.1425219837119925,0.1343213821542414,0.21388519947348605,0.12732421630085788,0.2449227910045977,0.17193067854468502,15
"B=1.5,lam=0.25",joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.03749999999999987,0.008333333333333333,15
"B=1.5,lam=0.25",joint,frac_worse_than_strongest_sep,0.375,0.25,0.5,0.125,0.5,0.3416666666666667,15
"B=1.5,lam=0.25",joint,worst_indiv_change_vs_equal,0.0092629992267479,0.0062355179131821006,0.08269999696066105,-5.754334273222993e-05,0.08554941785194484,0.0331655475853105,15
"B=1.5,lam=0.25",joint,p5_indiv_change_vs_equal,0.0174721129274786,0.0078761354389713,0.0828104639481135,0.0015874131785593,0.0865754028164033,0.03565827803658742,15
"B=1.5,lam=0.25",joint,capacity_utilization,0.9999999744529748,0.9999999369656059,0.9999999887196285,0.9999404760926649,0.9999999980334987,0.9999867620370524,15
"B=1.5,lam=0.25",joint,frac_cells_at_lower,0.5,0.46875,0.640625,0.409375,0.6968749999999999,0.5458333333333333,15
"B=1.5,lam=0.25",joint,frac_cells_interior,0.5,0.359375,0.53125,0.303125,0.590625,0.45416666666666666,15
"B=1.5,lam=0.25",joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",oracle_envelope,objective_regret,0.1040285540436478,0.0180979185794818,0.14692513463652185,0.00662174136873077,0.21658004114477616,0.09329708925515255,15
"B=1.5,lam=0.25",oracle_envelope,mean_norm_util,0.1999117089256755,0.13436162615153185,0.2238429229386213,0.12765899904299258,0.312223569215964,0.1902383271621692,15
"B=1.5,lam=0.25",oracle_envelope,min_norm_util,0.1222082508982873,0.10864418765312485,0.18129514862208584,0.09328438144526278,0.2007491992669225,0.13853082711371298,15
"B=1.5,lam=0.25",oracle_envelope,median_norm_util,0.1408406201493677,0.12852515777204435,0.20606197336547638,0.12347876186817341,0.23961801895929613,0.16637339171144208,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_equal,0.125,0.0,0.375,0.0,0.6624999999999999,0.21666666666666667,15
"B=1.5,lam=0.25",oracle_envelope,frac_worse_than_strongest_sep,0.375,0.0,0.625,0.0,0.875,0.31666666666666665,15
"B=1.5,lam=0.25",oracle_envelope,worst_indiv_change_vs_equal,-0.0027917491017126,-0.01635581234687505,0.0562951486220858,-0.03171561855473711,0.07574919926692252,0.01353082711371304,15
"B=1.5,lam=0.25",oracle_envelope,p5_indiv_change_vs_equal,-0.0019475698832699,-0.012709413194556301,0.0651414708051935,-0.01774176184168338,0.07640137473617874,0.018830636060057207,15
"B=1.5,lam=0.25",oracle_envelope,capacity_utilization,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_lower,0.34375,0.28125,0.375,0.15937500000000002,0.4624999999999998,0.32708333333333334,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_interior,0.65625,0.625,0.71875,0.5375,0.840625,0.6729166666666667,15
"B=1.5,lam=0.25",oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,objective_regret,0.5921256005457955,0.356675491896306,0.8446470780423674,0.11281200993523186,0.8883817925626509,0.5694961819158946,15
"B=1.5,lam=0.25",proportional_gamma1,mean_norm_util,0.1774733320985185,0.12813041433548156,0.1962929431985188,0.12604303177720633,0.2766366655085033,0.17367584898653107,15
"B=1.5,lam=0.25",proportional_gamma1,min_norm_util,0.1264821783730591,0.12515525947762515,0.1842001531814484,0.1250870349967777,0.19021787798267728,0.14768257507210386,15
"B=1.5,lam=0.25",proportional_gamma1,median_norm_util,0.13893760462719,0.1276381937658477,0.1871223798987821,0.12570500776486204,0.2198390715661184,0.15876616042409972,15
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_worse_than_strongest_sep,0.625,0.5,0.9375,0.375,1.0,0.7,15
"B=1.5,lam=0.25",proportional_gamma1,worst_indiv_change_vs_equal,0.0014821783730591,0.00015525947762515,0.05920015318144835,8.703499677775728e-05,0.06521787798267727,0.02268257507210382,15
"B=1.5,lam=0.25",proportional_gamma1,p5_indiv_change_vs_equal,0.0066176091239941,0.00027245899232685,0.05920377177112415,9.98211404175673e-05,0.0695019062752895,0.024344542755825198,15
"B=1.5,lam=0.25",proportional_gamma1,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"B=1.5,lam=0.25",proportional_gamma1,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"B=1.5,lam=0.25",tuned_gamma4.0,objective_regret,0.1199489500682808,0.022998729681138,0.19507889393460504,0.00662174136873077,0.34364612635759817,0.13514438288852018,15
