cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"h/Q=0.25,l/Q=0.0",equal,objective_regret,2.6993690396101684,2.355049201721876,3.187819586651167,1.1779652711332733,3.5200809463465945,2.632660049719021,60
"h/Q=0.25,l/Q=0.0",equal,mean_norm_util,0.5,0.5,0.5,0.5,0.5,0.5,60
"h/Q=0.25,l/Q=0.0",equal,min_norm_util,0.5,0.5,0.5,0.5,0.5,0.5,60
"h/Q=0.25,l/Q=0.0",equal,median_norm_util,0.5,0.5,0.5,0.5,0.5,0.5,60
"h/Q=0.25,l/Q=0.0",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,60
"h/Q=0.25,l/Q=0.0",equal,frac_worse_than_strongest_sep,1.0,1.0,1.0,1.0,1.0,0.9958333333333333,60
"h/Q=0.25,l/Q=0.0",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,60
"h/Q=0.25,l/Q=0.0",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,60
"h/Q=0.25,l/Q=0.0",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,60
"h/Q=0.25,l/Q=0.0",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,60
"h/Q=0.25,l/Q=0.0",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,60
"h/Q=0.25,l/Q=0.0",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,60
"h/Q=0.25,l/Q=0.0",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,60
"h/Q=0.25,l/Q=0.0",joint,mean_norm_util,0.70764897263344,0.6761638198326941,0.7475374946061281,0.5804412391394641,0.7796784120080719,0.7020459339022024,60
"h/Q=0.25,l/Q=0.0",joint,min_norm_util,0.5668016243092708,0.5411284170549833,0.6038720119432202,0.499757726757184,0.6423742654614548,0.5704330064876733,60
"h/Q=0.25,l/Q=0.0",joint,median_norm_util,0.7193238660547534,0.6760350707261263,0.7622960868476694,0.5842780747092587,0.7992329455925161,0.7141938660186805,60
"h/Q=0.25,l/Q=0.0",joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.006249999999999645,0.00625,60
"h/Q=0.25,l/Q=0.0",joint,frac_worse_than_strongest_sep,0.5,0.375,0.625,0.25,0.625,0.49166666666666664,60
"h/Q=0.25,l/Q=0.0",joint,worst_indiv_change_vs_equal,0.06680162430927081,0.041128417054983275,0.1038720119432201,-0.0002422732428160354,0.1423742654614548,0.07043300648767317,60
"h/Q=0.25,l/Q=0.0",joint,p5_indiv_change_vs_equal,0.08517084485016575,0.059106996317241825,0.12346615548284415,0.01915196005179225,0.15967808244550064,0.08883762391540967,60
"h/Q=0.25,l/Q=0.0",joint,capacity_utilization,0.999999998641852,0.999999998295174,0.9999999989632979,0.9999999975193669,0.9999999994112565,0.999999998569831,60
"h/Q=0.25,l/Q=0.0",joint,frac_cells_at_lower,0.28125,0.25,0.34375,0.1875,0.4078124999999999,0.2984375,60
"h/Q=0.25,l/Q=0.0",joint,frac_cells_interior,0.296875,0.21875,0.34375,0.125,0.4078124999999999,0.2875,60
"h/Q=0.25,l/Q=0.0",joint,frac_cells_at_upper,0.40625,0.375,0.4375,0.3734375,0.46875,0.4140625,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,objective_regret,0.03615078540862085,0.020970608608266102,0.0614037245335561,0.00311076768039288,0.0918076160245632,0.044106318451529056,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,mean_norm_util,0.7071185125476177,0.671670744019911,0.7467433969625932,0.5781093995529734,0.7801758420592803,0.7027624965315428,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,min_norm_util,0.5201419797676436,0.48675442261440016,0.5545817614774597,0.4378363021909019,0.6088462862266741,0.5208944629165544,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,median_norm_util,0.7221042203792485,0.6758588233418699,0.7702865239099658,0.5826731052852572,0.8013754757007919,0.7157323568222839,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_worse_than_equal,0.0,0.0,0.125,0.0,0.25,0.05416666666666667,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_worse_than_strongest_sep,0.5,0.5,0.625,0.23750000000000004,0.75,0.5270833333333333,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,worst_indiv_change_vs_equal,0.02014197976764365,-0.01324557738559975,0.05458176147745975,-0.06216369780909798,0.10884628622667412,0.020894462916554387,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,p5_indiv_change_vs_equal,0.04366362163095465,0.0062561565538648495,0.08085049770535183,-0.0404572025664437,0.11914233126886431,0.04588778930228464,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_cells_at_lower,0.03125,0.0,0.09375,0.0,0.1578124999999999,0.05416666666666667,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_cells_interior,0.625,0.53125,0.6875,0.4375,0.75,0.6046875,60
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_cells_at_upper,0.375,0.3125,0.375,0.25,0.40625,0.3411458333333333,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,objective_regret,0.7438851469583003,0.6484508116486385,0.887316414729642,0.5559051367029783,1.0552279600214605,0.7733489324729621,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,mean_norm_util,0.6298860773104749,0.603720778468732,0.6762183267467247,0.5384750633354713,0.7110540462972236,0.6354591538006175,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,min_norm_util,0.5567963705236495,0.5329555442089902,0.5956019525142948,0.5091324217043103,0.6566079983133288,0.5674699136442889,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,median_norm_util,0.622850087851019,0.5912758677695787,0.6665089855660016,0.5247181746784646,0.7076732400623743,0.6269271347411475,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_worse_than_strongest_sep,0.75,0.625,0.78125,0.625,1.0,0.7520833333333333,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,worst_indiv_change_vs_equal,0.05679637052364945,0.03295554420899005,0.09560195251429475,0.009132421704310235,0.15660799831332886,0.06746991364428889,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,p5_indiv_change_vs_equal,0.0618395803457633,0.03613724378714665,0.09979866263508885,0.011701382182376038,0.15867352910676702,0.07226153903274098,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_cells_interior,0.921875,0.90625,0.9375,0.875,0.9703124999999999,0.9223958333333333,60
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_cells_at_upper,0.078125,0.0625,0.09375,0.029687500000000006,0.125,0.07760416666666667,60
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,objective_regret,0.09252622745273695,0.07638936817147886,0.11932390790047176,0.05567102832515607,0.17424756981284398,0.10321354521720437,60
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,mean_norm_util,0.698369923596751,0.6653969729970396,0.7410489247290312,0.5696861938218615,0.7705746273251538,0.6937037055909677,60
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,min_norm_util,0.5662296407297904,0.5351656507755191,0.6034980915493502,0.5054580596730668,0.6321870921685638,0.5697555996315871,60
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,median_norm_util,0.6992524103912824,0.6494090676495242,0.7527738503236471,0.5687424070115369,0.7836458247025653,0.6952690380338526,60
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,60
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,60
