cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
"h/Q=0.25,l/Q=0.0",equal,objective_regret,2.69996771862958,2.4241920652576603,3.1824862464555608,1.4931881600689472,3.2955751449541353,2.6268776314530986,15
"h/Q=0.25,l/Q=0.0",equal,mean_norm_util,0.5,0.5,0.5,0.5,0.5,0.5,15
"h/Q=0.25,l/Q=0.0",equal,min_norm_util,0.5,0.5,0.5,0.5,0.5,0.5,15
"h/Q=0.25,l/Q=0.0",equal,median_norm_util,0.5,0.5,0.5,0.5,0.5,0.5,15
"h/Q=0.25,l/Q=0.0",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",equal,frac_worse_than_strongest_sep,1.0,1.0,1.0,1.0,1.0,1.0,15
"h/Q=0.25,l/Q=0.0",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"h/Q=0.25,l/Q=0.0",equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
"h/Q=0.25,l/Q=0.0",equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",joint,mean_norm_util,0.7114479021342164,0.6844293357237443,0.7484630431265757,0.6043953891233701,0.7596885047971453,0.7019105903584086,15
"h/Q=0.25,l/Q=0.0",joint,min_norm_util,0.5510486641778726,0.5384945020569815,0.606779744223932,0.49322503553476776,0.6241025325830162,0.5604223388508349,15
"h/Q=0.25,l/Q=0.0",joint,median_norm_util,0.7245488984307209,0.7014779217771607,0.7593425781597201,0.6028183693995858,0.7672150740327084,0.7127257281094194,15
"h/Q=0.25,l/Q=0.0",joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.03749999999999987,0.008333333333333333,15
"h/Q=0.25,l/Q=0.0",joint,frac_worse_than_strongest_sep,0.5,0.4375,0.625,0.3375,0.625,0.5,15
"h/Q=0.25,l/Q=0.0",joint,worst_indiv_change_vs_equal,0.0510486641778725,0.0384945020569814,0.1067797442239319,-0.006774964465232239,0.12410253258301616,0.06042233885083497,15
"h/Q=0.25,l/Q=0.0",joint,p5_indiv_change_vs_equal,0.0829545309197819,0.0492104400091988,0.122686877801568,0.015699522942313,0.1521074586411725,0.08180175885618728,15
"h/Q=0.25,l/Q=0.0",joint,capacity_utilization,0.9999999984490726,0.9999999982335297,0.9999999988274035,0.9999999970641643,0.9999999993699399,0.999999998414311,15
"h/Q=0.25,l/Q=0.0",joint,frac_cells_at_lower,0.3125,0.25,0.34375,0.21875,0.375,0.29583333333333334,15
"h/Q=0.25,l/Q=0.0",joint,frac_cells_interior,0.28125,0.234375,0.359375,0.209375,0.40625,0.29791666666666666,15
"h/Q=0.25,l/Q=0.0",joint,frac_cells_at_upper,0.40625,0.375,0.421875,0.375,0.46875,0.40625,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,objective_regret,0.0349796324932398,0.02113117550841,0.0585334564780293,0.01103319623629941,0.08021467774337612,0.04198915047891152,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,mean_norm_util,0.7113920456257867,0.6830563670798222,0.7495938249492526,0.5998916549093787,0.7614153654978251,0.7025934889722577,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,min_norm_util,0.5148105962424012,0.5022978832292296,0.5476057610862282,0.4513277107685768,0.5742204447462983,0.5185658265821054,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,median_norm_util,0.7205982157484097,0.6898169404000292,0.7672818331235962,0.5920041544587202,0.8016223919367981,0.7171765764361093,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_worse_than_equal,0.0,0.0,0.0625,0.0,0.16249999999999987,0.041666666666666664,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_worse_than_strongest_sep,0.5,0.5,0.625,0.0,0.6624999999999999,0.49166666666666664,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,worst_indiv_change_vs_equal,0.0148105962424012,0.0022978832292296003,0.0476057610862282,-0.04867228923142314,0.07422044474629826,0.018565826582105368,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,p5_indiv_change_vs_equal,0.0550678304115454,0.01055099025787495,0.07754803766152345,-0.029175585175753527,0.0959463221943082,0.042868433306070194,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_cells_at_lower,0.03125,0.0,0.0625,0.0,0.17499999999999993,0.052083333333333336,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_cells_interior,0.59375,0.578125,0.671875,0.41875,0.7281249999999999,0.6020833333333333,15
"h/Q=0.25,l/Q=0.0",oracle_envelope,frac_cells_at_upper,0.34375,0.328125,0.375,0.271875,0.40625,0.3458333333333333,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,objective_regret,0.7341925341089421,0.6395492191819603,0.8071754289788284,0.5821084567251649,0.9602443394574176,0.7351724293240771,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,mean_norm_util,0.6395621404039546,0.6084626617864896,0.6825310669841107,0.5600878303379178,0.6951497991943736,0.6374026030418032,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,min_norm_util,0.5736307963405264,0.5321864408531976,0.5951528845015492,0.521184392964799,0.6155646445713193,0.5676878727874037,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,median_norm_util,0.6517661692720762,0.601828532340573,0.6865269868686283,0.5474125178506863,0.6995220760965225,0.634320181419189,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_worse_than_strongest_sep,0.75,0.625,0.75,0.5875,0.875,0.7083333333333334,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,worst_indiv_change_vs_equal,0.0736307963405263,0.032186440853197495,0.0951528845015492,0.02118439296479898,0.11556464457131928,0.06768787278740371,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,p5_indiv_change_vs_equal,0.0746975213196575,0.0355103223042722,0.1015694567773136,0.02611924806108782,0.1266781626022458,0.07282489600174073,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,capacity_utilization,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_cells_interior,0.90625,0.90625,0.9375,0.875,0.96875,0.9229166666666667,15
"h/Q=0.25,l/Q=0.0",proportional_gamma1,frac_cells_at_upper,0.09375,0.0625,0.09375,0.03125,0.125,0.07708333333333334,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,objective_regret,0.0852502022883712,0.06967851663486074,0.1017526574130904,0.05626391426439411,0.12600099599716716,0.08777884395594168,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,mean_norm_util,0.7022947215669781,0.6768303140488452,0.7417024454474601,0.5973944374670054,0.7540692609600275,0.6944455037160052,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,min_norm_util,0.5644123189147314,0.533232392937246,0.5866202493508641,0.519186307793149,0.6202121265859606,0.5643875754200871,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,median_norm_util,0.7124173296499425,0.6685625980989707,0.7324445659915046,0.6027351119578117,0.7628897912413135,0.6946692618811794,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,worst_indiv_change_vs_equal,0.0644123189147314,0.033232392937246,0.086620249350864,0.019186307793148942,0.12021212658596057,0.0643875754200871,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,p5_indiv_change_vs_equal,0.0867510462415784,0.0419465707016386,0.11586076925203595,0.03200135103517855,0.1341138328759868,0.08062343443644734,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.009374999999999967,0.0020833333333333333,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,frac_cells_interior,0.6875,0.6875,0.71875,0.615625,0.7687499999999999,0.7,15
"h/Q=0.25,l/Q=0.0",tuned_gamma4.0,frac_cells_at_upper,0.3125,0.28125,0.3125,0.23125,0.375,0.29791666666666666,15
"h/Q=0.25,l/Q=0.01",equal,objective_regret,2.567805958499573,1.7085560064863436,2.864707916500386,1.3782006455550375,3.3043602824268956,2.402139542023714,15
"h/Q=0.25,l/Q=0.01",equal,mean_norm_util,0.5,0.5,0.5,0.5,0.5,0.5,15
"h/Q=0.25,l/Q=0.01",equal,min_norm_util,0.5,0.5,0.5,0.5,0.5,0.5,15
"h/Q=0.25,l/Q=0.01",equal,median_norm_util,0.5,0.5,0.5,0.5,0.5,0.5,15
"h/Q=0.25,l/Q=0.01",equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.01",equal,frac_worse_than_strongest_sep,1.0,1.0,1.0,0.9625,1.0,0.9916666666666667,15
"h/Q=0.25,l/Q=0.01",equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
"h/Q=0.25,l/Q=0.01",equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
