cell,rule,metric,median,iqr_lo,iqr_hi,p5,p95,mean,n
s=0.0,equal,objective_regret,3.307987729183292,2.7827542143645623,4.551278339806778,1.5841445827732126,5.235818919359677,3.513955109874985,15
s=0.0,equal,mean_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
s=0.0,equal,min_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
s=0.0,equal,median_norm_util,0.125,0.125,0.125,0.125,0.125,0.125,15
s=0.0,equal,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
s=0.0,equal,frac_worse_than_strongest_sep,0.75,0.75,0.875,0.55,1.0,0.7916666666666666,15
s=0.0,equal,worst_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
s=0.0,equal,p5_indiv_change_vs_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
s=0.0,equal,capacity_utilization,1.0,1.0,1.0,1.0,1.0,1.0,15
s=0.0,equal,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.0,0.0,15
s=0.0,equal,frac_cells_interior,1.0,1.0,1.0,1.0,1.0,1.0,15
s=0.0,equal,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
s=0.0,joint,objective_regret,0.0,0.0,0.0,0.0,0.0,0.0,15
s=0.0,joint,mean_norm_util,0.1906371914105282,0.1787673293623694,0.22334698198143876,0.1545227351385385,0.24770320402122073,0.20189268699984886,15
s=0.0,joint,min_norm_util,0.1494713756623505,0.14473065730354115,0.16277812093337757,0.13543843539573386,0.1834277278625196,0.15527652875158732,15
s=0.0,joint,median_norm_util,0.1794374420415783,0.16646182126870274,0.21369832583225645,0.14972461378380697,0.23681860895585194,0.18893921700594526,15
s=0.0,joint,frac_worse_than_equal,0.0,0.0,0.0,0.0,0.0,0.0,15
s=0.0,joint,frac_worse_than_strongest_sep,0.375,0.25,0.375,0.25,0.5,0.35,15
s=0.0,joint,worst_indiv_change_vs_equal,0.0244713756623505,0.01973065730354115,0.037778120933377554,0.01043843539573386,0.058427727862519624,0.030276528751587335,15
s=0.0,joint,p5_indiv_change_vs_equal,0.0282312446195509,0.0227632830789797,0.0410140045064463,0.013524986320606822,0.0682533262123398,0.034285319554506456,15
s=0.0,joint,capacity_utilization,0.9999999991369402,0.9999999990315969,0.9999999993796611,0.9999999989382634,0.9999999996308999,0.9999999992269137,15
s=0.0,joint,frac_cells_at_lower,0.65625,0.65625,0.6875,0.646875,0.71875,0.6729166666666667,15
s=0.0,joint,frac_cells_interior,0.34375,0.3125,0.34375,0.28125,0.35312499999999997,0.32708333333333334,15
s=0.0,joint,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
s=0.0,oracle_envelope,objective_regret,0.608728500263215,0.4863909861691713,0.7061631566331652,0.35070008469890646,0.7763737609357774,0.5876707383968082,15
s=0.0,oracle_envelope,mean_norm_util,0.1906295617196419,0.17378394258431415,0.22346996963911758,0.14880726983472023,0.2529041502206671,0.19910916755150093,15
s=0.0,oracle_envelope,min_norm_util,0.1130206611464036,0.10250284616346239,0.12042394775231449,0.08457528883175736,0.13244585154064412,0.11057903341701718,15
s=0.0,oracle_envelope,median_norm_util,0.1501624793363132,0.14215410582530336,0.20393551241622376,0.13376314880588075,0.22428722261799158,0.16901482991434866,15
s=0.0,oracle_envelope,frac_worse_than_equal,0.125,0.125,0.25,0.0,0.375,0.16666666666666666,15
s=0.0,oracle_envelope,frac_worse_than_strongest_sep,0.0,0.0,0.0,0.0,0.44999999999999973,0.08333333333333333,15
s=0.0,oracle_envelope,worst_indiv_change_vs_equal,-0.0119793388535963,-0.02249715383653755,-0.0045760522476854,-0.04042471116824255,0.007445851540644102,-0.014420966582982774,15
s=0.0,oracle_envelope,p5_indiv_change_vs_equal,-0.0063475306474194,-0.018911872127361652,0.0009014336090061,-0.03402854396428741,0.014927063973307227,-0.008544970635851822,15
s=0.0,oracle_envelope,capacity_utilization,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,15
s=0.0,oracle_envelope,frac_cells_at_lower,0.0,0.0,0.0,0.0,0.04062499999999997,0.008333333333333333,15
s=0.0,oracle_envelope,frac_cells_interior,1.0,1.0,1.0,0.959375,1.0,0.9916666666666667,15
s=0.0,oracle_envelope,frac_cells_at_upper,0.0,0.0,0.0,0.0,0.0,0.0,15
