experiment,cell,composition,contention,seed,policy,utility_family,scenario_hash,feasible,welfare_own_family,completion_mean,completion_min,completion_p5,optional_refinement_rate,quality_adjusted_completion,capacity_utilization,allocation_consumption,mandatory_failures_total,blocked_total,backend_total,capacity_violation,bound_violation,alloc_latency_ms
platform_mediation,homogeneous__moderate,homogeneous,moderate,257555101,equal,none,47550f7112736a87,True,,0.75,0.75,0.75,0.125,0.5750000000000001,0.9089861751152074,0.9089861751152074,12,42,90,0,0,3
platform_mediation,homogeneous__moderate,homogeneous,moderate,257555101,drf,none,47550f7112736a87,True,,0.75,0.75,0.75,0.125,0.5750000000000001,0.9089861751152074,0.9089861751152074,12,42,90,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,257555101,decomposed_cobb_douglas,COBB_DOUGLAS,47550f7112736a87,True,298.96713920329364,0.75,0.75,0.75,0.125,0.5750000000000001,0.9089861751152074,0.9089861751152074,12,42,90,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,257555101,joint_linear,LINEAR,47550f7112736a87,True,303.88354872522285,0.75,0.75,0.75,0.125,0.5750000000000001,0.9089861751152074,0.9089861751152074,12,42,90,0,0,794
platform_mediation,homogeneous__moderate,homogeneous,moderate,257555101,joint_cobb_douglas,COBB_DOUGLAS,47550f7112736a87,True,298.96713920329364,0.75,0.75,0.75,0.125,0.5750000000000001,0.9089861751152074,0.9089861751152074,12,42,90,0,0,624
platform_mediation,homogeneous__moderate,homogeneous,moderate,257555101,joint_ces,CES,47550f7112736a87,True,301.9580411114729,0.75,0.75,0.75,0.125,0.5750000000000001,0.9089861751152074,0.9089861751152074,12,42,90,0,0,605
platform_mediation,homogeneous__moderate,homogeneous,moderate,257555101,joint_leontief,LEONTIEF,47550f7112736a87,True,372.6860556076543,0.75,0.75,0.75,0.125,0.5750000000000001,0.9089861751152074,0.9089861751152074,12,42,90,0,0,629
platform_mediation,homogeneous__moderate,homogeneous,moderate,2202472669,equal,none,e65108a7c2a42937,True,,0.75,0.75,0.75,0.25,0.53125,0.9452307692307692,0.9452307692307692,12,18,84,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,2202472669,drf,none,e65108a7c2a42937,True,,0.75,0.75,0.75,0.25,0.53125,0.9452307692307692,0.9463955637707948,12,18,84,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,2202472669,decomposed_cobb_douglas,COBB_DOUGLAS,e65108a7c2a42937,True,284.32834751509887,0.75,0.75,0.75,0.25,0.53125,0.9452307692307692,0.9452307692307692,12,18,84,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,2202472669,joint_linear,LINEAR,e65108a7c2a42937,True,289.1506339350396,0.75,0.75,0.75,0.25,0.53125,0.9452307692307692,0.9452307692307692,12,18,84,0,0,614
platform_mediation,homogeneous__moderate,homogeneous,moderate,2202472669,joint_cobb_douglas,COBB_DOUGLAS,e65108a7c2a42937,True,284.32834751509887,0.75,0.75,0.75,0.25,0.53125,0.9452307692307692,0.9452307692307692,12,18,84,0,0,640
platform_mediation,homogeneous__moderate,homogeneous,moderate,2202472669,joint_ces,CES,e65108a7c2a42937,True,286.9266700102904,0.75,0.75,0.75,0.25,0.53125,0.9452307692307692,0.9452307692307692,12,18,84,0,0,688
platform_mediation,homogeneous__moderate,homogeneous,moderate,2202472669,joint_leontief,LEONTIEF,e65108a7c2a42937,True,369.32172001139446,0.75,0.75,0.75,0.25,0.53125,0.9452307692307692,0.9452307692307692,12,18,84,0,0,631
platform_mediation,homogeneous__moderate,homogeneous,moderate,1457445458,equal,none,2fb165b3e7080e40,True,,0.875,0.875,0.875,0.0,0.6375000000000001,0.9511228533685601,0.9511228533685601,6,66,78,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,1457445458,drf,none,2fb165b3e7080e40,True,,0.875,0.875,0.875,0.0,0.6375000000000001,0.9511228533685601,0.9511228533685601,6,66,78,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,1457445458,decomposed_cobb_douglas,COBB_DOUGLAS,2fb165b3e7080e40,True,289.0380913963979,0.875,0.875,0.875,0.0,0.6375000000000001,0.9511228533685601,0.9511228533685601,6,66,78,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,1457445458,joint_linear,LINEAR,2fb165b3e7080e40,True,293.8312550793833,0.875,0.875,0.875,0.0,0.6375000000000001,0.9511228533685601,0.9511228533685601,6,66,78,0,0,608
platform_mediation,homogeneous__moderate,homogeneous,moderate,1457445458,joint_cobb_douglas,COBB_DOUGLAS,2fb165b3e7080e40,True,289.0380913963978,0.875,0.875,0.875,0.0,0.6375000000000001,0.9511228533685601,0.9511228533685601,6,66,78,0,0,641
platform_mediation,homogeneous__moderate,homogeneous,moderate,1457445458,joint_ces,CES,2fb165b3e7080e40,True,291.9634988353168,0.875,0.875,0.875,0.0,0.6375000000000001,0.9511228533685601,0.9511228533685601,6,66,78,0,0,664
platform_mediation,homogeneous__moderate,homogeneous,moderate,1457445458,joint_leontief,LEONTIEF,2fb165b3e7080e40,True,363.6505422512614,0.875,0.875,0.875,0.0,0.6375000000000001,0.9511228533685601,0.9511228533685601,6,66,78,0,0,644
platform_mediation,homogeneous__moderate,homogeneous,moderate,370896467,equal,none,0d4eca5c9172b0a0,True,,0.625,0.625,0.625,0.0,0.45,0.9621993127147767,0.9621993127147767,18,30,90,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,370896467,drf,none,0d4eca5c9172b0a0,True,,0.625,0.625,0.625,0.0,0.45,0.9621993127147767,0.9621993127147767,18,30,90,0,0,0
platform_mediation,homogeneous__moderate,homogeneous,moderate,370896467,decomposed_cobb_douglas,COBB_DOUGLAS,0d4eca5c9172b0a0,True,296.3955004336572,0.625,0.625,0.625,0.0,0.45,0.9621993127147767,0.9621993127147767,18,30,90,0,0,0
