comparison,metric,equal_weight_mean,n_cells
joint_linear_minus_equal,completion_mean,-0.296875,4
joint_linear_minus_equal,completion_min,-0.15625,4
joint_linear_minus_equal,completion_p5,-0.15625,4
joint_linear_minus_equal,optional_refinement_rate,-0.19221230158730163,4
joint_linear_minus_equal,quality_adjusted_completion,-0.23291516735451367,4
joint_linear_minus_drf,completion_mean,-0.2864583333333333,4
joint_linear_minus_drf,completion_min,-0.15625,4
joint_linear_minus_drf,completion_p5,-0.15625,4
joint_linear_minus_drf,optional_refinement_rate,-0.18923611111111116,4
joint_linear_minus_drf,quality_adjusted_completion,-0.22805130614680197,4
joint_cobb_douglas_minus_equal,completion_mean,0.04166666666666666,4
joint_cobb_douglas_minus_equal,completion_min,0.0,4
joint_cobb_douglas_minus_equal,completion_p5,0.0,4
joint_cobb_douglas_minus_equal,optional_refinement_rate,-0.06721230158730158,4
joint_cobb_douglas_minus_equal,quality_adjusted_completion,0.02310749230290073,4
joint_cobb_douglas_minus_drf,completion_mean,0.05208333333333333,4
joint_cobb_douglas_minus_drf,completion_min,0.0,4
joint_cobb_douglas_minus_drf,completion_p5,0.0,4
joint_cobb_douglas_minus_drf,optional_refinement_rate,-0.06423611111111112,4
joint_cobb_douglas_minus_drf,quality_adjusted_completion,0.027971353510612453,4
joint_ces_minus_equal,completion_mean,-0.010416666666666689,4
joint_ces_minus_equal,completion_min,0.0,4
joint_ces_minus_equal,completion_p5,0.0,4
joint_ces_minus_equal,optional_refinement_rate,-0.09360119047619048,4
joint_ces_minus_equal,quality_adjusted_completion,-0.010579868763319018,4
joint_ces_minus_drf,completion_mean,0.0,4
joint_ces_minus_drf,completion_min,0.0,4
joint_ces_minus_drf,completion_p5,0.0,4
joint_ces_minus_drf,optional_refinement_rate,-0.09062499999999998,4
joint_ces_minus_drf,quality_adjusted_completion,-0.005716007555607298,4
joint_leontief_minus_equal,completion_mean,0.05208333333333332,4
joint_leontief_minus_equal,completion_min,0.03125,4
joint_leontief_minus_equal,completion_p5,0.03125,4
joint_leontief_minus_equal,optional_refinement_rate,-0.12797619047619047,4
joint_leontief_minus_equal,quality_adjusted_completion,0.026347584670518544,4
joint_leontief_minus_drf,completion_mean,0.0625,4
joint_leontief_minus_drf,completion_min,0.03125,4
joint_leontief_minus_drf,completion_p5,0.03125,4
joint_leontief_minus_drf,optional_refinement_rate,-0.12500000000000003,4
joint_leontief_minus_drf,quality_adjusted_completion,0.03121144587823027,4
joint_cobb_douglas_minus_joint_linear,completion_mean,0.33854166666666674,4
joint_cobb_douglas_minus_joint_linear,completion_min,0.15625,4
joint_cobb_douglas_minus_joint_linear,completion_p5,0.15625,4
joint_cobb_douglas_minus_joint_linear,optional_refinement_rate,0.12500000000000003,4
joint_cobb_douglas_minus_joint_linear,quality_adjusted_completion,0.2560226596574144,4
joint_ces_minus_joint_linear,completion_mean,0.2864583333333333,4
joint_ces_minus_joint_linear,completion_min,0.15625,4
joint_ces_minus_joint_linear,completion_p5,0.15625,4
joint_ces_minus_joint_linear,optional_refinement_rate,0.09861111111111114,4
joint_ces_minus_joint_linear,quality_adjusted_completion,0.2223352985911946,4
joint_leontief_minus_joint_linear,completion_mean,0.34895833333333326,4
joint_leontief_minus_joint_linear,completion_min,0.1875,4
joint_leontief_minus_joint_linear,completion_p5,0.1875,4
joint_leontief_minus_joint_linear,optional_refinement_rate,0.06423611111111113,4
joint_leontief_minus_joint_linear,quality_adjusted_completion,0.25926275202503224,4
decomposed_cobb_douglas_minus_joint_cobb_douglas,completion_mean,0.0,4
decomposed_cobb_douglas_minus_joint_cobb_douglas,completion_min,0.0,4
decomposed_cobb_douglas_minus_joint_cobb_douglas,completion_p5,0.0,4
decomposed_cobb_douglas_minus_joint_cobb_douglas,optional_refinement_rate,0.0,4
decomposed_cobb_douglas_minus_joint_cobb_douglas,quality_adjusted_completion,0.0,4
