cell,policy,utility_family,n,completion_mean,completion_min,completion_p5,optional_refinement_rate,quality_adjusted_completion,latency_budget_completion,declared_welfare,utilization_mean,mandatory_failures_total,blocked_total,backend_total,capacity_violation,bound_violation,alloc_latency_ms
broad_heterogeneous__high,drf,LINEAR,100,0.4375,0.25,0.25,0.22222222222222224,0.33670545017381565,0.37504047459219014,309.06724849327003,0.6732758804112758,27.0,28.0,40.0,0.0,0.0,0.0
broad_heterogeneous__high,equal,LINEAR,100,0.47916666666666663,0.25,0.25,0.22222222222222224,0.36168466672918875,0.41643749135481545,310.7572912794916,0.7338028307855536,25.0,28.0,44.0,0.0,0.0,0.0
broad_heterogeneous__high,joint_ces,CES,100,0.5056250000000001,0.21,0.2196875,0.22604166666666667,0.3884375303185776,0.4340299163697228,312.3012773274097,0.7353792408808576,23.73,34.27,44.38,0.0,0.0,634.22
broad_heterogeneous__high,joint_cobb_douglas,COBB_DOUGLAS,100,0.6308333333333335,0.24875,0.2490625,0.2289583333333333,0.46660231629233984,0.550951030132183,310.3982802439987,0.915649646858703,17.72,35.25,56.38,0.0,0.0,631.03
broad_heterogeneous__high,joint_leontief,LEONTIEF,100,0.6350000000000001,0.25,0.25,0.2811111111111111,0.47098677764560903,0.5465542810289495,395.19016861037323,0.9253977834556067,17.52,35.02,57.38,0.0,0.0,636.44
broad_heterogeneous__high,joint_linear,LINEAR,100,0.0,0.0,0.0,0.0,0.0,0.0,316.6029355955231,0.0,48.0,0.0,0.0,0.0,0.0,629.48
broad_heterogeneous__high,separable,LINEAR,100,0.41854166666666665,0.09875,0.1103125,0.27514682539682545,0.3077212219248234,0.3773812126557392,312.28498656969435,0.5645898171486118,27.91,24.19,35.92,0.0,0.0,0.01
broad_heterogeneous__moderate,drf,LINEAR,100,0.625,0.375,0.375,0.22083333333333333,0.48328423451115055,0.5013201503708496,337.5452087884039,0.7021424881926451,18.0,37.0,61.0,0.0,0.0,0.0
broad_heterogeneous__moderate,equal,LINEAR,100,0.6875,0.375,0.375,0.22083333333333333,0.5208561430652228,0.5636199617461318,339.1420310395644,0.764167987522219,15.0,37.0,67.0,0.0,0.0,0.0
broad_heterogeneous__moderate,joint_ces,CES,100,0.6214583333333333,0.29125,0.3115625,0.2517638888888889,0.49025747104097883,0.4678220217378611,340.6940948483363,0.7457063835512113,18.17,33.46,65.14,0.0,0.0,635.81
broad_heterogeneous__moderate,joint_cobb_douglas,COBB_DOUGLAS,100,0.7445833333333333,0.3625,0.3665625,0.26936805555555554,0.5678317118686471,0.5722892338311079,338.8117298950065,0.8815319845727368,12.26,32.52,78.44,0.0,0.0,629.97
broad_heterogeneous__moderate,joint_leontief,LEONTIEF,100,0.7570833333333333,0.3775,0.388125,0.2761944444444444,0.5778470718171881,0.5884269792346789,423.57562385468657,0.9049681510653298,11.66,33.14,80.22,0.0,0.0,638.57
broad_heterogeneous__moderate,joint_linear,LINEAR,100,0.0,0.0,0.0,0.0,0.0,0.0,345.0234785574684,0.0,48.0,0.0,0.0,0.0,0.0,629.98
broad_heterogeneous__moderate,separable,LINEAR,100,0.5975,0.15875,0.1778125,0.29055753968253967,0.44271932474601366,0.5204526545766628,340.8146327667735,0.5849226161686976,19.32,32.69,53.93,0.0,0.0,0.01
complementary__high,drf,LINEAR,100,0.4375,0.25,0.25,0.22222222222222224,0.3368822925395789,0.374483175780936,305.9434845674725,0.6732758804112758,27.0,28.0,40.0,0.0,0.0,0.0
complementary__high,equal,LINEAR,100,0.47916666666666663,0.25,0.25,0.22222222222222224,0.36199253942952,0.4159971008314925,307.62267198365856,0.7338028307855536,25.0,28.0,44.0,0.0,0.0,0.0
complementary__high,joint_ces,CES,100,0.5083333333333333,0.21375,0.2225,0.2207638888888889,0.389923322671369,0.4401422324124675,309.1495736078712,0.7365200533772832,23.6,34.55,44.54,0.0,0.0,629.37
complementary__high,joint_cobb_douglas,COBB_DOUGLAS,100,0.6329166666666667,0.2475,0.248125,0.21498015873015874,0.4676181126823499,0.5581126316350633,307.27433248026387,0.9154460885785664,17.62,35.54,56.49,0.0,0.0,626.87
complementary__high,joint_leontief,LEONTIEF,100,0.636875,0.25,0.25,0.2828125,0.47300134881956785,0.5481754042307617,391.1761014651015,0.92725152279963,17.43,35.16,57.55,0.0,0.0,634.75
complementary__high,joint_linear,LINEAR,100,0.0,0.0,0.0,0.0,0.0,0.0,313.4220730547276,0.0,48.0,0.0,0.0,0.0,0.0,632.8
complementary__high,separable,LINEAR,100,0.3977083333333333,0.125,0.125625,0.3393750000000001,0.30539496293449636,0.35240292885703456,311.75948116137425,0.505531791741438,28.91,29.56,31.02,0.0,0.0,0.0
complementary__moderate,drf,LINEAR,100,0.625,0.375,0.375,0.22083333333333333,0.48342123429187317,0.4999467525191229,338.2937165033849,0.7021424881926451,18.0,37.0,61.0,0.0,0.0,0.0
complementary__moderate,equal,LINEAR,100,0.6875,0.375,0.375,0.22083333333333333,0.5208203436189058,0.5624256511653376,339.895776346674,0.764167987522219,15.0,37.0,67.0,0.0,0.0,0.0
complementary__moderate,joint_ces,CES,100,0.6227083333333333,0.29625,0.3159375,0.24628472222222225,0.4905183844791095,0.4708342288258576,341.4302173913087,0.7470209721385269,18.11,33.67,65.05,0.0,0.0,632.86
