cell,policy,mean_completion_change_vs_equal,worst_agent_loss_vs_equal,frac_agents_worse,n_agents
broad_heterogeneous__high,joint,-0.285,-0.5,0.99,600
broad_heterogeneous__moderate,joint,-0.43020833333333336,-0.75,1.0,600
complementary__high,joint,-0.2916666666666667,-0.5,1.0,600
complementary__moderate,joint,-0.4375,-0.75,1.0,600
identical__high,joint,-0.0022916666666666667,-0.125,0.018333333333333333,600
identical__moderate,joint,-0.055625,-0.125,0.445,600
nearly_specialized__high,joint,-0.2916666666666667,-0.5,1.0,600
nearly_specialized__moderate,joint,-0.4375,-0.75,1.0,600
broad_heterogeneous__high,separable,-0.14604166666666665,-0.375,0.775,600
broad_heterogeneous__moderate,separable,-0.22458333333333333,-0.625,0.875,600
complementary__high,separable,-0.18208333333333335,-0.5,0.6666666666666666,600
complementary__moderate,separable,-0.23291666666666666,-0.625,0.6966666666666667,600
identical__high,separable,0.01875,0.0,0.0,600
identical__moderate,separable,-0.049791666666666665,-0.125,0.44333333333333336,600
nearly_specialized__high,separable,-0.24208333333333334,-0.5,0.9366666666666666,600
nearly_specialized__moderate,separable,-0.3541666666666667,-0.75,1.0,600
broad_heterogeneous__high,drf,-0.041666666666666664,-0.25,0.16666666666666666,600
broad_heterogeneous__moderate,drf,-0.0625,-0.375,0.16666666666666666,600
complementary__high,drf,-0.041666666666666664,-0.25,0.16666666666666666,600
complementary__moderate,drf,-0.0625,-0.375,0.16666666666666666,600
identical__high,drf,0.0,0.0,0.0,600
identical__moderate,drf,0.0,0.0,0.0,600
nearly_specialized__high,drf,-0.041666666666666664,-0.25,0.16666666666666666,600
nearly_specialized__moderate,drf,-0.0625,-0.375,0.16666666666666666,600
