comparison,metric,mean_diff,ci_lo,ci_hi,n_cells,n_per_cell
joint_linear_minus_equal,completion_mean,-0.5393749999999999,-0.5475,-0.5307291666666667,2,100
joint_cobb_douglas_minus_equal,completion_mean,0.02822916666666667,0.023124999999999996,0.03333333333333333,2,100
joint_ces_minus_equal,completion_mean,0.02989583333333334,0.024479166666666673,0.035937500000000004,2,100
joint_leontief_minus_equal,completion_mean,0.026145833333333337,0.020416666666666666,0.031565104166666656,2,100
joint_linear_minus_drf,completion_mean,-0.5605208333333334,-0.5685442708333334,-0.5528124999999999,2,100
joint_cobb_douglas_minus_drf,completion_mean,0.007083333333333332,0.0029166666666666655,0.011249999999999993,2,100
joint_ces_minus_drf,completion_mean,0.008750000000000004,0.003749999999999999,0.013750000000000005,2,100
joint_leontief_minus_drf,completion_mean,0.0049999999999999975,0.0008333333333333305,0.009270833333333329,2,100
joint_cobb_douglas_minus_joint_linear,completion_mean,0.5676041666666666,0.5595807291666666,0.5752109375,2,100
joint_ces_minus_joint_linear,completion_mean,0.5692708333333333,0.5618723958333334,0.5765625,2,100
joint_leontief_minus_joint_linear,completion_mean,0.5655208333333334,0.5581223958333333,0.5729166666666667,2,100
decomposed_cobb_douglas_minus_joint_cobb_douglas,completion_mean,-0.0003125,-0.001458333333333331,0.0008333333333333337,2,100
