cell,comparison,metric,mean_diff,ci_lo,ci_hi,n_pairs
homogeneous__high,joint_linear_minus_equal,completion_mean,0.0,0.0,0.0,100
homogeneous__moderate,joint_linear_minus_equal,completion_mean,0.0,0.0,0.0,100
mixed_bundle__high,joint_linear_minus_equal,completion_mean,-0.4666666666666666,-0.477921875,-0.4549947916666666,100
mixed_bundle__moderate,joint_linear_minus_equal,completion_mean,-0.6120833333333333,-0.6241718749999999,-0.5997916666666666,100
homogeneous__high,joint_cobb_douglas_minus_equal,completion_mean,-0.0006250000000000011,-0.001458333333333336,0.0,100
homogeneous__moderate,joint_cobb_douglas_minus_equal,completion_mean,-0.0002083333333333326,-0.0006249999999999977,0.0,100
mixed_bundle__high,joint_cobb_douglas_minus_equal,completion_mean,0.015833333333333338,0.008541666666666666,0.023541666666666666,100
mixed_bundle__moderate,joint_cobb_douglas_minus_equal,completion_mean,0.040625,0.03311979166666665,0.048541666666666664,100
homogeneous__high,joint_ces_minus_equal,completion_mean,0.0,0.0,0.0,100
homogeneous__moderate,joint_ces_minus_equal,completion_mean,0.0,0.0,0.0,100
mixed_bundle__high,joint_ces_minus_equal,completion_mean,0.02395833333333334,0.015833333333333338,0.03229166666666667,100
mixed_bundle__moderate,joint_ces_minus_equal,completion_mean,0.03583333333333334,0.02833333333333334,0.04313020833333332,100
homogeneous__high,joint_leontief_minus_equal,completion_mean,0.0,0.0,0.0,100
homogeneous__moderate,joint_leontief_minus_equal,completion_mean,0.0,0.0,0.0,100
mixed_bundle__high,joint_leontief_minus_equal,completion_mean,0.01,0.0031197916666666635,0.017291666666666667,100
mixed_bundle__moderate,joint_leontief_minus_equal,completion_mean,0.04229166666666667,0.03375,0.050625,100
homogeneous__high,joint_linear_minus_drf,completion_mean,0.002708333333333334,0.0010416666666666673,0.004583333333333332,100
homogeneous__moderate,joint_linear_minus_drf,completion_mean,0.0002083333333333326,0.0,0.0006249999999999977,100
mixed_bundle__high,joint_linear_minus_drf,completion_mean,-0.47604166666666664,-0.48625,-0.465625,100
mixed_bundle__moderate,joint_linear_minus_drf,completion_mean,-0.645,-0.6560416666666665,-0.6335416666666666,100
homogeneous__high,joint_cobb_douglas_minus_drf,completion_mean,0.0020833333333333324,0.0006249999999999984,0.0037499999999999973,100
homogeneous__moderate,joint_cobb_douglas_minus_drf,completion_mean,0.0,-0.0006249999999999977,0.0006249999999999977,100
mixed_bundle__high,joint_cobb_douglas_minus_drf,completion_mean,0.006458333333333331,0.0008333333333333286,0.011666666666666659,100
mixed_bundle__moderate,joint_cobb_douglas_minus_drf,completion_mean,0.0077083333333333335,0.0010416666666666673,0.014796874999999978,100
homogeneous__high,joint_ces_minus_drf,completion_mean,0.002708333333333334,0.0010416666666666669,0.004583333333333333,100
homogeneous__moderate,joint_ces_minus_drf,completion_mean,0.0002083333333333326,0.0,0.0006249999999999977,100
mixed_bundle__high,joint_ces_minus_drf,completion_mean,0.014583333333333335,0.0075,0.021874999999999995,100
mixed_bundle__moderate,joint_ces_minus_drf,completion_mean,0.002916666666666673,-0.003755208333333326,0.009796874999999984,100
homogeneous__high,joint_leontief_minus_drf,completion_mean,0.002708333333333334,0.0010416666666666669,0.004375000000000001,100
homogeneous__moderate,joint_leontief_minus_drf,completion_mean,0.0002083333333333326,0.0,0.0006249999999999977,100
mixed_bundle__high,joint_leontief_minus_drf,completion_mean,0.000624999999999995,-0.0056250000000000015,0.0066666666666666645,100
mixed_bundle__moderate,joint_leontief_minus_drf,completion_mean,0.009375,0.0033333333333333305,0.016041666666666662,100
homogeneous__high,joint_cobb_douglas_minus_joint_linear,completion_mean,-0.0006250000000000011,-0.001458333333333336,0.0,100
homogeneous__moderate,joint_cobb_douglas_minus_joint_linear,completion_mean,-0.0002083333333333326,-0.0006249999999999977,0.0,100
mixed_bundle__high,joint_cobb_douglas_minus_joint_linear,completion_mean,0.4825,0.4725,0.4925,100
mixed_bundle__moderate,joint_cobb_douglas_minus_joint_linear,completion_mean,0.6527083333333331,0.6414583333333335,0.664375,100
homogeneous__high,joint_ces_minus_joint_linear,completion_mean,0.0,0.0,0.0,100
homogeneous__moderate,joint_ces_minus_joint_linear,completion_mean,0.0,0.0,0.0,100
mixed_bundle__high,joint_ces_minus_joint_linear,completion_mean,0.490625,0.48020312499999995,0.5008333333333334,100
mixed_bundle__moderate,joint_ces_minus_joint_linear,completion_mean,0.6479166666666666,0.6375,0.6589583333333333,100
homogeneous__high,joint_leontief_minus_joint_linear,completion_mean,0.0,0.0,0.0,100
homogeneous__moderate,joint_leontief_minus_joint_linear,completion_mean,0.0,0.0,0.0,100
mixed_bundle__high,joint_leontief_minus_joint_linear,completion_mean,0.4766666666666666,0.4662447916666666,0.4872916666666666,100
mixed_bundle__moderate,joint_leontief_minus_joint_linear,completion_mean,0.654375,0.6435416666666666,0.6660416666666665,100
homogeneous__high,decomposed_cobb_douglas_minus_joint_cobb_douglas,completion_mean,0.0006250000000000011,0.0,0.001458333333333336,100
homogeneous__moderate,decomposed_cobb_douglas_minus_joint_cobb_douglas,completion_mean,0.0002083333333333326,0.0,0.0006249999999999977,100
mixed_bundle__high,decomposed_cobb_douglas_minus_joint_cobb_douglas,completion_mean,0.0,0.0,0.0,100
mixed_bundle__moderate,decomposed_cobb_douglas_minus_joint_cobb_douglas,completion_mean,0.0002083333333333326,0.0,0.0006249999999999977,100
