cell,regime,concentration,contention,seed,policy,utility_family,task_workload_hash,scenario_hash,feasible,solver_status,fallback_used,queue_order_completion_mean,queue_order_tasks_per_run,locally_optimized_completion_mean,locally_optimized_tasks_per_run,qo_completion_min,qo_completion_p5,lo_completion_min,lo_completion_p5,frac_zero_qo,frac_zero_lo,frac_worse_than_equal_qo,frac_worse_than_equal_lo,mean_change_vs_equal_qo,worst_change_vs_equal_qo,capacity_utilization,allocation_consumption,unused_installed_total,alloc_distance_from_equal_mean,mandatory_failures_total,capacity_by_resource,mandatory_demand_by_resource,realized_contention_by_resource,capacity_violation,bound_violation,alloc_latency_ms
homogeneous__moderate,homogeneous,,moderate,2399665203,equal,none,382fe0c47747982e,426251ef6d3d7d7e,True,equal,False,0.875,42.0,0.875,42.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.9713574097135741,0.9713574097135741,46,0.0,6,"{""COMPUTE"": 628, ""MEMORY"": 535, ""DATASET"": 148, ""API_CREDITS"": 295}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.3009345794392524, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.3016949152542372}",0,0,3
homogeneous__moderate,homogeneous,,moderate,2399665203,drf,none,382fe0c47747982e,426251ef6d3d7d7e,True,drf,False,0.875,42.0,0.875,42.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.9713574097135741,0.9719626168224299,45,0.0006218905472636816,6,"{""COMPUTE"": 628, ""MEMORY"": 535, ""DATASET"": 148, ""API_CREDITS"": 295}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.3009345794392524, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.3016949152542372}",0,0,0
homogeneous__moderate,homogeneous,,moderate,2399665203,decomposed_cobb_douglas,COBB_DOUGLAS,382fe0c47747982e,426251ef6d3d7d7e,True,decomposed_cobb_douglas,False,0.875,42.0,0.875,42.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.9713574097135741,0.9713574097135741,46,0.0,6,"{""COMPUTE"": 628, ""MEMORY"": 535, ""DATASET"": 148, ""API_CREDITS"": 295}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.3009345794392524, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.3016949152542372}",0,0,0
homogeneous__moderate,homogeneous,,moderate,2399665203,joint_linear,LINEAR,382fe0c47747982e,426251ef6d3d7d7e,True,optimal,False,0.875,42.0,0.875,42.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.9713574097135741,0.9713574097135741,46,0.007462963655684263,6,"{""COMPUTE"": 628, ""MEMORY"": 535, ""DATASET"": 148, ""API_CREDITS"": 295}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.3009345794392524, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.3016949152542372}",0,0,693
homogeneous__moderate,homogeneous,,moderate,2399665203,joint_cobb_douglas,COBB_DOUGLAS,382fe0c47747982e,426251ef6d3d7d7e,True,optimal,False,0.875,42.0,0.875,42.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.9713574097135741,0.9713574097135741,46,0.004975332194499515,6,"{""COMPUTE"": 628, ""MEMORY"": 535, ""DATASET"": 148, ""API_CREDITS"": 295}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.3009345794392524, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.3016949152542372}",0,0,622
homogeneous__moderate,homogeneous,,moderate,2399665203,joint_ces,CES,382fe0c47747982e,426251ef6d3d7d7e,True,optimal,False,0.875,42.0,0.875,42.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.9713574097135741,0.9713574097135741,46,0.007462963655684263,6,"{""COMPUTE"": 628, ""MEMORY"": 535, ""DATASET"": 148, ""API_CREDITS"": 295}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.3009345794392524, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.3016949152542372}",0,0,651
homogeneous__moderate,homogeneous,,moderate,2399665203,joint_leontief,LEONTIEF,382fe0c47747982e,426251ef6d3d7d7e,True,optimal,False,0.875,42.0,0.875,42.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.9713574097135741,0.9713574097135741,46,0.007462963655684263,6,"{""COMPUTE"": 628, ""MEMORY"": 535, ""DATASET"": 148, ""API_CREDITS"": 295}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.3009345794392524, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.3016949152542372}",0,0,640
homogeneous__high,homogeneous,,high,2399665203,equal,none,382fe0c47747982e,1aa58e6ed7ae85cf,True,equal,False,0.75,36.0,0.75,36.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.9398907103825137,0.9398907103825137,66,0.0,12,"{""COMPUTE"": 429, ""MEMORY"": 366, ""DATASET"": 101, ""API_CREDITS"": 202}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.902097902097902, ""MEMORY"": 1.901639344262295, ""DATASET"": 1.900990099009901, ""API_CREDITS"": 1.900990099009901}",0,0,0
homogeneous__high,homogeneous,,high,2399665203,drf,none,382fe0c47747982e,1aa58e6ed7ae85cf,True,drf,False,0.75,36.0,0.75,36.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.9398907103825137,0.9398907103825137,66,0.0,12,"{""COMPUTE"": 429, ""MEMORY"": 366, ""DATASET"": 101, ""API_CREDITS"": 202}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.902097902097902, ""MEMORY"": 1.901639344262295, ""DATASET"": 1.900990099009901, ""API_CREDITS"": 1.900990099009901}",0,0,0
homogeneous__high,homogeneous,,high,2399665203,decomposed_cobb_douglas,COBB_DOUGLAS,382fe0c47747982e,1aa58e6ed7ae85cf,True,decomposed_cobb_douglas,False,0.75,36.0,0.75,36.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.9398907103825137,0.9398907103825137,66,0.0,12,"{""COMPUTE"": 429, ""MEMORY"": 366, ""DATASET"": 101, ""API_CREDITS"": 202}","{""COMPUTE"": 816, ""MEMORY"": 696, ""DATASET"": 192, ""API_CREDITS"": 384}","{""COMPUTE"": 1.902097902097902, ""MEMORY"": 1.901639344262295, ""DATASET"": 1.900990099009901, ""API_CREDITS"": 1.900990099009901}",0,0,0
