cell,regime,kind,concentration,floor_regime,contention,contention_ratio,seed,task_workload_hash,scenario_hash,latent_probs_by_agent,realized_task_counts_by_agent,unique_archetypes_per_agent,frac_agents_all_four_archetypes,task_entropy_mean,task_mixture_tv_mean_pairwise,resource_demand_tv_mean_pairwise,resource_centroid_distance_mean,aggregate_mandatory_demand,capacity_by_resource,realized_contention_by_resource,active_resource_count,inactive_resources,floor_fraction_by_resource,declaration_source,redraws,reject_reason
homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,2399665203,382fe0c47747982e,426251ef6d3d7d7e,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}]","[4, 4, 4, 4, 4, 4]",1.0,0.9528195311147832,0.0,0.0,0.0,"{""COMPUTE"": 816, ""MEMORY"": 696, ""API_CREDITS"": 384, ""DATASET"": 192}","{""COMPUTE"": 628, ""MEMORY"": 535, ""API_CREDITS"": 295, ""DATASET"": 148}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.3009345794392524, ""API_CREDITS"": 1.3016949152542372, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.009554140127388535, ""MEMORY"": 0.011214953271028037, ""API_CREDITS"": 0.020338983050847456, ""DATASET"": 0.04054054054054054}",exact_pending_queue,0,
homogeneous__high,homogeneous,homogeneous,,unit,high,1.9,2399665203,382fe0c47747982e,1aa58e6ed7ae85cf,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}]","[4, 4, 4, 4, 4, 4]",1.0,0.9528195311147832,0.0,0.0,0.0,"{""COMPUTE"": 816, ""MEMORY"": 696, ""API_CREDITS"": 384, ""DATASET"": 192}","{""COMPUTE"": 429, ""MEMORY"": 366, ""API_CREDITS"": 202, ""DATASET"": 101}","{""COMPUTE"": 1.902097902097902, ""MEMORY"": 1.901639344262295, ""API_CREDITS"": 1.900990099009901, ""DATASET"": 1.900990099009901}",4,[],"{""COMPUTE"": 0.013986013986013986, ""MEMORY"": 0.01639344262295082, ""API_CREDITS"": 0.0297029702970297, ""DATASET"": 0.0594059405940594}",exact_pending_queue,0,
homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,1220504476,743df70040499301,e6f465da336ca3f6,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}]","[3, 3, 3, 3, 3, 3]",0.0,0.7806390622295662,0.0,0.0,0.0,"{""COMPUTE"": 948, ""MEMORY"": 798, ""API_CREDITS"": 402, ""DATASET"": 240}","{""COMPUTE"": 729, ""MEMORY"": 614, ""API_CREDITS"": 309, ""DATASET"": 185}","{""COMPUTE"": 1.300411522633745, ""MEMORY"": 1.299674267100977, ""API_CREDITS"": 1.3009708737864079, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.00823045267489712, ""MEMORY"": 0.009771986970684038, ""API_CREDITS"": 0.019417475728155338, ""DATASET"": 0.032432432432432434}",exact_pending_queue,0,
homogeneous__high,homogeneous,homogeneous,,unit,high,1.9,1220504476,743df70040499301,d9546753b21ab7a0,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}]","[3, 3, 3, 3, 3, 3]",0.0,0.7806390622295662,0.0,0.0,0.0,"{""COMPUTE"": 948, ""MEMORY"": 798, ""API_CREDITS"": 402, ""DATASET"": 240}","{""COMPUTE"": 499, ""MEMORY"": 420, ""API_CREDITS"": 212, ""DATASET"": 126}","{""COMPUTE"": 1.8997995991983967, ""MEMORY"": 1.9, ""API_CREDITS"": 1.8962264150943395, ""DATASET"": 1.9047619047619047}",4,[],"{""COMPUTE"": 0.012024048096192385, ""MEMORY"": 0.014285714285714285, ""API_CREDITS"": 0.02830188679245283, ""DATASET"": 0.047619047619047616}",exact_pending_queue,0,
homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,3267176518,a20801809d14e78a,58a457267021855a,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}]","[4, 4, 4, 4, 4, 4]",1.0,0.875,0.0,0.0,0.0,"{""COMPUTE"": 828, ""MEMORY"": 690, ""API_CREDITS"": 414, ""DATASET"": 144}","{""COMPUTE"": 637, ""MEMORY"": 531, ""API_CREDITS"": 318, ""DATASET"": 111}","{""COMPUTE"": 1.2998430141287285, ""MEMORY"": 1.2994350282485876, ""API_CREDITS"": 1.3018867924528301, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.009419152276295133, ""MEMORY"": 0.011299435028248588, ""API_CREDITS"": 0.018867924528301886, ""DATASET"": 0.05405405405405406}",exact_pending_queue,0,
homogeneous__high,homogeneous,homogeneous,,unit,high,1.9,3267176518,a20801809d14e78a,7f35297d02d45f6f,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 1}]","[4, 4, 4, 4, 4, 4]",1.0,0.875,0.0,0.0,0.0,"{""COMPUTE"": 828, ""MEMORY"": 690, ""API_CREDITS"": 414, ""DATASET"": 144}","{""COMPUTE"": 436, ""MEMORY"": 363, ""API_CREDITS"": 218, ""DATASET"": 76}","{""COMPUTE"": 1.8990825688073394, ""MEMORY"": 1.9008264462809918, ""API_CREDITS"": 1.8990825688073394, ""DATASET"": 1.894736842105263}",4,[],"{""COMPUTE"": 0.013761467889908258, ""MEMORY"": 0.01652892561983471, ""API_CREDITS"": 0.027522935779816515, ""DATASET"": 0.07894736842105263}",exact_pending_queue,0,
homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,1447440350,6d34134db6c7166c,5e70387ce902faa8,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}]","[3, 3, 3, 3, 3, 3]",0.0,0.7806390622295662,0.0,0.0,0.0,"{""COMPUTE"": 948, ""MEMORY"": 798, ""API_CREDITS"": 402, ""DATASET"": 240}","{""COMPUTE"": 729, ""MEMORY"": 614, ""API_CREDITS"": 309, ""DATASET"": 185}","{""COMPUTE"": 1.300411522633745, ""MEMORY"": 1.299674267100977, ""API_CREDITS"": 1.3009708737864079, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.00823045267489712, ""MEMORY"": 0.009771986970684038, ""API_CREDITS"": 0.019417475728155338, ""DATASET"": 0.032432432432432434}",exact_pending_queue,0,
homogeneous__high,homogeneous,homogeneous,,unit,high,1.9,1447440350,6d34134db6c7166c,51d2ad5338a38ff5,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 3}]","[3, 3, 3, 3, 3, 3]",0.0,0.7806390622295662,0.0,0.0,0.0,"{""COMPUTE"": 948, ""MEMORY"": 798, ""API_CREDITS"": 402, ""DATASET"": 240}","{""COMPUTE"": 499, ""MEMORY"": 420, ""API_CREDITS"": 212, ""DATASET"": 126}","{""COMPUTE"": 1.8997995991983967, ""MEMORY"": 1.9, ""API_CREDITS"": 1.8962264150943395, ""DATASET"": 1.9047619047619047}",4,[],"{""COMPUTE"": 0.012024048096192385, ""MEMORY"": 0.014285714285714285, ""API_CREDITS"": 0.02830188679245283, ""DATASET"": 0.047619047619047616}",exact_pending_queue,0,
homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,3617106314,38e9ca034b700b2e,25fae3c344f7bf0d,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}]","[3, 3, 3, 3, 3, 3]",0.0,0.7806390622295666,0.0,0.0,6.938893903907228e-18,"{""COMPUTE"": 888, ""MEMORY"": 774, ""API_CREDITS"": 426, ""DATASET"": 240}","{""COMPUTE"": 683, ""MEMORY"": 595, ""API_CREDITS"": 328, ""DATASET"": 185}","{""COMPUTE"": 1.3001464128843339, ""MEMORY"": 1.3008403361344538, ""API_CREDITS"": 1.298780487804878, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.008784773060029283, ""MEMORY"": 0.010084033613445379, ""API_CREDITS"": 0.018292682926829267, ""DATASET"": 0.032432432432432434}",exact_pending_queue,0,
homogeneous__high,homogeneous,homogeneous,,unit,high,1.9,3617106314,38e9ca034b700b2e,bc7f72eb1a01fef2,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}]","[3, 3, 3, 3, 3, 3]",0.0,0.7806390622295666,0.0,0.0,6.938893903907228e-18,"{""COMPUTE"": 888, ""MEMORY"": 774, ""API_CREDITS"": 426, ""DATASET"": 240}","{""COMPUTE"": 467, ""MEMORY"": 407, ""API_CREDITS"": 224, ""DATASET"": 126}","{""COMPUTE"": 1.9014989293361884, ""MEMORY"": 1.9017199017199018, ""API_CREDITS"": 1.9017857142857142, ""DATASET"": 1.9047619047619047}",4,[],"{""COMPUTE"": 0.01284796573875803, ""MEMORY"": 0.014742014742014743, ""API_CREDITS"": 0.026785714285714284, ""DATASET"": 0.047619047619047616}",exact_pending_queue,0,
