cell,regime,contention,policy,n_seeds,qo_completion_mean,qo_tasks_per_run,lo_completion_mean,lo_tasks_per_run,cap_util,alloc_distance_from_equal,unused_installed_total_mean
homogeneous__moderate,homogeneous,moderate,equal,200,0.729688,35.0250,0.778958,37.3900,0.937205,0.000000,102.2150
homogeneous__moderate,homogeneous,moderate,drf,200,0.729167,35.0000,0.778958,37.3900,0.937037,0.000582,101.5450
homogeneous__moderate,homogeneous,moderate,decomposed_cobb_douglas,200,0.729688,35.0250,0.778958,37.3900,0.937205,0.000000,102.2150
homogeneous__moderate,homogeneous,moderate,joint_linear,200,0.729688,35.0250,0.778958,37.3900,0.937205,0.006736,102.2150
homogeneous__moderate,homogeneous,moderate,joint_cobb_douglas,200,0.729688,35.0250,0.778958,37.3900,0.937205,0.003502,102.2150
homogeneous__moderate,homogeneous,moderate,joint_ces,200,0.729688,35.0250,0.778958,37.3900,0.937205,0.006783,102.2150
homogeneous__moderate,homogeneous,moderate,joint_leontief,200,0.729688,35.0250,0.778958,37.3900,0.937205,0.006302,102.2150
iid_uniform__moderate,iid_uniform,moderate,equal,200,0.715833,34.3600,0.759792,36.4700,0.925910,0.000000,125.5100
iid_uniform__moderate,iid_uniform,moderate,drf,200,0.746875,35.8500,0.796458,38.2300,0.941891,0.112116,87.3950
iid_uniform__moderate,iid_uniform,moderate,decomposed_cobb_douglas,200,0.750313,36.0150,0.801042,38.4500,0.945378,0.040410,92.4950
iid_uniform__moderate,iid_uniform,moderate,joint_linear,200,0.108125,5.1900,0.118854,5.7050,0.096735,0.741751,1545.4900
iid_uniform__moderate,iid_uniform,moderate,joint_cobb_douglas,200,0.750313,36.0150,0.801042,38.4500,0.945464,0.040410,92.3600
iid_uniform__moderate,iid_uniform,moderate,joint_ces,200,0.745729,35.7950,0.789479,37.8950,0.927052,0.073370,123.4650
iid_uniform__moderate,iid_uniform,moderate,joint_leontief,200,0.747812,35.8950,0.798854,38.3450,0.946473,0.071917,90.4700
dirichlet_3.0__moderate,dirichlet_3.0,moderate,equal,200,0.707604,33.9650,0.745833,35.8000,0.915352,0.000000,144.1250
dirichlet_3.0__moderate,dirichlet_3.0,moderate,drf,200,0.749062,35.9550,0.786458,37.7500,0.937944,0.138389,88.4800
dirichlet_3.0__moderate,dirichlet_3.0,moderate,decomposed_cobb_douglas,200,0.758125,36.3900,0.798021,38.3050,0.943981,0.049880,94.9000
dirichlet_3.0__moderate,dirichlet_3.0,moderate,joint_linear,200,0.112292,5.3900,0.122188,5.8650,0.102482,0.721802,1541.4400
dirichlet_3.0__moderate,dirichlet_3.0,moderate,joint_cobb_douglas,200,0.758125,36.3900,0.798021,38.3050,0.943825,0.049898,95.1300
dirichlet_3.0__moderate,dirichlet_3.0,moderate,joint_ces,200,0.744896,35.7550,0.779583,37.4200,0.915237,0.088777,143.3400
dirichlet_3.0__moderate,dirichlet_3.0,moderate,joint_leontief,200,0.753125,36.1500,0.794375,38.1300,0.945567,0.091720,91.9450
dirichlet_1.0__moderate,dirichlet_1.0,moderate,equal,200,0.702396,33.7150,0.733229,35.1950,0.902861,0.000000,163.1350
dirichlet_1.0__moderate,dirichlet_1.0,moderate,drf,200,0.746979,35.8550,0.774062,37.1550,0.930479,0.169627,89.0200
dirichlet_1.0__moderate,dirichlet_1.0,moderate,decomposed_cobb_douglas,200,0.763021,36.6250,0.789583,37.9000,0.940433,0.059875,99.2700
dirichlet_1.0__moderate,dirichlet_1.0,moderate,joint_linear,200,0.097604,4.6850,0.101875,4.8900,0.087652,0.718983,1552.9000
dirichlet_1.0__moderate,dirichlet_1.0,moderate,joint_cobb_douglas,200,0.763021,36.6250,0.789583,37.9000,0.940416,0.059900,99.3050
dirichlet_1.0__moderate,dirichlet_1.0,moderate,joint_ces,200,0.738333,35.4400,0.764792,36.7100,0.897478,0.104046,171.3400
dirichlet_1.0__moderate,dirichlet_1.0,moderate,joint_leontief,200,0.763437,36.6450,0.791875,38.0100,0.945304,0.121159,90.2400
dirichlet_0.3__moderate,dirichlet_0.3,moderate,equal,200,0.692708,33.2500,0.714688,34.3050,0.884602,0.000000,192.5450
dirichlet_0.3__moderate,dirichlet_0.3,moderate,drf,200,0.734167,35.2400,0.745208,35.7700,0.915615,0.192795,89.1600
dirichlet_0.3__moderate,dirichlet_0.3,moderate,decomposed_cobb_douglas,200,0.759896,36.4750,0.775208,37.2100,0.937932,0.066150,102.3200
dirichlet_0.3__moderate,dirichlet_0.3,moderate,joint_linear,200,0.090313,4.3350,0.093125,4.4700,0.086849,0.704146,1561.4350
dirichlet_0.3__moderate,dirichlet_0.3,moderate,joint_cobb_douglas,200,0.759896,36.4750,0.775208,37.2100,0.937881,0.066164,102.4100
dirichlet_0.3__moderate,dirichlet_0.3,moderate,joint_ces,200,0.709063,34.0350,0.727604,34.9250,0.864487,0.111974,223.0100
dirichlet_0.3__moderate,dirichlet_0.3,moderate,joint_leontief,200,0.768646,36.8950,0.785104,37.6850,0.946477,0.136278,86.4100
dirichlet_0.1__moderate,dirichlet_0.1,moderate,equal,200,0.703854,33.7850,0.713125,34.2300,0.879002,0.000000,199.5500
dirichlet_0.1__moderate,dirichlet_0.1,moderate,drf,200,0.720938,34.6050,0.727083,34.9000,0.903125,0.198614,85.4950
dirichlet_0.1__moderate,dirichlet_0.1,moderate,decomposed_cobb_douglas,200,0.761146,36.5350,0.767500,36.8400,0.933400,0.064211,107.7350
dirichlet_0.1__moderate,dirichlet_0.1,moderate,joint_linear,200,0.098125,4.7100,0.098958,4.7500,0.099650,0.665792,1545.3700
dirichlet_0.1__moderate,dirichlet_0.1,moderate,joint_cobb_douglas,200,0.761146,36.5350,0.767500,36.8400,0.933505,0.064291,107.5600
dirichlet_0.1__moderate,dirichlet_0.1,moderate,joint_ces,200,0.672188,32.2650,0.680937,32.6850,0.827444,0.106103,275.5800
dirichlet_0.1__moderate,dirichlet_0.1,moderate,joint_leontief,200,0.775000,37.2000,0.780312,37.4550,0.949614,0.122981,79.9750
dirichlet_0.03__moderate,dirichlet_0.03,moderate,equal,200,0.707708,33.9700,0.710625,34.1100,0.882187,0.000000,197.1300
dirichlet_0.03__moderate,dirichlet_0.03,moderate,drf,200,0.704167,33.8000,0.705833,33.8800,0.891734,0.179476,82.1000
dirichlet_0.03__moderate,dirichlet_0.03,moderate,decomposed_cobb_douglas,200,0.753958,36.1900,0.755417,36.2600,0.928369,0.055898,118.1850
dirichlet_0.03__moderate,dirichlet_0.03,moderate,joint_linear,200,0.137708,6.6100,0.138333,6.6400,0.164347,0.600610,1454.6900
dirichlet_0.03__moderate,dirichlet_0.03,moderate,joint_cobb_douglas,200,0.753958,36.1900,0.755417,36.2600,0.928369,0.056082,118.1850
dirichlet_0.03__moderate,dirichlet_0.03,moderate,joint_ces,200,0.643854,30.9050,0.646354,31.0250,0.807718,0.093782,301.5250
dirichlet_0.03__moderate,dirichlet_0.03,moderate,joint_leontief,200,0.769896,36.9550,0.771250,37.0200,0.949915,0.101129,79.6600
homogeneous__high,homogeneous,high,equal,200,0.516458,24.7900,0.603333,28.9600,0.917106,0.000000,91.9500
homogeneous__high,homogeneous,high,drf,200,0.515625,24.7500,0.603021,28.9450,0.916077,0.001402,91.3700
homogeneous__high,homogeneous,high,decomposed_cobb_douglas,200,0.516458,24.7900,0.603333,28.9600,0.917106,0.000000,91.9500
homogeneous__high,homogeneous,high,joint_linear,200,0.516458,24.7900,0.603333,28.9600,0.917046,0.010009,92.0400
homogeneous__high,homogeneous,high,joint_cobb_douglas,200,0.516250,24.7800,0.603125,28.9500,0.917097,0.005200,91.9600
homogeneous__high,homogeneous,high,joint_ces,200,0.516458,24.7900,0.603333,28.9600,0.917106,0.009864,91.9500
homogeneous__high,homogeneous,high,joint_leontief,200,0.516458,24.7900,0.603333,28.9600,0.917106,0.009497,91.9400
iid_uniform__high,iid_uniform,high,equal,200,0.511667,24.5600,0.597396,28.6750,0.905405,0.000000,109.8250
iid_uniform__high,iid_uniform,high,drf,200,0.521875,25.0500,0.610833,29.3200,0.908373,0.114704,98.1850
iid_uniform__high,iid_uniform,high,decomposed_cobb_douglas,200,0.525833,25.2400,0.616979,29.6150,0.914970,0.045406,98.5400
iid_uniform__high,iid_uniform,high,joint_linear,200,0.042708,2.0500,0.047500,2.2800,0.056446,0.930797,1105.5050
iid_uniform__high,iid_uniform,high,joint_cobb_douglas,200,0.525833,25.2400,0.616979,29.6150,0.915144,0.045450,98.3350
iid_uniform__high,iid_uniform,high,joint_ces,200,0.539479,25.8950,0.617083,29.6200,0.901995,0.083616,113.3150
iid_uniform__high,iid_uniform,high,joint_leontief,200,0.523646,25.1350,0.613750,29.4600,0.915329,0.072497,98.0900
dirichlet_3.0__high,dirichlet_3.0,high,equal,200,0.502917,24.1400,0.571771,27.4450,0.891805,0.000000,126.1400
dirichlet_3.0__high,dirichlet_3.0,high,drf,200,0.523854,25.1450,0.594688,28.5450,0.899720,0.142584,104.1450
dirichlet_3.0__high,dirichlet_3.0,high,decomposed_cobb_douglas,200,0.533958,25.6300,0.603854,28.9850,0.910345,0.057928,104.4850
dirichlet_3.0__high,dirichlet_3.0,high,joint_linear,200,0.041667,2.0000,0.043542,2.0900,0.050395,0.934697,1115.4750
dirichlet_3.0__high,dirichlet_3.0,high,joint_cobb_douglas,200,0.533958,25.6300,0.603854,28.9850,0.910345,0.057977,104.4850
dirichlet_3.0__high,dirichlet_3.0,high,joint_ces,200,0.546771,26.2450,0.606563,29.1150,0.894667,0.105523,122.1100
dirichlet_3.0__high,dirichlet_3.0,high,joint_leontief,200,0.531563,25.5150,0.601667,28.8800,0.912160,0.091771,102.3250
dirichlet_1.0__high,dirichlet_1.0,high,equal,200,0.485833,23.3200,0.541771,26.0050,0.870010,0.000000,149.5050
dirichlet_1.0__high,dirichlet_1.0,high,drf,200,0.520938,25.0050,0.568125,27.2700,0.890037,0.173021,106.8400
dirichlet_1.0__high,dirichlet_1.0,high,decomposed_cobb_douglas,200,0.535521,25.7050,0.586667,28.1600,0.907955,0.072785,105.0650
dirichlet_1.0__high,dirichlet_1.0,high,joint_linear,200,0.037812,1.8150,0.038646,1.8550,0.044566,0.936837,1113.0700
dirichlet_1.0__high,dirichlet_1.0,high,joint_cobb_douglas,200,0.535521,25.7050,0.586667,28.1600,0.907955,0.072813,105.0650
dirichlet_1.0__high,dirichlet_1.0,high,joint_ces,200,0.533854,25.6250,0.577917,27.7400,0.868457,0.131006,149.6450
dirichlet_1.0__high,dirichlet_1.0,high,joint_leontief,200,0.527813,25.3350,0.581354,27.9050,0.906348,0.116366,106.9600
dirichlet_0.3__high,dirichlet_0.3,high,equal,200,0.477292,22.9100,0.512083,24.5800,0.845869,0.000000,177.0200
dirichlet_0.3__high,dirichlet_0.3,high,drf,200,0.510625,24.5100,0.538750,25.8600,0.876632,0.203780,105.3750
dirichlet_0.3__high,dirichlet_0.3,high,decomposed_cobb_douglas,200,0.539375,25.8900,0.569479,27.3350,0.897243,0.087714,116.5850
dirichlet_0.3__high,dirichlet_0.3,high,joint_linear,200,0.036042,1.7300,0.036146,1.7350,0.043593,0.925669,1119.4000
dirichlet_0.3__high,dirichlet_0.3,high,joint_cobb_douglas,200,0.539167,25.8800,0.569479,27.3350,0.897308,0.087777,116.5050
dirichlet_0.3__high,dirichlet_0.3,high,joint_ces,200,0.503229,24.1550,0.529687,25.4250,0.814802,0.153637,210.7100
dirichlet_0.3__high,dirichlet_0.3,high,joint_leontief,200,0.535417,25.7000,0.563229,27.0350,0.904816,0.142397,107.0950
