cell,regime,contention,res_tv_mean,res_tv_min,res_tv_max,res_tv_p5,res_tv_p95,task_tv_mean,entropy_mean,frac_all_four_mean
homogeneous__moderate,homogeneous,moderate,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816776,0.545000
iid_uniform__moderate,iid_uniform,moderate,0.036223,0.010529,0.070901,0.017754,0.058301,0.331875,0.841744,0.615833
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,0.007165,0.116198,0.025325,0.081709,0.414875,0.763730,0.441667
dirichlet_1.0__moderate,dirichlet_1.0,moderate,0.065045,0.022081,0.126148,0.030147,0.105634,0.518208,0.643396,0.215000
dirichlet_0.3__moderate,dirichlet_0.3,moderate,0.092433,0.028602,0.175746,0.040356,0.144278,0.643125,0.423789,0.040000
dirichlet_0.1__moderate,dirichlet_0.1,moderate,0.116740,0.021860,0.187401,0.043173,0.176515,0.720208,0.222384,0.005000
dirichlet_0.03__moderate,dirichlet_0.03,moderate,0.124803,0.022222,0.197863,0.045599,0.189726,0.735500,0.071760,0.000000
homogeneous__high,homogeneous,high,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816776,0.545000
iid_uniform__high,iid_uniform,high,0.036223,0.010529,0.070901,0.017754,0.058301,0.331875,0.841744,0.615833
dirichlet_3.0__high,dirichlet_3.0,high,0.048005,0.007165,0.116198,0.025325,0.081709,0.414875,0.763730,0.441667
dirichlet_1.0__high,dirichlet_1.0,high,0.065045,0.022081,0.126148,0.030147,0.105634,0.518208,0.643396,0.215000
dirichlet_0.3__high,dirichlet_0.3,high,0.092433,0.028602,0.175746,0.040356,0.144278,0.643125,0.423789,0.040000
dirichlet_0.1__high,dirichlet_0.1,high,0.116740,0.021860,0.187401,0.043173,0.176515,0.720208,0.222384,0.005000
dirichlet_0.03__high,dirichlet_0.03,high,0.124803,0.022222,0.197863,0.045599,0.189726,0.735500,0.071760,0.000000
