cell,regime,contention,policy,qo_mean,qo_min,qo_p5,lo_mean,lo_min,lo_p5,frac_zero_qo,frac_zero_lo,frac_worse_qo,frac_worse_lo,mean_change_vs_equal_qo,worst_change_vs_equal_qo,unused_installed_mean
homogeneous__moderate,homogeneous,moderate,equal,0.729688,0.500000,0.625000,0.778958,0.625000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.035833
homogeneous__moderate,homogeneous,moderate,drf,0.729167,0.500000,0.625000,0.778958,0.625000,0.750000,0.000000,0.000000,0.004167,0.000000,-0.000521,-0.125000,16.924167
homogeneous__moderate,homogeneous,moderate,decomposed_cobb_douglas,0.729688,0.500000,0.625000,0.778958,0.625000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.035833
homogeneous__moderate,homogeneous,moderate,joint_linear,0.729688,0.500000,0.625000,0.778958,0.625000,0.750000,0.000000,0.000000,0.021667,0.015833,0.000000,-0.125000,17.035833
homogeneous__moderate,homogeneous,moderate,joint_cobb_douglas,0.729688,0.500000,0.625000,0.778958,0.625000,0.750000,0.000000,0.000000,0.005833,0.003333,0.000000,-0.125000,17.035833
homogeneous__moderate,homogeneous,moderate,joint_ces,0.729688,0.500000,0.625000,0.778958,0.625000,0.750000,0.000000,0.000000,0.021667,0.015833,0.000000,-0.125000,17.035833
homogeneous__moderate,homogeneous,moderate,joint_leontief,0.729688,0.500000,0.625000,0.778958,0.625000,0.750000,0.000000,0.000000,0.021667,0.015833,0.000000,-0.125000,17.035833
iid_uniform__moderate,iid_uniform,moderate,equal,0.715833,0.375000,0.500000,0.759792,0.375000,0.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.918333
iid_uniform__moderate,iid_uniform,moderate,drf,0.746875,0.250000,0.500000,0.796458,0.375000,0.625000,0.000000,0.000000,0.149167,0.035833,0.031042,-0.375000,14.565833
iid_uniform__moderate,iid_uniform,moderate,decomposed_cobb_douglas,0.750313,0.375000,0.500000,0.801042,0.500000,0.625000,0.000000,0.000000,0.104167,0.024167,0.034479,-0.250000,15.415833
iid_uniform__moderate,iid_uniform,moderate,joint_linear,0.108125,0.000000,0.000000,0.118854,0.000000,0.000000,0.446667,0.446667,0.988333,0.993333,-0.607708,-1.000000,257.581667
iid_uniform__moderate,iid_uniform,moderate,joint_cobb_douglas,0.750313,0.375000,0.500000,0.801042,0.500000,0.625000,0.000000,0.000000,0.104167,0.024167,0.034479,-0.250000,15.393333
iid_uniform__moderate,iid_uniform,moderate,joint_ces,0.745729,0.375000,0.500000,0.789479,0.500000,0.625000,0.000000,0.000000,0.153333,0.076667,0.029896,-0.500000,20.577500
iid_uniform__moderate,iid_uniform,moderate,joint_leontief,0.747812,0.375000,0.500000,0.798854,0.500000,0.625000,0.000000,0.000000,0.130000,0.039167,0.031979,-0.250000,15.078333
dirichlet_3.0__moderate,dirichlet_3.0,moderate,equal,0.707604,0.375000,0.500000,0.745833,0.375000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.020833
dirichlet_3.0__moderate,dirichlet_3.0,moderate,drf,0.749062,0.250000,0.500000,0.786458,0.375000,0.500000,0.000000,0.000000,0.148333,0.066667,0.041458,-0.375000,14.746667
dirichlet_3.0__moderate,dirichlet_3.0,moderate,decomposed_cobb_douglas,0.758125,0.375000,0.500000,0.798021,0.375000,0.625000,0.000000,0.000000,0.080000,0.020833,0.050521,-0.250000,15.816667
dirichlet_3.0__moderate,dirichlet_3.0,moderate,joint_linear,0.112292,0.000000,0.000000,0.122188,0.000000,0.000000,0.428333,0.428333,0.987500,0.990000,-0.595313,-1.000000,256.906667
dirichlet_3.0__moderate,dirichlet_3.0,moderate,joint_cobb_douglas,0.758125,0.375000,0.500000,0.798021,0.375000,0.625000,0.000000,0.000000,0.080000,0.020833,0.050521,-0.250000,15.855000
dirichlet_3.0__moderate,dirichlet_3.0,moderate,joint_ces,0.744896,0.250000,0.500000,0.779583,0.375000,0.625000,0.000000,0.000000,0.146667,0.095000,0.037292,-0.250000,23.890000
dirichlet_3.0__moderate,dirichlet_3.0,moderate,joint_leontief,0.753125,0.250000,0.500000,0.794375,0.375000,0.625000,0.000000,0.000000,0.109167,0.034167,0.045521,-0.250000,15.324167
dirichlet_1.0__moderate,dirichlet_1.0,moderate,equal,0.702396,0.375000,0.500000,0.733229,0.375000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.189167
dirichlet_1.0__moderate,dirichlet_1.0,moderate,drf,0.746979,0.125000,0.500000,0.774062,0.250000,0.500000,0.000000,0.000000,0.172500,0.120000,0.044583,-0.500000,14.836667
dirichlet_1.0__moderate,dirichlet_1.0,moderate,decomposed_cobb_douglas,0.763021,0.375000,0.500000,0.789583,0.375000,0.500000,0.000000,0.000000,0.069167,0.035000,0.060625,-0.250000,16.545000
dirichlet_1.0__moderate,dirichlet_1.0,moderate,joint_linear,0.097604,0.000000,0.000000,0.101875,0.000000,0.000000,0.467500,0.467500,0.987500,0.993333,-0.604792,-1.000000,258.816667
dirichlet_1.0__moderate,dirichlet_1.0,moderate,joint_cobb_douglas,0.763021,0.375000,0.500000,0.789583,0.375000,0.500000,0.000000,0.000000,0.069167,0.035000,0.060625,-0.250000,16.550833
dirichlet_1.0__moderate,dirichlet_1.0,moderate,joint_ces,0.738333,0.125000,0.500000,0.764792,0.250000,0.500000,0.000000,0.000000,0.159167,0.118333,0.035937,-0.500000,28.556667
dirichlet_1.0__moderate,dirichlet_1.0,moderate,joint_leontief,0.763437,0.250000,0.500000,0.791875,0.375000,0.500000,0.000000,0.000000,0.090000,0.045000,0.061042,-0.250000,15.040000
