cell,regime,contention,res_tv_mean,metric,comparison,mean_frac,ci_lo_frac,ci_hi_frac,mean_tasks,ci_lo_tasks,ci_hi_tasks,n_seeds,std_tasks,frac_win,frac_tie,frac_lose
homogeneous__moderate,homogeneous,moderate,0.000000,queue_order,joint_leontief_minus_equal,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,queue_order,joint_leontief_minus_drf,0.000521,0.000104,0.001042,0.0250,0.0050,0.0500,200,0.1561,0.0250,0.9750,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,queue_order,joint_cobb_douglas_minus_drf,0.000521,0.000104,0.001042,0.0250,0.0050,0.0500,200,0.1561,0.0250,0.9750,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,queue_order,decomposed_cobb_douglas_minus_drf,0.000521,0.000104,0.001042,0.0250,0.0050,0.0500,200,0.1561,0.0250,0.9750,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,queue_order,joint_cobb_douglas_minus_decomposed_cobb_douglas,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,queue_order,joint_ces_minus_drf,0.000521,0.000104,0.001042,0.0250,0.0050,0.0500,200,0.1561,0.0250,0.9750,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,queue_order,joint_linear_minus_drf,0.000521,0.000104,0.001042,0.0250,0.0050,0.0500,200,0.1561,0.0250,0.9750,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,local_opt,joint_leontief_minus_equal,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,local_opt,joint_leontief_minus_drf,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,local_opt,joint_cobb_douglas_minus_drf,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,local_opt,decomposed_cobb_douglas_minus_drf,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,local_opt,joint_cobb_douglas_minus_decomposed_cobb_douglas,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,local_opt,joint_ces_minus_drf,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
homogeneous__moderate,homogeneous,moderate,0.000000,local_opt,joint_linear_minus_drf,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
iid_uniform__moderate,iid_uniform,moderate,0.036223,queue_order,joint_leontief_minus_equal,0.031979,0.026875,0.037083,1.5350,1.2900,1.7800,200,1.7745,0.7250,0.1400,0.1350
iid_uniform__moderate,iid_uniform,moderate,0.036223,queue_order,joint_leontief_minus_drf,0.000937,-0.004271,0.005836,0.0450,-0.2050,0.2801,200,1.7587,0.3900,0.2800,0.3300
iid_uniform__moderate,iid_uniform,moderate,0.036223,queue_order,joint_cobb_douglas_minus_drf,0.003437,-0.001458,0.008437,0.1650,-0.0700,0.4050,200,1.7256,0.3800,0.3050,0.3150
iid_uniform__moderate,iid_uniform,moderate,0.036223,queue_order,decomposed_cobb_douglas_minus_drf,0.003437,-0.001458,0.008333,0.1650,-0.0700,0.4000,200,1.7169,0.3800,0.3100,0.3100
iid_uniform__moderate,iid_uniform,moderate,0.036223,queue_order,joint_cobb_douglas_minus_decomposed_cobb_douglas,-0.000000,-0.000313,0.000312,-0.0000,-0.0150,0.0150,200,0.1000,0.0050,0.9900,0.0050
iid_uniform__moderate,iid_uniform,moderate,0.036223,queue_order,joint_ces_minus_drf,-0.001146,-0.006667,0.004167,-0.0550,-0.3200,0.2000,200,1.8767,0.4350,0.1900,0.3750
iid_uniform__moderate,iid_uniform,moderate,0.036223,queue_order,joint_linear_minus_drf,-0.638750,-0.647083,-0.630313,-30.6600,-31.0600,-30.2550,200,2.9367,0.0000,0.0000,1.0000
iid_uniform__moderate,iid_uniform,moderate,0.036223,local_opt,joint_leontief_minus_equal,0.039062,0.035208,0.042917,1.8750,1.6900,2.0600,200,1.3562,0.8550,0.1100,0.0350
iid_uniform__moderate,iid_uniform,moderate,0.036223,local_opt,joint_leontief_minus_drf,0.002396,-0.001354,0.006146,0.1150,-0.0650,0.2950,200,1.3045,0.4100,0.2950,0.2950
iid_uniform__moderate,iid_uniform,moderate,0.036223,local_opt,joint_cobb_douglas_minus_drf,0.004583,0.000937,0.008229,0.2200,0.0450,0.3950,200,1.2773,0.4600,0.2250,0.3150
iid_uniform__moderate,iid_uniform,moderate,0.036223,local_opt,decomposed_cobb_douglas_minus_drf,0.004583,0.000833,0.008229,0.2200,0.0400,0.3950,200,1.2773,0.4600,0.2250,0.3150
iid_uniform__moderate,iid_uniform,moderate,0.036223,local_opt,joint_cobb_douglas_minus_decomposed_cobb_douglas,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
iid_uniform__moderate,iid_uniform,moderate,0.036223,local_opt,joint_ces_minus_drf,-0.006979,-0.010938,-0.003229,-0.3350,-0.5250,-0.1550,200,1.3277,0.3000,0.2850,0.4150
iid_uniform__moderate,iid_uniform,moderate,0.036223,local_opt,joint_linear_minus_drf,-0.677604,-0.686458,-0.668854,-32.5250,-32.9500,-32.1050,200,3.0495,0.0000,0.0000,1.0000
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,queue_order,joint_leontief_minus_equal,0.045521,0.040208,0.050625,2.1850,1.9300,2.4300,200,1.7666,0.8350,0.0950,0.0700
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,queue_order,joint_leontief_minus_drf,0.004063,-0.000833,0.008753,0.1950,-0.0400,0.4201,200,1.6514,0.3850,0.3050,0.3100
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,queue_order,joint_cobb_douglas_minus_drf,0.009063,0.003750,0.014375,0.4350,0.1800,0.6900,200,1.8373,0.5150,0.2050,0.2800
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,queue_order,decomposed_cobb_douglas_minus_drf,0.009063,0.003750,0.014271,0.4350,0.1800,0.6850,200,1.8373,0.5150,0.2050,0.2800
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,queue_order,joint_cobb_douglas_minus_decomposed_cobb_douglas,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,queue_order,joint_ces_minus_drf,-0.004167,-0.009896,0.001458,-0.2000,-0.4750,0.0700,200,1.9416,0.3700,0.1850,0.4450
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,queue_order,joint_linear_minus_drf,-0.636771,-0.646042,-0.627396,-30.5650,-31.0100,-30.1150,200,3.2320,0.0000,0.0000,1.0000
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,local_opt,joint_leontief_minus_equal,0.048542,0.044375,0.052708,2.3300,2.1300,2.5300,200,1.4564,0.9000,0.0900,0.0100
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,local_opt,joint_leontief_minus_drf,0.007917,0.003854,0.012083,0.3800,0.1850,0.5800,200,1.4407,0.4500,0.3100,0.2400
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,local_opt,joint_cobb_douglas_minus_drf,0.011562,0.007292,0.015937,0.5550,0.3500,0.7650,200,1.4990,0.5050,0.2550,0.2400
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,local_opt,decomposed_cobb_douglas_minus_drf,0.011562,0.007292,0.015937,0.5550,0.3500,0.7650,200,1.4990,0.5050,0.2550,0.2400
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,local_opt,joint_cobb_douglas_minus_decomposed_cobb_douglas,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,local_opt,joint_ces_minus_drf,-0.006875,-0.011875,-0.001875,-0.3300,-0.5700,-0.0900,200,1.6915,0.2750,0.2900,0.4350
dirichlet_3.0__moderate,dirichlet_3.0,moderate,0.048005,local_opt,joint_linear_minus_drf,-0.664271,-0.674063,-0.654687,-31.8850,-32.3550,-31.4250,200,3.3169,0.0000,0.0000,1.0000
dirichlet_1.0__moderate,dirichlet_1.0,moderate,0.065045,queue_order,joint_leontief_minus_equal,0.061042,0.055935,0.066146,2.9300,2.6849,3.1750,200,1.7734,0.9300,0.0400,0.0300
dirichlet_1.0__moderate,dirichlet_1.0,moderate,0.065045,queue_order,joint_leontief_minus_drf,0.016458,0.011146,0.021875,0.7900,0.5350,1.0500,200,1.8346,0.5600,0.1650,0.2750
dirichlet_1.0__moderate,dirichlet_1.0,moderate,0.065045,queue_order,joint_cobb_douglas_minus_drf,0.016042,0.010521,0.021667,0.7700,0.5050,1.0400,200,1.9306,0.5350,0.2050,0.2600
dirichlet_1.0__moderate,dirichlet_1.0,moderate,0.065045,queue_order,decomposed_cobb_douglas_minus_drf,0.016042,0.010521,0.021565,0.7700,0.5050,1.0351,200,1.9306,0.5350,0.2050,0.2600
dirichlet_1.0__moderate,dirichlet_1.0,moderate,0.065045,queue_order,joint_cobb_douglas_minus_decomposed_cobb_douglas,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,200,0.0000,0.0000,1.0000,0.0000
dirichlet_1.0__moderate,dirichlet_1.0,moderate,0.065045,queue_order,joint_ces_minus_drf,-0.008646,-0.015313,-0.002083,-0.4150,-0.7350,-0.1000,200,2.3006,0.3850,0.1450,0.4700
dirichlet_1.0__moderate,dirichlet_1.0,moderate,0.065045,queue_order,joint_linear_minus_drf,-0.649375,-0.658021,-0.640417,-31.1700,-31.5850,-30.7400,200,3.1098,0.0000,0.0000,1.0000
dirichlet_1.0__moderate,dirichlet_1.0,moderate,0.065045,local_opt,joint_leontief_minus_equal,0.058646,0.054062,0.063125,2.8150,2.5950,3.0300,200,1.5655,0.9200,0.0600,0.0200
