sweep,cell,regime,concentration,floor_regime,contention,seed,policy,utility_family,task_workload_hash,scenario_hash,feasible,solver_status,fallback_allowed,fallback_used,completion_mean,completion_min,completion_p5,completed_tasks_per_run,quality_adjusted_completion,optional_refinement_rate,capacity_utilization,allocation_consumption,frac_agents_zero_completion,frac_agents_any_used_at_lower_bound,frac_agents_all_used_above_lower_bound,frac_agents_worse_than_equal,alloc_distance_from_equal_mean,mandatory_failures_total,blocked_total,backend_total,capacity_by_resource,mandatory_demand_by_resource,realized_contention_by_resource,capacity_violation,bound_violation,alloc_latency_ms
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,equal,none,602ca651a80c6f94,a39c1f9836e12e4d,True,equal,False,False,0.7291666666666666,0.625,0.625,35.0,0.5348958333333332,0.0984848484848485,0.9235109717868338,0.9235109717868338,0.0,0.0,1.0,0.0,0.0,13,38,69,"{""COMPUTE"": 628, ""MEMORY"": 532, ""DATASET"": 142, ""API_CREDITS"": 293}","{""COMPUTE"": 816, ""MEMORY"": 691, ""DATASET"": 184, ""API_CREDITS"": 381}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.2988721804511278, ""DATASET"": 1.295774647887324, ""API_CREDITS"": 1.3003412969283277}",0,0,4
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,drf,none,602ca651a80c6f94,a39c1f9836e12e4d,True,drf,False,False,0.7083333333333334,0.375,0.40625,34.0,0.5307291666666666,0.15555555555555556,0.9310344827586207,0.9482758620689655,0.0,0.0,1.0,0.3333333333333333,0.09623884422617572,14,38,69,"{""COMPUTE"": 628, ""MEMORY"": 532, ""DATASET"": 142, ""API_CREDITS"": 293}","{""COMPUTE"": 816, ""MEMORY"": 691, ""DATASET"": 184, ""API_CREDITS"": 381}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.2988721804511278, ""DATASET"": 1.295774647887324, ""API_CREDITS"": 1.3003412969283277}",0,0,0
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,joint_linear,LINEAR,602ca651a80c6f94,a39c1f9836e12e4d,True,optimal,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8063584689929825,48,0,0,"{""COMPUTE"": 628, ""MEMORY"": 532, ""DATASET"": 142, ""API_CREDITS"": 293}","{""COMPUTE"": 816, ""MEMORY"": 691, ""DATASET"": 184, ""API_CREDITS"": 381}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.2988721804511278, ""DATASET"": 1.295774647887324, ""API_CREDITS"": 1.3003412969283277}",0,0,672
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,equal,none,3ad27a75dce782ee,31eb2885696c4897,True,equal,False,False,0.7083333333333334,0.5,0.53125,34.0,0.5192708333333332,0.24305555555555558,0.9192166462668299,0.9192166462668299,0.0,0.0,1.0,0.0,0.0,14,28,79,"{""COMPUTE"": 658, ""MEMORY"": 545, ""DATASET"": 123, ""API_CREDITS"": 308}","{""COMPUTE"": 856, ""MEMORY"": 708, ""DATASET"": 160, ""API_CREDITS"": 400}","{""COMPUTE"": 1.3009118541033435, ""MEMORY"": 1.2990825688073395, ""DATASET"": 1.3008130081300813, ""API_CREDITS"": 1.2987012987012987}",0,0,0
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,drf,none,3ad27a75dce782ee,31eb2885696c4897,True,drf,False,False,0.7916666666666666,0.625,0.65625,38.0,0.5734374999999999,0.21527777777777776,0.9394124847001224,0.9422958870472683,0.0,0.0,1.0,0.0,0.08030060473433669,10,37,82,"{""COMPUTE"": 658, ""MEMORY"": 545, ""DATASET"": 123, ""API_CREDITS"": 308}","{""COMPUTE"": 856, ""MEMORY"": 708, ""DATASET"": 160, ""API_CREDITS"": 400}","{""COMPUTE"": 1.3009118541033435, ""MEMORY"": 1.2990825688073395, ""DATASET"": 1.3008130081300813, ""API_CREDITS"": 1.2987012987012987}",0,0,0
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1138347673,joint_linear,LINEAR,3ad27a75dce782ee,31eb2885696c4897,True,optimal,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.7934339087006221,48,0,0,"{""COMPUTE"": 658, ""MEMORY"": 545, ""DATASET"": 123, ""API_CREDITS"": 308}","{""COMPUTE"": 856, ""MEMORY"": 708, ""DATASET"": 160, ""API_CREDITS"": 400}","{""COMPUTE"": 1.3009118541033435, ""MEMORY"": 1.2990825688073395, ""DATASET"": 1.3008130081300813, ""API_CREDITS"": 1.2987012987012987}",0,0,676
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2342860720,equal,none,d3bdf6732acfbd45,3caa8bb700a04a98,True,equal,False,False,0.75,0.5,0.5625,36.0,0.565625,0.1554232804232804,0.9411764705882353,0.9411764705882353,0.0,0.0,1.0,0.0,0.0,12,34,91,"{""COMPUTE"": 765, ""MEMORY"": 622, ""DATASET"": 123, ""API_CREDITS"": 360}","{""COMPUTE"": 994, ""MEMORY"": 808, ""DATASET"": 160, ""API_CREDITS"": 468}","{""COMPUTE"": 1.2993464052287582, ""MEMORY"": 1.2990353697749195, ""DATASET"": 1.3008130081300813, ""API_CREDITS"": 1.3}",0,0,0
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2342860720,drf,none,d3bdf6732acfbd45,3caa8bb700a04a98,True,drf,False,False,0.75,0.5,0.5625,36.0,0.5697916666666667,0.1667989417989418,0.9310160427807487,0.9340128755364807,0.0,0.0,1.0,0.16666666666666666,0.042786217480871636,12,34,90,"{""COMPUTE"": 765, ""MEMORY"": 622, ""DATASET"": 123, ""API_CREDITS"": 360}","{""COMPUTE"": 994, ""MEMORY"": 808, ""DATASET"": 160, ""API_CREDITS"": 468}","{""COMPUTE"": 1.2993464052287582, ""MEMORY"": 1.2990353697749195, ""DATASET"": 1.3008130081300813, ""API_CREDITS"": 1.3}",0,0,0
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2342860720,joint_linear,LINEAR,d3bdf6732acfbd45,3caa8bb700a04a98,True,optimal,False,False,0.10416666666666667,0.0,0.0,5.0,0.075,0.0,0.11229946524064172,0.11229946524064172,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.638508211819805,43,6,10,"{""COMPUTE"": 765, ""MEMORY"": 622, ""DATASET"": 123, ""API_CREDITS"": 360}","{""COMPUTE"": 994, ""MEMORY"": 808, ""DATASET"": 160, ""API_CREDITS"": 468}","{""COMPUTE"": 1.2993464052287582, ""MEMORY"": 1.2990353697749195, ""DATASET"": 1.3008130081300813, ""API_CREDITS"": 1.3}",0,0,670
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,1473714878,equal,none,3101ee38c2d3e61e,97a24b960c88ab57,True,equal,False,False,0.75,0.625,0.625,36.0,0.5463541666666666,0.07797619047619048,0.9415011037527594,0.9415011037527594,0.0,0.0,1.0,0.0,0.0,12,37,82,"{""COMPUTE"": 723, ""MEMORY"": 603, ""DATASET"": 148, ""API_CREDITS"": 338}","{""COMPUTE"": 940, ""MEMORY"": 784, ""DATASET"": 192, ""API_CREDITS"": 440}","{""COMPUTE"": 1.3001383125864454, ""MEMORY"": 1.3001658374792704, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.301775147928994}",0,0,0
