sweep,cell,regime,kind,concentration,floor_regime,contention,contention_ratio,seed,task_workload_hash,scenario_hash,latent_probs_by_agent,realized_task_counts_by_agent,unique_archetypes_per_agent,frac_agents_all_four_archetypes,unique_archetypes_per_agent_mean,task_entropy_mean,task_mixture_tv_mean_pairwise,resource_demand_tv_mean_pairwise,resource_centroid_distance_mean,aggregate_mandatory_demand,capacity_by_resource,realized_contention_by_resource,active_resource_count,inactive_resources,floor_fraction_by_resource,declaration_source,redraws,reject_reason
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,2098221685,602ca651a80c6f94,a39c1f9836e12e4d,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 1, ""code_review"": 4, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 2, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 4}, {""research"": 0, ""code_review"": 5, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 4, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 2}]","[4, 4, 3, 4, 4, 4]",0.8333333333333334,3.8333333333333335,0.8503695002437471,0.35,0.045671295568436826,0.02811724385877305,"{""COMPUTE"": 816, ""MEMORY"": 691, ""API_CREDITS"": 381, ""DATASET"": 184}","{""COMPUTE"": 628, ""MEMORY"": 532, ""API_CREDITS"": 293, ""DATASET"": 142}","{""COMPUTE"": 1.2993630573248407, ""MEMORY"": 1.2988721804511278, ""API_CREDITS"": 1.3003412969283277, ""DATASET"": 1.295774647887324}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,1138347673,3ad27a75dce782ee,31eb2885696c4897,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 1, ""code_review"": 2, ""doc_processing"": 4, ""monitoring"": 1}, {""research"": 2, ""code_review"": 5, ""doc_processing"": 1, ""monitoring"": 0}, {""research"": 2, ""code_review"": 1, ""doc_processing"": 3, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 0, ""code_review"": 3, ""doc_processing"": 2, ""monitoring"": 3}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 2}]","[4, 3, 4, 4, 3, 4]",0.6666666666666666,3.6666666666666665,0.8684459324678054,0.3333333333333333,0.03173048815708122,0.02095823513647141,"{""COMPUTE"": 856, ""MEMORY"": 708, ""API_CREDITS"": 400, ""DATASET"": 160}","{""COMPUTE"": 658, ""MEMORY"": 545, ""API_CREDITS"": 308, ""DATASET"": 123}","{""COMPUTE"": 1.3009118541033435, ""MEMORY"": 1.2990825688073395, ""API_CREDITS"": 1.2987012987012987, ""DATASET"": 1.3008130081300813}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,2342860720,d3bdf6732acfbd45,3caa8bb700a04a98,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 3, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 4, ""monitoring"": 0}, {""research"": 4, ""code_review"": 0, ""doc_processing"": 3, ""monitoring"": 1}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 3}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 1}]","[4, 4, 3, 3, 2, 4]",0.5,3.3333333333333335,0.7902191095060664,0.36666666666666664,0.026767717324677885,0.01768617658194696,"{""COMPUTE"": 994, ""MEMORY"": 808, ""API_CREDITS"": 468, ""DATASET"": 160}","{""COMPUTE"": 765, ""MEMORY"": 622, ""API_CREDITS"": 360, ""DATASET"": 123}","{""COMPUTE"": 1.2993464052287582, ""MEMORY"": 1.2990353697749195, ""API_CREDITS"": 1.3, ""DATASET"": 1.3008130081300813}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,1473714878,3101ee38c2d3e61e,97a24b960c88ab57,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 3, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 3, ""monitoring"": 1}, {""research"": 1, ""code_review"": 2, ""doc_processing"": 3, ""monitoring"": 2}, {""research"": 2, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 3, ""monitoring"": 0}]","[4, 4, 4, 4, 4, 3]",0.8333333333333334,3.8333333333333335,0.916259374819711,0.25,0.030640879728550854,0.02080169782919994,"{""COMPUTE"": 940, ""MEMORY"": 784, ""API_CREDITS"": 440, ""DATASET"": 192}","{""COMPUTE"": 723, ""MEMORY"": 603, ""API_CREDITS"": 338, ""DATASET"": 148}","{""COMPUTE"": 1.3001383125864454, ""MEMORY"": 1.3001658374792704, ""API_CREDITS"": 1.301775147928994, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,2114544130,c84a7c89ed9e95f2,a0b7818db4407803,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 4, ""code_review"": 1, ""doc_processing"": 0, ""monitoring"": 3}, {""research"": 1, ""code_review"": 2, ""doc_processing"": 3, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 2, ""code_review"": 4, ""doc_processing"": 2, ""monitoring"": 0}, {""research"": 1, ""code_review"": 2, ""doc_processing"": 4, ""monitoring"": 1}, {""research"": 2, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 3}]","[3, 4, 4, 3, 4, 4]",0.6666666666666666,3.6666666666666665,0.8722430988907249,0.3333333333333333,0.04154591829016208,0.02669098513784751,"{""COMPUTE"": 902, ""MEMORY"": 751, ""API_CREDITS"": 417, ""DATASET"": 184}","{""COMPUTE"": 694, ""MEMORY"": 578, ""API_CREDITS"": 321, ""DATASET"": 142}","{""COMPUTE"": 1.2997118155619596, ""MEMORY"": 1.2993079584775087, ""API_CREDITS"": 1.2990654205607477, ""DATASET"": 1.295774647887324}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,147595965,bf037f7995743c11,67cbbd44350d4eb5,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 3, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 2}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.907355698025197,0.2916666666666667,0.027368791822793673,0.017773889444999174,"{""COMPUTE"": 952, ""MEMORY"": 792, ""API_CREDITS"": 444, ""DATASET"": 192}","{""COMPUTE"": 732, ""MEMORY"": 609, ""API_CREDITS"": 342, ""DATASET"": 148}","{""COMPUTE"": 1.3005464480874316, ""MEMORY"": 1.3004926108374384, ""API_CREDITS"": 1.2982456140350878, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,393081195,47e71f92b92d189c,c3dd8295dc6eda4e,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 0, ""code_review"": 1, ""doc_processing"": 4, ""monitoring"": 3}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 3, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 5}, {""research"": 0, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 4}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 3, ""monitoring"": 0}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 3, ""monitoring"": 1}]","[3, 4, 2, 3, 3, 4]",0.3333333333333333,3.1666666666666665,0.7615223646918636,0.4166666666666667,0.05427959099887474,0.035367715614632075,"{""COMPUTE"": 894, ""MEMORY"": 755, ""API_CREDITS"": 397, ""DATASET"": 216}","{""COMPUTE"": 688, ""MEMORY"": 581, ""API_CREDITS"": 305, ""DATASET"": 166}","{""COMPUTE"": 1.2994186046511629, ""MEMORY"": 1.2994836488812394, ""API_CREDITS"": 1.301639344262295, ""DATASET"": 1.3012048192771084}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,1217898226,b1027603f15915a9,f2dff0fecfc3c2cd,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 4, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 1, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 3}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}]","[4, 4, 4, 4, 3, 4]",0.8333333333333334,3.8333333333333335,0.919016275928986,0.23333333333333334,0.015906753280475708,0.010550171425972222,"{""COMPUTE"": 912, ""MEMORY"": 775, ""API_CREDITS"": 425, ""DATASET"": 216}","{""COMPUTE"": 702, ""MEMORY"": 596, ""API_CREDITS"": 327, ""DATASET"": 166}","{""COMPUTE"": 1.2991452991452992, ""MEMORY"": 1.3003355704697988, ""API_CREDITS"": 1.2996941896024465, ""DATASET"": 1.3012048192771084}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,1595745102,be465bac15b0db77,e7a467bbc9086df6,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 2, ""doc_processing"": 3, ""monitoring"": 1}, {""research"": 1, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 4}, {""research"": 3, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 0, ""code_review"": 2, ""doc_processing"": 3, ""monitoring"": 3}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 2, ""monitoring"": 2}]","[4, 4, 4, 3, 4, 4]",0.8333333333333334,3.8333333333333335,0.9111528644481165,0.275,0.03401497027305807,0.020848665377961415,"{""COMPUTE"": 836, ""MEMORY"": 704, ""API_CREDITS"": 376, ""DATASET"": 192}","{""COMPUTE"": 643, ""MEMORY"": 542, ""API_CREDITS"": 289, ""DATASET"": 148}","{""COMPUTE"": 1.3001555209953344, ""MEMORY"": 1.2988929889298892, ""API_CREDITS"": 1.301038062283737, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
floor,iid_uniform__zero__moderate,iid_uniform,iid_uniform,,zero,moderate,1.3,2413048586,65889a103bcbd17c,998288de74e82304,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 1, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 4}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 1, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 3}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.9426065103715944,0.20833333333333334,0.020305305398382358,0.013910021886978772,"{""COMPUTE"": 822, ""MEMORY"": 697, ""API_CREDITS"": 367, ""DATASET"": 200}","{""COMPUTE"": 632, ""MEMORY"": 536, ""API_CREDITS"": 282, ""DATASET"": 154}","{""COMPUTE"": 1.3006329113924051, ""MEMORY"": 1.3003731343283582, ""API_CREDITS"": 1.301418439716312, ""DATASET"": 1.2987012987012987}",4,[],"{""COMPUTE"": 0.0, ""MEMORY"": 0.0, ""API_CREDITS"": 0.0, ""DATASET"": 0.0}",exact_pending_queue,0,
