sweep,cell,regime,concentration,floor_regime,contention,seed,policy,utility_family,task_workload_hash,scenario_hash,agent,archetype,priority,completion,zero_completion,mandatory_failures,quality,backend_calls,blocked_calls,allocated,charged,min_bound,upper_bound,any_used_at_lower_bound,all_used_above_lower_bound,alloc_distance_from_equal,completion_minus_equal,latent_probs
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,equal,none,faf5cb82d22de62a,6297631944ac369e,a0,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 85, ""MEMORY"": 74, ""DATASET"": 25, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,equal,none,faf5cb82d22de62a,6297631944ac369e,a1,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 85, ""MEMORY"": 74, ""DATASET"": 25, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,equal,none,faf5cb82d22de62a,6297631944ac369e,a2,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 85, ""MEMORY"": 74, ""DATASET"": 25, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,equal,none,faf5cb82d22de62a,6297631944ac369e,a3,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 85, ""MEMORY"": 74, ""DATASET"": 25, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,equal,none,faf5cb82d22de62a,6297631944ac369e,a4,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 84, ""MEMORY"": 74, ""DATASET"": 24, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,equal,none,faf5cb82d22de62a,6297631944ac369e,a5,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 84, ""MEMORY"": 73, ""DATASET"": 24, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,drf,none,faf5cb82d22de62a,6297631944ac369e,a0,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 85, ""MEMORY"": 74, ""DATASET"": 25, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,drf,none,faf5cb82d22de62a,6297631944ac369e,a1,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 85, ""MEMORY"": 74, ""DATASET"": 25, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,drf,none,faf5cb82d22de62a,6297631944ac369e,a2,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 85, ""MEMORY"": 74, ""DATASET"": 25, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,drf,none,faf5cb82d22de62a,6297631944ac369e,a3,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.43124999999999997,11,4,"{""COMPUTE"": 85, ""MEMORY"": 74, ""DATASET"": 25, ""API_CREDITS"": 37}","{""COMPUTE"": 82, ""MEMORY"": 71, ""DATASET"": 24, ""API_CREDITS"": 35}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 194, ""MEMORY"": 164, ""API_CREDITS"": 96, ""DATASET"": 32}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
