sweep,cell,regime,concentration,floor_regime,contention,seed,policy,utility_family,task_workload_hash,scenario_hash,feasible,solver_status,fallback_allowed,fallback_used,completion_mean,completion_min,completion_p5,completed_tasks_per_run,quality_adjusted_completion,optional_refinement_rate,capacity_utilization,allocation_consumption,frac_agents_zero_completion,frac_agents_any_used_at_lower_bound,frac_agents_all_used_above_lower_bound,frac_agents_worse_than_equal,alloc_distance_from_equal_mean,mandatory_failures_total,blocked_total,backend_total,capacity_by_resource,mandatory_demand_by_resource,realized_contention_by_resource,capacity_violation,bound_violation,alloc_latency_ms
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,equal,none,faf5cb82d22de62a,6297631944ac369e,True,equal,False,False,0.625,0.625,0.625,30.0,0.43124999999999997,0.0,0.9629068887206662,0.9629068887206662,0.0,0.0,1.0,0.0,0.0,18,24,66,"{""COMPUTE"": 508, ""MEMORY"": 443, ""DATASET"": 148, ""API_CREDITS"": 222}","{""COMPUTE"": 660, ""MEMORY"": 576, ""DATASET"": 192, ""API_CREDITS"": 288}","{""COMPUTE"": 1.2992125984251968, ""MEMORY"": 1.3002257336343115, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.2972972972972974}",0,0,4
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,drf,none,faf5cb82d22de62a,6297631944ac369e,True,drf,False,False,0.625,0.625,0.625,30.0,0.43124999999999997,0.0,0.9629068887206662,0.9636363636363636,0.0,0.0,1.0,0.0,0.0007645259938837921,18,24,66,"{""COMPUTE"": 508, ""MEMORY"": 443, ""DATASET"": 148, ""API_CREDITS"": 222}","{""COMPUTE"": 660, ""MEMORY"": 576, ""DATASET"": 192, ""API_CREDITS"": 288}","{""COMPUTE"": 1.2992125984251968, ""MEMORY"": 1.3002257336343115, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.2972972972972974}",0,0,0
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,decomposed_cobb_douglas,COBB_DOUGLAS,faf5cb82d22de62a,6297631944ac369e,True,decomposed_cobb_douglas,False,False,0.625,0.625,0.625,30.0,0.43124999999999997,0.0,0.9629068887206662,0.9629068887206662,0.0,0.0,1.0,0.0,0.0,18,24,66,"{""COMPUTE"": 508, ""MEMORY"": 443, ""DATASET"": 148, ""API_CREDITS"": 222}","{""COMPUTE"": 660, ""MEMORY"": 576, ""DATASET"": 192, ""API_CREDITS"": 288}","{""COMPUTE"": 1.2992125984251968, ""MEMORY"": 1.3002257336343115, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.2972972972972974}",0,0,0
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,joint_linear,LINEAR,faf5cb82d22de62a,6297631944ac369e,True,optimal,False,False,0.625,0.625,0.625,30.0,0.43124999999999997,0.0,0.9629068887206662,0.9629068887206662,0.0,0.0,1.0,0.0,0.007586387061728789,18,24,66,"{""COMPUTE"": 508, ""MEMORY"": 443, ""DATASET"": 148, ""API_CREDITS"": 222}","{""COMPUTE"": 660, ""MEMORY"": 576, ""DATASET"": 192, ""API_CREDITS"": 288}","{""COMPUTE"": 1.2992125984251968, ""MEMORY"": 1.3002257336343115, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.2972972972972974}",0,0,648
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,joint_cobb_douglas,COBB_DOUGLAS,faf5cb82d22de62a,6297631944ac369e,True,optimal,False,False,0.625,0.625,0.625,30.0,0.43124999999999997,0.0,0.9629068887206662,0.9629068887206662,0.0,0.0,1.0,0.0,0.004549039448018519,18,24,66,"{""COMPUTE"": 508, ""MEMORY"": 443, ""DATASET"": 148, ""API_CREDITS"": 222}","{""COMPUTE"": 660, ""MEMORY"": 576, ""DATASET"": 192, ""API_CREDITS"": 288}","{""COMPUTE"": 1.2992125984251968, ""MEMORY"": 1.3002257336343115, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.2972972972972974}",0,0,637
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,joint_ces,CES,faf5cb82d22de62a,6297631944ac369e,True,optimal,False,False,0.625,0.625,0.625,30.0,0.43124999999999997,0.0,0.9629068887206662,0.9629068887206662,0.0,0.0,1.0,0.0,0.007586387061728789,18,24,66,"{""COMPUTE"": 508, ""MEMORY"": 443, ""DATASET"": 148, ""API_CREDITS"": 222}","{""COMPUTE"": 660, ""MEMORY"": 576, ""DATASET"": 192, ""API_CREDITS"": 288}","{""COMPUTE"": 1.2992125984251968, ""MEMORY"": 1.3002257336343115, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.2972972972972974}",0,0,629
workload,homogeneous__moderate,homogeneous,,unit,moderate,2098221685,joint_leontief,LEONTIEF,faf5cb82d22de62a,6297631944ac369e,True,optimal,False,False,0.625,0.625,0.625,30.0,0.43124999999999997,0.0,0.9629068887206662,0.9629068887206662,0.0,0.0,1.0,0.0,0.007586387061728789,18,24,66,"{""COMPUTE"": 508, ""MEMORY"": 443, ""DATASET"": 148, ""API_CREDITS"": 222}","{""COMPUTE"": 660, ""MEMORY"": 576, ""DATASET"": 192, ""API_CREDITS"": 288}","{""COMPUTE"": 1.2992125984251968, ""MEMORY"": 1.3002257336343115, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.2972972972972974}",0,0,619
workload,homogeneous__moderate,homogeneous,,unit,moderate,1138347673,equal,none,db9acdf82fca0f4e,9512ac75a9d0802f,True,equal,False,False,0.625,0.625,0.625,30.0,0.42812500000000003,0.25,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,0.0,0.0,18,18,54,"{""COMPUTE"": 378, ""MEMORY"": 355, ""DATASET"": 185, ""API_CREDITS"": 125}","{""COMPUTE"": 492, ""MEMORY"": 462, ""DATASET"": 240, ""API_CREDITS"": 162}","{""COMPUTE"": 1.3015873015873016, ""MEMORY"": 1.3014084507042254, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.296}",0,0,0
workload,homogeneous__moderate,homogeneous,,unit,moderate,1138347673,drf,none,db9acdf82fca0f4e,9512ac75a9d0802f,True,drf,False,False,0.625,0.625,0.625,30.0,0.42812500000000003,0.25,0.8571428571428571,0.8587896253602305,0.0,0.0,1.0,0.0,0.0019157088122605363,18,18,54,"{""COMPUTE"": 378, ""MEMORY"": 355, ""DATASET"": 185, ""API_CREDITS"": 125}","{""COMPUTE"": 492, ""MEMORY"": 462, ""DATASET"": 240, ""API_CREDITS"": 162}","{""COMPUTE"": 1.3015873015873016, ""MEMORY"": 1.3014084507042254, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.296}",0,0,0
workload,homogeneous__moderate,homogeneous,,unit,moderate,1138347673,decomposed_cobb_douglas,COBB_DOUGLAS,db9acdf82fca0f4e,9512ac75a9d0802f,True,decomposed_cobb_douglas,False,False,0.625,0.625,0.625,30.0,0.42812500000000003,0.25,0.8571428571428571,0.8571428571428571,0.0,0.0,1.0,0.0,0.0,18,18,54,"{""COMPUTE"": 378, ""MEMORY"": 355, ""DATASET"": 185, ""API_CREDITS"": 125}","{""COMPUTE"": 492, ""MEMORY"": 462, ""DATASET"": 240, ""API_CREDITS"": 162}","{""COMPUTE"": 1.3015873015873016, ""MEMORY"": 1.3014084507042254, ""DATASET"": 1.2972972972972974, ""API_CREDITS"": 1.296}",0,0,0
