policy,scope,mean_rel_l1,median_rel_l1,p95_rel_l1,n
equal,mixed_combined,0.000000,0.000000,0.000000,1200
equal,homogeneous__high,0.000000,0.000000,0.000000,600
equal,homogeneous__moderate,0.000000,0.000000,0.000000,600
equal,mixed_bundle__high,0.000000,0.000000,0.000000,600
equal,mixed_bundle__moderate,0.000000,0.000000,0.000000,600
drf,mixed_combined,0.114855,0.096502,0.276923,1200
drf,homogeneous__high,0.001689,0.000000,0.009132,600
drf,homogeneous__moderate,0.000587,0.000000,0.003922,600
drf,mixed_bundle__high,0.112196,0.092539,0.278574,600
drf,mixed_bundle__moderate,0.117515,0.098560,0.270917,600
decomposed_cobb_douglas,mixed_combined,0.042430,0.035315,0.093760,1200
decomposed_cobb_douglas,homogeneous__high,0.000000,0.000000,0.000000,600
decomposed_cobb_douglas,homogeneous__moderate,0.000000,0.000000,0.000000,600
decomposed_cobb_douglas,mixed_bundle__high,0.044235,0.037037,0.096672,600
decomposed_cobb_douglas,mixed_bundle__moderate,0.040625,0.034370,0.087677,600
joint_linear,mixed_combined,0.836163,0.877352,1.210024,1200
joint_linear,homogeneous__high,0.009713,0.009524,0.020020,600
joint_linear,homogeneous__moderate,0.006435,0.006309,0.013402,600
joint_linear,mixed_bundle__high,0.929645,0.974424,1.240652,600
joint_linear,mixed_bundle__moderate,0.742682,0.773451,1.011175,600
joint_cobb_douglas,mixed_combined,0.042479,0.035315,0.093760,1200
joint_cobb_douglas,homogeneous__high,0.005049,0.004386,0.015544,600
joint_cobb_douglas,homogeneous__moderate,0.003187,0.003165,0.009132,600
joint_cobb_douglas,mixed_bundle__high,0.044297,0.037037,0.096672,600
joint_cobb_douglas,mixed_bundle__moderate,0.040660,0.034370,0.087677,600
joint_ces,mixed_combined,0.077727,0.066108,0.170473,1200
joint_ces,homogeneous__high,0.009468,0.009195,0.019874,600
joint_ces,homogeneous__moderate,0.006431,0.006279,0.013393,600
joint_ces,mixed_bundle__high,0.081633,0.067767,0.190356,600
joint_ces,mixed_bundle__moderate,0.073821,0.065486,0.155514,600
joint_leontief,mixed_combined,0.069592,0.050000,0.196289,1200
joint_leontief,homogeneous__high,0.009087,0.008677,0.020000,600
joint_leontief,homogeneous__moderate,0.006179,0.005764,0.013379,600
joint_leontief,mixed_bundle__high,0.068770,0.048847,0.200048,600
joint_leontief,mixed_bundle__moderate,0.070414,0.050520,0.187737,600
