comparison,scope,completion_diff,tasks_per_run,n
decomposed_cobb_douglas_minus_joint_cobb_douglas,mixed_pooled,0.000104,0.0050,200
decomposed_cobb_douglas_minus_joint_cobb_douglas,homogeneous__high,0.000625,0.0300,100
decomposed_cobb_douglas_minus_joint_cobb_douglas,homogeneous__moderate,0.000208,0.0100,100
decomposed_cobb_douglas_minus_joint_cobb_douglas,mixed_bundle__high,0.000000,0.0000,100
decomposed_cobb_douglas_minus_joint_cobb_douglas,mixed_bundle__moderate,0.000208,0.0100,100
joint_ces_minus_drf,mixed_pooled,0.008750,0.4200,200
joint_ces_minus_drf,homogeneous__high,0.002708,0.1300,100
joint_ces_minus_drf,homogeneous__moderate,0.000208,0.0100,100
joint_ces_minus_drf,mixed_bundle__high,0.014583,0.7000,100
joint_ces_minus_drf,mixed_bundle__moderate,0.002917,0.1400,100
joint_ces_minus_equal,mixed_pooled,0.029896,1.4350,200
joint_ces_minus_equal,homogeneous__high,0.000000,0.0000,100
joint_ces_minus_equal,homogeneous__moderate,0.000000,0.0000,100
joint_ces_minus_equal,mixed_bundle__high,0.023958,1.1500,100
joint_ces_minus_equal,mixed_bundle__moderate,0.035833,1.7200,100
joint_cobb_douglas_minus_drf,mixed_pooled,0.007083,0.3400,200
joint_cobb_douglas_minus_drf,homogeneous__high,0.002083,0.1000,100
joint_cobb_douglas_minus_drf,homogeneous__moderate,0.000000,0.0000,100
joint_cobb_douglas_minus_drf,mixed_bundle__high,0.006458,0.3100,100
joint_cobb_douglas_minus_drf,mixed_bundle__moderate,0.007708,0.3700,100
joint_cobb_douglas_minus_equal,mixed_pooled,0.028229,1.3550,200
joint_cobb_douglas_minus_equal,homogeneous__high,-0.000625,-0.0300,100
joint_cobb_douglas_minus_equal,homogeneous__moderate,-0.000208,-0.0100,100
joint_cobb_douglas_minus_equal,mixed_bundle__high,0.015833,0.7600,100
joint_cobb_douglas_minus_equal,mixed_bundle__moderate,0.040625,1.9500,100
joint_leontief_minus_drf,mixed_pooled,0.005000,0.2400,200
joint_leontief_minus_drf,homogeneous__high,0.002708,0.1300,100
joint_leontief_minus_drf,homogeneous__moderate,0.000208,0.0100,100
joint_leontief_minus_drf,mixed_bundle__high,0.000625,0.0300,100
joint_leontief_minus_drf,mixed_bundle__moderate,0.009375,0.4500,100
joint_leontief_minus_equal,mixed_pooled,0.026146,1.2550,200
joint_leontief_minus_equal,homogeneous__high,0.000000,0.0000,100
joint_leontief_minus_equal,homogeneous__moderate,0.000000,0.0000,100
joint_leontief_minus_equal,mixed_bundle__high,0.010000,0.4800,100
joint_leontief_minus_equal,mixed_bundle__moderate,0.042292,2.0300,100
joint_linear_minus_drf,mixed_pooled,-0.560521,-26.9050,200
joint_linear_minus_drf,homogeneous__high,0.002708,0.1300,100
joint_linear_minus_drf,homogeneous__moderate,0.000208,0.0100,100
joint_linear_minus_drf,mixed_bundle__high,-0.476042,-22.8500,100
joint_linear_minus_drf,mixed_bundle__moderate,-0.645000,-30.9600,100
joint_linear_minus_equal,mixed_pooled,-0.539375,-25.8900,200
joint_linear_minus_equal,homogeneous__high,0.000000,0.0000,100
joint_linear_minus_equal,homogeneous__moderate,0.000000,0.0000,100
joint_linear_minus_equal,mixed_bundle__high,-0.466667,-22.4000,100
joint_linear_minus_equal,mixed_bundle__moderate,-0.612083,-29.3800,100
