floor_regime,regime,concentration,contention,policy,n_seeds,completion_mean,tasks_per_run_mean,diff_vs_equal,diff_vs_equal_tasks,diff_vs_equal_ci_lo,diff_vs_equal_ci_hi,diff_vs_drf,diff_vs_drf_tasks,frac_zero_completion,frac_worse_than_equal,agent_completion_min,agent_completion_p5,frac_alloc_cells_at_lower,frac_agents_any_used_at_lower,alloc_distance_from_equal,capacity_utilization,capacity_violation,bound_violation,infeasible_runs,floor_fraction_mean
proportional_0.10,dirichlet_0.03,0.03,high,equal,30,0.47777777777777786,22.933333333333337,0.0,0.0,0.0,0.0,-0.02569444444444445,-1.2333333333333336,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.8232816065027685,0,0,0,0.09751631767682707
proportional_0.10,dirichlet_0.03,0.03,high,drf,30,0.5034722222222222,24.166666666666664,0.02569444444444445,1.2333333333333336,0.0097048611111111,0.04097222222222223,0.0,0.0,0.005555555555555556,0.21666666666666667,0.0,0.125,0.0,0.0,0.21945278274579175,0.8480012167497307,0,0,0,0.09751631767682707
proportional_0.10,dirichlet_0.03,0.03,high,joint_linear,30,0.05763888888888889,2.7666666666666666,-0.4201388888888889,-20.166666666666668,-0.4507118055555556,-0.38958333333333334,-0.44583333333333336,-21.400000000000002,0.7833333333333333,0.9888888888888889,0.0,0.0,0.3940345368916798,0.8666666666666666,0.7650185170237608,0.07201876930207884,0,0,0,0.09751631767682707
proportional_0.10,dirichlet_0.03,0.03,moderate,equal,30,0.7027777777777777,33.733333333333334,0.0,0.0,0.0,0.0,0.007638888888888873,0.3666666666666659,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.877848713007407,0,0,0,0.09801108069214431
proportional_0.10,dirichlet_0.03,0.03,moderate,drf,30,0.6951388888888886,33.36666666666665,-0.007638888888888873,-0.3666666666666659,-0.02499999999999999,0.009739583333333279,0.0,0.0,0.0,0.2777777777777778,0.125,0.25,0.0,0.0,0.18087986330517675,0.8848244968668709,0,0,0,0.09801108069214431
proportional_0.10,dirichlet_0.03,0.03,moderate,joint_linear,30,0.14097222222222225,6.7666666666666675,-0.5618055555555554,-26.96666666666666,-0.5986111111111111,-0.5215104166666666,-0.5541666666666667,-26.6,0.5166666666666667,0.9777777777777777,0.0,0.0,0.29356357927786497,0.7999999999999999,0.6093446053347346,0.13312046834281407,0,0,0,0.09801108069214431
proportional_0.25,dirichlet_0.03,0.03,high,equal,30,0.47361111111111115,22.733333333333334,0.0,0.0,0.0,0.0,-0.030555555555555558,-1.4666666666666668,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.841568887547146,0,0,0,0.24769928301270622
proportional_0.25,dirichlet_0.03,0.03,high,drf,30,0.5041666666666667,24.2,0.030555555555555558,1.4666666666666668,0.013194444444444446,0.04861111111111111,0.0,0.0,0.0,0.25,0.125,0.125,0.006279434850863423,0.005555555555555555,0.2294659700896456,0.8490620082633986,0,0,0,0.24769928301270622
proportional_0.25,dirichlet_0.03,0.03,high,joint_linear,30,0.16180555555555556,7.7666666666666675,-0.3118055555555556,-14.966666666666669,-0.33472222222222225,-0.2881944444444444,-0.34236111111111106,-16.43333333333333,0.044444444444444446,0.9666666666666667,0.0,0.125,0.40345368916797486,0.8666666666666666,0.6676404094810953,0.26743784451028046,0,0,0,0.24769928301270622
proportional_0.25,dirichlet_0.03,0.03,moderate,equal,30,0.7090277777777776,34.033333333333324,0.0,0.0,0.0,0.0,0.013888888888888888,0.6666666666666666,0.0,0.0,0.375,0.5,0.0,0.0,0.0,0.8878539366354286,0,0,0,0.24878554096591537
