cell,contention,seed,central_status,central_objective,distributed_objective,rel_obj_gap,distributed_converged,iterations,message_count,runtime_ms,capacity_residual,bound_residual,primal_residual,dual_residual,cont_alloc_l1_norm,cont_alloc_linf,installed_alloc_l1_norm,installed_alloc_linf,installed_outcome_disagreements,technically_valid
dirichlet_0.1__high,high,13163994,optimal,319.8278927905218,319.8271600630879,2.2910054138992426e-06,True,8000,80000,563,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0022261241406667256,0.6436319126149543,0.003014318010550113,1.0,0,True
dirichlet_0.1__high,high,47233068,optimal,299.53742184928495,299.5367098002403,2.377162226478387e-06,True,8000,80000,414,9.999894245993346e-10,0.0,9.999894245993346e-10,4.443095070645625e-18,0.0017018242742717503,0.4999741393652073,0.00563063063063063,1.0,1,True
dirichlet_0.1__high,high,51953835,optimal,312.52993950977896,312.5295536186395,1.2347333508265827e-06,True,8000,80000,418,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.001635600261061102,0.4069727513107253,0.0018018018018018018,1.0,0,True
dirichlet_0.1__high,high,71021215,optimal,303.38930555812675,303.38930595399506,1.3048196000995387e-09,True,8000,80000,413,9.999894245993346e-10,0.0,9.999894245993346e-10,4.79051442680811e-25,0.0008896675032344856,0.16468300312993733,0.0,0.0,0,True
dirichlet_0.1__high,high,79596452,optimal,308.1049940739973,308.10499433559016,8.490379909272854e-10,True,8000,80000,435,9.999325811804738e-10,0.0,9.999325811804738e-10,1.765323567105839e-28,0.0036143202174437786,0.8704232891374915,0.0,0.0,0,True
dirichlet_0.1__high,high,105735450,optimal,325.7171665701057,325.7171667144615,4.431936959091557e-10,True,1934,19340,100,2.9103830456733704e-11,0.0,2.9103830456733704e-11,0.0,0.007403519128457267,2.53460442029931,0.008409250175192713,2.0,0,True
dirichlet_0.1__high,high,119160524,optimal,322.6282348739308,322.62777533595386,1.4243575957658017e-06,True,8000,80000,426,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0024717082603513854,0.6186309245427779,0.0023006134969325155,1.0,0,True
dirichlet_0.1__high,high,144382842,optimal,326.9138689106647,326.9137100340238,4.859892957107373e-07,True,8000,80000,418,9.999894245993346e-10,0.0,9.999894245993346e-10,2.8968458040485427e-19,0.0010592097443057253,0.45306214730452865,0.0007112375533428165,1.0,0,True
dirichlet_0.1__high,high,154011620,optimal,320.76809040848667,320.7680906389652,7.185207217193023e-10,True,7503,75030,408,2.0179413695586845e-11,0.0,2.0179413695586845e-11,1.4875440309394258e-15,0.003975351140103507,1.2762387751352975,0.0037821482602118004,1.0,1,True
dirichlet_0.1__high,high,160641470,optimal,317.06733698819426,317.06733718510634,6.210418422599013e-10,True,8000,80000,422,3.645936885732226e-10,0.0,3.645936885732226e-10,4.5313026041675114e-14,0.0015278644526466928,0.43861649217079446,0.0016722408026755853,1.0,0,True
dirichlet_0.1__high,high,171451216,optimal,306.70326989566064,306.7025129998784,2.4678438624888604e-06,True,8000,80000,433,9.999894245993346e-10,0.0,9.999894245993346e-10,4.3741893041376776e-17,0.002759484200862576,0.3421809581469608,0.0037418147801683817,1.0,0,True
dirichlet_0.1__high,high,214605580,optimal,328.7603623037363,328.76036291052077,1.8456740026135176e-09,True,8000,80000,425,9.999894245993346e-10,0.0,9.999894245993346e-10,2.398416903554775e-25,0.002572768138521715,0.9905704982142165,0.0020604395604395605,1.0,0,True
dirichlet_0.1__high,high,215326899,optimal,298.88338103089336,298.8833813956055,1.2202490115046944e-09,True,3794,37940,192,5.4853899200679734e-12,0.0,5.4853899200679734e-12,0.0,0.0022872727766517836,0.4025032514988851,0.0045045045045045045,1.0,0,True
dirichlet_0.1__high,high,251198272,optimal,318.00399151995873,318.0039917844575,8.317467751207503e-10,True,8000,80000,426,9.999894245993346e-10,0.0,9.999894245993346e-10,9.25476546954465e-13,0.002162375006812944,0.7204838079922151,0.0008169934640522876,1.0,0,True
dirichlet_0.1__high,high,278470677,optimal,324.08137126148745,324.0813716161806,1.0944570965086765e-09,True,7816,78160,414,1.750777300912887e-11,0.0,1.750777300912887e-11,6.500872408363775e-16,0.003463421727477197,0.9674464594763919,0.004366812227074236,1.0,0,True
dirichlet_0.1__high,high,300256241,optimal,316.7555563265455,316.75555651908775,6.078575147713316e-10,True,7870,78700,418,1.6825651982799172e-11,0.0,1.6825651982799172e-11,4.8702108191917905e-15,0.0021394312026028358,0.4296374340989484,0.0033085194375516956,1.0,0,True
dirichlet_0.1__high,high,386905649,optimal,287.08426538956155,287.0842658549893,1.62122355926227e-09,True,4279,42790,221,2.8137492336099967e-12,0.0,2.8137492336099967e-12,0.0,0.001526642723813028,0.3934654937670956,0.0013679890560875513,1.0,0,True
dirichlet_0.1__high,high,406271647,optimal,300.123009825452,300.1230099932967,5.592529854873895e-10,True,6972,69720,360,2.2737367544323206e-12,0.0,2.2737367544323206e-12,0.0,0.0008562402722012429,0.2527040913913936,0.0033333333333333335,1.0,0,True
dirichlet_0.1__high,high,411968488,optimal,305.0929204766499,305.09292080730916,1.0837984933301177e-09,True,8000,80000,411,1.2255441106390208e-10,0.0,1.2255441106390208e-10,5.624216790447789e-28,0.0010156398852827551,0.4112779489235834,0.0,0.0,0,True
dirichlet_0.1__high,high,453975842,optimal,318.47162705294215,318.47162732773006,8.62833246798871e-10,True,8000,80000,556,9.999894245993346e-10,0.0,9.999894245993346e-10,1.3830515537909493e-28,0.003576651473703876,1.4569323226468605,0.004862236628849271,2.0,0,True
dirichlet_0.1__high,high,462769092,optimal,316.5984892349551,316.59848942244713,5.922076539482557e-10,True,8000,80000,430,9.999894245993346e-10,0.0,9.999894245993346e-10,1.1119340076243117e-12,0.003474616245538621,0.8373708463669027,0.004042037186742118,1.0,0,True
dirichlet_0.1__high,high,481369689,optimal,317.151683975928,317.1516842063439,7.265163327801606e-10,True,5767,57670,301,1.602984411874786e-11,0.0,1.602984411874786e-11,5.643847272429863e-15,0.0021137318427609884,0.4335208981348444,0.0041841004184100415,1.0,0,True
dirichlet_0.1__high,high,516112135,optimal,305.595826344818,305.5955072758309,1.044088170026889e-06,True,8000,80000,423,9.999610028899042e-10,0.0,9.999610028899042e-10,1.401780233256741e-24,0.00046521857753462103,0.08296326248272123,0.002028397565922921,1.0,0,True
dirichlet_0.1__high,high,553435265,optimal,319.9162200481407,319.91622026947186,6.918410174438908e-10,True,8000,80000,426,9.999325811804738e-10,0.0,9.999325811804738e-10,0.0,0.00349927423888346,0.8221212640402626,0.0053435114503816794,2.0,0,True
dirichlet_0.1__high,high,567887676,optimal,298.00443243146054,298.0044326111486,6.029711402455086e-10,True,8000,80000,412,9.999894245993346e-10,0.0,9.999894245993346e-10,3.437418781258747e-27,0.0008275475941128419,0.14768585823214408,0.0023148148148148147,1.0,0,True
dirichlet_0.1__high,high,570058452,optimal,308.5635652302081,308.56356561961456,1.2619975592162047e-09,True,6425,64250,334,8.412825991399586e-12,0.0,8.412825991399586e-12,5.710720005750849e-15,0.0012506863202494355,0.23137757948146565,0.001936108422071636,1.0,0,True
dirichlet_0.1__high,high,571665946,optimal,302.84315939192084,302.8431596511388,8.559479583000927e-10,True,8000,80000,419,9.661675903771538e-10,0.0,9.661675903771538e-10,0.0,0.0011081257470264465,0.1986109021181619,0.0010615711252653928,1.0,0,True
dirichlet_0.1__high,high,610850603,optimal,326.0047627004742,326.0047631089262,1.2529020153561977e-09,True,8000,80000,417,9.99875737761613e-10,0.0,9.99875737761613e-10,7.886687266134335e-27,0.0018797826814580631,0.42713495119377143,0.002145922746781116,1.0,0,True
dirichlet_0.1__high,high,624291094,optimal,307.03012982215165,307.0301304055746,1.9002139817624484e-09,True,8000,80000,427,9.999894245993346e-10,0.0,9.999894245993346e-10,3.0861408584354744e-18,0.0006849272146052456,0.15769753389391195,0.0,0.0,0,True
dirichlet_0.1__high,high,626101394,optimal,320.364006544318,320.36400185126945,1.4649113016320799e-08,True,8000,80000,418,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.003639281797892557,1.083623726563065,0.003885003885003885,1.0,0,True
dirichlet_0.1__high,high,631912891,optimal,289.02795352424755,289.0279536200418,3.314358822347022e-10,True,3923,39230,200,2.7284841053187847e-12,0.0,2.7284841053187847e-12,1.8160836696743774e-28,0.0024571667614391893,0.39957582392948154,0.003978779840848806,1.0,0,True
dirichlet_0.1__high,high,636323273,optimal,312.4614364396447,312.4614334937572,9.428003271894518e-09,True,8000,80000,423,9.999894245993346e-10,0.0,9.999894245993346e-10,2.613490522336001e-28,0.0017696739610764936,0.8120333806133644,0.004541326067211626,1.0,0,True
dirichlet_0.1__high,high,665358464,optimal,312.9359196462565,312.93591990177424,8.165178414314271e-10,True,8000,80000,418,9.999894245993346e-10,0.0,9.999894245993346e-10,0.0,0.0032146684522741686,0.8274322614630893,0.002613240418118467,1.0,0,True
dirichlet_0.1__high,high,695586742,optimal,315.1011232997062,315.10111810056515,1.6499912843847482e-08,True,8000,80000,553,9.999894245993346e-10,0.0,9.999894245993346e-10,3.029986310001547e-21,0.0013166502802393612,0.6300453868875096,0.0026041666666666665,1.0,0,True
