cell,regime,contention,seed,arm,solver_status,feasible,fallback_used,queue_order_completion_mean,queue_order_tasks_per_run,best_subset_completion_mean,best_subset_tasks_per_run,frac_zero_qo,frac_zero_bs,capacity_utilization,unused_installed_total,capacity_violation,bound_violation,alloc_latency_ms
dirichlet_0.1__high,dirichlet_0.1,high,13163994,central_joint_leontief,optimal,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.9811605124340618,25,0,0,624
dirichlet_0.1__high,dirichlet_0.1,high,13163994,distributed_price_leontief,preinstalled,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.9811605124340618,25,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,13163994,drf,drf,True,False,0.5416666666666666,26.0,0.5625,27.0,0.0,0.0,0.9374529012810852,76,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,13163994,equal,equal,True,False,0.4375,21.0,0.4583333333333333,22.0,0.0,0.0,0.7565938206480783,323,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,13163994,independent_bundle_maxmin,preinstalled,True,False,0.5208333333333334,25.0,0.5416666666666666,26.0,0.0,0.0,0.8108515448379804,251,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,13163994,separable_leontief_relaxation,preinstalled,True,False,0.4375,21.0,0.4583333333333333,22.0,0.0,0.0,0.7565938206480783,323,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,47233068,central_joint_leontief,optimal,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.9246344206974129,66,0,0,618
dirichlet_0.1__high,dirichlet_0.1,high,47233068,distributed_price_leontief,preinstalled,True,False,0.5625,27.0,0.5833333333333334,28.0,0.0,0.0,0.9178852643419573,73,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,47233068,drf,drf,True,False,0.5416666666666666,26.0,0.5416666666666666,26.0,0.0,0.0,0.8920134983127109,29,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,47233068,equal,equal,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.7840269966254219,192,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,47233068,independent_bundle_maxmin,preinstalled,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.9505061867266592,44,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,47233068,separable_leontief_relaxation,preinstalled,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.7840269966254219,192,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,51953835,central_joint_leontief,optimal,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.8279279279279279,191,0,0,666
dirichlet_0.1__high,dirichlet_0.1,high,51953835,distributed_price_leontief,preinstalled,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.8279279279279279,191,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,51953835,drf,drf,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.8126126126126126,187,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,51953835,equal,equal,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.7396396396396396,289,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,51953835,independent_bundle_maxmin,preinstalled,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.7432432432432432,285,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,51953835,separable_leontief_relaxation,preinstalled,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.7396396396396396,289,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,71021215,central_joint_leontief,optimal,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8682008368200836,126,0,0,637
dirichlet_0.1__high,dirichlet_0.1,high,71021215,distributed_price_leontief,preinstalled,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8682008368200836,126,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,71021215,drf,drf,True,False,0.4166666666666667,20.0,0.4375,21.0,0.0,0.0,0.7845188284518828,118,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,71021215,equal,equal,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8786610878661087,116,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,71021215,independent_bundle_maxmin,preinstalled,True,False,0.5,24.0,0.5,24.0,0.0,0.0,0.8849372384937239,110,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,71021215,separable_leontief_relaxation,preinstalled,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8786610878661087,116,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,79596452,central_joint_leontief,optimal,True,False,0.5,24.0,0.5208333333333334,25.0,0.0,0.0,0.9375573921028466,68,0,0,613
dirichlet_0.1__high,dirichlet_0.1,high,79596452,distributed_price_leontief,preinstalled,True,False,0.5,24.0,0.5208333333333334,25.0,0.0,0.0,0.9375573921028466,68,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,79596452,drf,drf,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8833792470156107,52,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,79596452,equal,equal,True,False,0.4375,21.0,0.4375,21.0,0.0,0.0,0.7731864095500459,247,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,79596452,independent_bundle_maxmin,preinstalled,True,False,0.4791666666666667,23.0,0.5208333333333334,25.0,0.0,0.0,0.8640955004591369,148,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,79596452,separable_leontief_relaxation,preinstalled,True,False,0.4375,21.0,0.4375,21.0,0.0,0.0,0.7731864095500459,247,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,105735450,central_joint_leontief,optimal,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.894919972164231,141,0,0,621
dirichlet_0.1__high,dirichlet_0.1,high,105735450,distributed_price_leontief,preinstalled,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.894919972164231,151,0,0,0
