cell,comparison,mean_tasks,ci_lo_tasks,ci_hi_tasks,n
dirichlet_0.1__moderate,central_joint_leontief_minus_drf,2.6550,2.3600,2.9500,200
dirichlet_0.1__moderate,central_joint_leontief_minus_independent_bundle_maxmin,0.6850,0.4950,0.8800,200
dirichlet_0.1__moderate,independent_bundle_maxmin_minus_drf,1.9700,1.6500,2.2850,200
dirichlet_0.1__moderate,central_joint_leontief_minus_equal,3.4250,3.1750,3.6750,200
dirichlet_0.1__moderate,independent_bundle_maxmin_minus_central_joint_leontief,-0.6850,-0.8750,-0.4900,200
dirichlet_0.1__moderate,independent_bundle_maxmin_minus_equal,2.7400,2.4550,3.0250,200
dirichlet_0.1__moderate,separable_leontief_relaxation_minus_equal,0.0000,0.0000,0.0000,200
dirichlet_0.1__moderate,separable_leontief_relaxation_minus_drf,-0.7700,-1.1050,-0.4400,200
dirichlet_0.1__moderate,distributed_price_leontief_minus_central_joint_leontief,-0.0050,-0.0400,0.0350,200
dirichlet_0.1__moderate,distributed_price_leontief_minus_drf,2.6500,2.3550,2.9450,200
dirichlet_0.1__high,central_joint_leontief_minus_drf,1.8250,1.5450,2.1000,200
dirichlet_0.1__high,central_joint_leontief_minus_independent_bundle_maxmin,0.3550,0.1500,0.5600,200
dirichlet_0.1__high,independent_bundle_maxmin_minus_drf,1.4700,1.1850,1.7550,200
dirichlet_0.1__high,central_joint_leontief_minus_equal,3.3550,3.0800,3.6350,200
dirichlet_0.1__high,independent_bundle_maxmin_minus_central_joint_leontief,-0.3550,-0.5600,-0.1500,200
dirichlet_0.1__high,independent_bundle_maxmin_minus_equal,3.0000,2.7300,3.2750,200
dirichlet_0.1__high,separable_leontief_relaxation_minus_equal,0.0000,0.0000,0.0000,200
dirichlet_0.1__high,separable_leontief_relaxation_minus_drf,-1.5300,-1.8000,-1.2550,200
dirichlet_0.1__high,distributed_price_leontief_minus_central_joint_leontief,0.0050,-0.0550,0.0650,200
dirichlet_0.1__high,distributed_price_leontief_minus_drf,1.8300,1.5450,2.1150,200
