cell,delta,contention,declaration_source,arm,policy_kind,mean_qo_tasks_per_run,mean_bs_tasks_per_run,mean_cap_util,mean_unused_installed,frac_zero_qo,min_completion_tasks,bottom_decile_tasks,mean_completion_tasks,vs_equal_n_harmed,vs_equal_frac_harmed,vs_equal_mean_loss_harmed,vs_equal_median_loss_harmed,vs_equal_worst_loss,vs_equal_n_improved,vs_equal_frac_improved,vs_equal_mean_gain_improved,vs_equal_median_gain_improved,vs_matched_drf_n_harmed,vs_matched_drf_frac_harmed,vs_matched_drf_mean_loss_harmed,vs_matched_drf_median_loss_harmed,vs_matched_drf_worst_loss,vs_matched_drf_n_improved,vs_matched_drf_frac_improved,vs_matched_drf_mean_gain_improved,vs_matched_drf_median_gain_improved,drift_source_total_mean,changed_identities_total_mean,task_mixture_tv_from_baseline_mean,mand_demand_tv_mean_pairwise,task_entropy_mean,cross_agent_dissimilarity_mean,staleness_error_mean,calibration_error_mean,latent_oracle_error_mean,realized_contention_mean
delta0.00__moderate,0.0,moderate,execution_queue_oracle,carrier_execution_queue_oracle,carrier,36.125,36.395,0.9341000368751883,109.24,0.0,2.0,3.0,6.020833333333333,22,0.018333333333333333,1.0,1.0,1.0,754,0.6283333333333333,2.083554376657825,2.0,299,0.24916666666666668,1.1237458193979932,1.0,3.0,337,0.2808333333333333,2.2759643916913945,2.0,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.3515778310730655
delta0.00__moderate,0.0,moderate,latent_distribution_oracle,carrier_latent_distribution_oracle,carrier,35.59,35.86,0.920426897642916,131.975,0.0,2.0,3.0,5.931666666666667,36,0.03,1.2222222222222223,1.0,4.0,720,0.6,2.063888888888889,2.0,294,0.245,1.0748299319727892,1.0,2.0,349,0.29083333333333333,2.2148997134670485,2.0,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.3515778310730655
delta0.00__moderate,0.0,moderate,refreshed_calibration,carrier_refreshed_calibration,carrier,35.39,35.665,0.9193378503977934,134.7,0.0,2.0,3.0,5.898333333333333,48,0.04,1.2083333333333333,1.0,3.0,720,0.6,2.0277777777777777,2.0,290,0.24166666666666667,1.0758620689655172,1.0,3.0,334,0.2783333333333333,2.2245508982035926,2.0,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.3515778310730655
delta0.00__moderate,0.0,moderate,stale_calibration,carrier_stale_calibration,carrier,35.365,35.685,0.9177646175261774,137.46,0.0,2.0,3.0,5.894166666666667,49,0.04083333333333333,1.346938775510204,1.0,5.0,710,0.5916666666666667,2.0605633802816903,2.0,298,0.24833333333333332,1.1006711409395973,1.0,3.0,343,0.28583333333333333,2.186588921282799,2.0,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.3515778310730655
delta0.00__moderate,0.0,moderate,execution_queue_oracle,drf_execution_queue_oracle,drf,33.97,34.2,0.8932414016092102,95.54,0.0,1.0,3.0,5.661666666666667,39,0.0325,1.2564102564102564,1.0,4.0,821,0.6841666666666667,1.4214372716199757,1.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.3515778310730655
delta0.00__moderate,0.0,moderate,latent_distribution_oracle,drf_latent_distribution_oracle,drf,33.305,33.58,0.8860845921355667,118.3,0.0,1.0,3.0,5.550833333333333,74,0.06166666666666667,1.6486486486486487,1.0,6.0,796,0.6633333333333333,1.3907035175879396,1.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.3515778310730655
delta0.00__moderate,0.0,moderate,refreshed_calibration,drf_refreshed_calibration,drf,33.235,33.53,0.8865534625944861,116.915,0.0,1.0,3.0,5.539166666666667,77,0.06416666666666666,1.6623376623376624,1.0,5.0,785,0.6541666666666667,1.4,1.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.3515778310730655
delta0.00__moderate,0.0,moderate,stale_calibration,drf_stale_calibration,drf,33.255,33.53,0.8848998482545706,121.0,0.0,1.0,3.0,5.5425,71,0.059166666666666666,1.6619718309859155,1.0,5.0,780,0.65,1.4012820512820512,1.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.3515778310730655
delta0.00__moderate,0.0,moderate,,equal,equal,28.38,28.745,0.7447887688073888,425.77,0.0,1.0,2.0,4.73,0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.3515778310730655
delta0.00__high,0.0,high,execution_queue_oracle,carrier_execution_queue_oracle,carrier,26.185,26.72,0.9079282905120319,104.01,0.0,1.0,2.0,4.364166666666667,39,0.0325,1.1538461538461537,1.0,2.0,707,0.5891666666666666,1.8373408769448374,2.0,318,0.265,1.1037735849056605,1.0,3.0,394,0.3283333333333333,1.8172588832487309,1.0,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.9753892443473553
delta0.00__high,0.0,high,latent_distribution_oracle,carrier_latent_distribution_oracle,carrier,25.945,26.535,0.9026468274179709,111.82,0.0,1.0,2.0,4.324166666666667,46,0.03833333333333333,1.108695652173913,1.0,2.0,727,0.6058333333333333,1.7290233837689133,1.0,295,0.24583333333333332,1.0677966101694916,1.0,2.0,356,0.2966666666666667,1.7668539325842696,1.0,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.9753892443473553
delta0.00__high,0.0,high,refreshed_calibration,carrier_refreshed_calibration,carrier,25.91,26.465,0.9019699100866749,112.45,0.0,1.0,2.0,4.318333333333333,46,0.03833333333333333,1.1956521739130435,1.0,2.0,718,0.5983333333333334,1.7465181058495822,1.0,284,0.23666666666666666,1.1091549295774648,1.0,3.0,355,0.29583333333333334,1.8084507042253521,1.0,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.9753892443473553
delta0.00__high,0.0,high,stale_calibration,carrier_stale_calibration,carrier,25.875,26.445,0.9012346485653291,113.42,0.0,1.0,2.0,4.3125,50,0.041666666666666664,1.16,1.0,4.0,714,0.595,1.7507002801120448,1.0,306,0.255,1.0816993464052287,1.0,3.0,367,0.30583333333333335,1.7411444141689374,1.0,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.9753892443473553
delta0.00__high,0.0,high,execution_queue_oracle,drf_execution_queue_oracle,drf,24.36,24.855,0.8604758503597332,104.225,0.0025,0.0,2.0,4.06,75,0.0625,1.3466666666666667,1.0,3.0,783,0.6525,1.264367816091954,1.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.9753892443473553
delta0.00__high,0.0,high,latent_distribution_oracle,drf_latent_distribution_oracle,drf,24.375,24.83,0.8619355505983556,109.61,0.0025,0.0,2.0,4.0625,72,0.06,1.4861111111111112,1.0,4.0,802,0.6683333333333333,1.245635910224439,1.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.9753892443473553
delta0.00__high,0.0,high,refreshed_calibration,drf_refreshed_calibration,drf,24.275,24.72,0.8595520497332874,111.255,0.0025,0.0,2.0,4.045833333333333,75,0.0625,1.48,1.0,4.0,790,0.6583333333333333,1.2443037974683544,1.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.9753892443473553
delta0.00__high,0.0,high,stale_calibration,drf_stale_calibration,drf,24.335,24.805,0.8610543311376986,110.675,0.0025,0.0,2.0,4.055833333333333,83,0.06916666666666667,1.3855421686746987,1.0,4.0,801,0.6675,1.247191011235955,1.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.9753892443473553
delta0.00__high,0.0,high,,equal,equal,19.915,20.45,0.7255698745341528,313.375,0.004166666666666667,0.0,2.0,3.319166666666667,0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.11530953126139516,0.2567007087078566,0.07814741676617494,10.369099958380207,10.690038702720818,25.57541736636942,1.9753892443473553
delta0.25__moderate,0.25,moderate,execution_queue_oracle,carrier_execution_queue_oracle,carrier,35.155,35.865,0.9222679407086821,126.975,0.0,1.0,3.0,5.859166666666667,66,0.055,1.0606060606060606,1.0,2.0,601,0.5008333333333334,1.8785357737104826,1.0,306,0.255,1.1503267973856208,1.0,3.0,335,0.2791666666666667,2.0955223880597016,2.0,12.0,9.005,0.17857275009927775,0.08972416029220188,0.5105955633460387,0.05842805618839735,56.35537250824231,17.891489925845534,44.664069809550895,1.4622606636313105
delta0.25__moderate,0.25,moderate,latent_distribution_oracle,carrier_latent_distribution_oracle,carrier,34.15,34.755,0.8996416005282754,165.905,0.0,2.0,3.0,5.691666666666666,116,0.09666666666666666,1.2155172413793103,1.0,4.0,572,0.4766666666666667,1.7465034965034965,1.0,280,0.23333333333333334,1.0785714285714285,1.0,3.0,331,0.2758333333333333,1.8761329305135952,2.0,12.0,9.005,0.17857275009927775,0.08972416029220188,0.5105955633460387,0.05842805618839735,56.35537250824231,17.891489925845534,44.664069809550895,1.4622606636313105
delta0.25__moderate,0.25,moderate,refreshed_calibration,carrier_refreshed_calibration,carrier,33.945,34.58,0.8962732249514133,170.83,0.0,2.0,3.0,5.6575,141,0.1175,1.2127659574468086,1.0,4.0,561,0.4675,1.7611408199643495,1.0,288,0.24,1.0625,1.0,3.0,327,0.2725,1.8960244648318043,2.0,12.0,9.005,0.17857275009927775,0.08972416029220188,0.5105955633460387,0.05842805618839735,56.35537250824231,17.891489925845534,44.664069809550895,1.4622606636313105
delta0.25__moderate,0.25,moderate,stale_calibration,carrier_stale_calibration,carrier,33.37,34.21,0.8864959590056578,190.715,0.0,1.0,3.0,5.5616666666666665,213,0.1775,1.5821596244131455,1.0,5.0,571,0.47583333333333333,1.819614711033275,1.0,259,0.21583333333333332,1.135135135135135,1.0,4.0,311,0.25916666666666666,1.977491961414791,2.0,12.0,9.005,0.17857275009927775,0.08972416029220188,0.5105955633460387,0.05842805618839735,56.35537250824231,17.891489925845534,44.664069809550895,1.4622606636313105
delta0.25__moderate,0.25,moderate,execution_queue_oracle,drf_execution_queue_oracle,drf,33.405,34.055,0.8816143006445575,111.89,0.0,1.0,3.0,5.5675,115,0.09583333333333334,1.3478260869565217,1.0,3.0,667,0.5558333333333333,1.2953523238380809,1.0,,,,,,,,,,12.0,9.005,0.17857275009927775,0.08972416029220188,0.5105955633460387,0.05842805618839735,56.35537250824231,17.891489925845534,44.664069809550895,1.4622606636313105
delta0.25__moderate,0.25,moderate,latent_distribution_oracle,drf_latent_distribution_oracle,drf,32.555,33.14,0.8698231251471753,152.26,0.0,1.0,3.0,5.425833333333333,147,0.1225,1.5510204081632653,1.0,5.0,631,0.5258333333333334,1.2155309033280508,1.0,,,,,,,,,,12.0,9.005,0.17857275009927775,0.08972416029220188,0.5105955633460387,0.05842805618839735,56.35537250824231,17.891489925845534,44.664069809550895,1.4622606636313105
delta0.25__moderate,0.25,moderate,refreshed_calibration,drf_refreshed_calibration,drf,32.375,33.025,0.8663220041201868,154.745,0.0,1.0,3.0,5.395833333333333,160,0.13333333333333333,1.55,1.0,4.0,619,0.5158333333333334,1.2132471728594507,1.0,,,,,,,,,,12.0,9.005,0.17857275009927775,0.08972416029220188,0.5105955633460387,0.05842805618839735,56.35537250824231,17.891489925845534,44.664069809550895,1.4622606636313105
delta0.25__moderate,0.25,moderate,stale_calibration,drf_stale_calibration,drf,31.765,32.375,0.8637350254958162,158.535,0.0,1.0,3.0,5.2941666666666665,239,0.19916666666666666,1.6945606694560669,1.0,6.0,583,0.48583333333333334,1.3481989708404802,1.0,,,,,,,,,,12.0,9.005,0.17857275009927775,0.08972416029220188,0.5105955633460387,0.05842805618839735,56.35537250824231,17.891489925845534,44.664069809550895,1.4622606636313105
