cell,delta,contention,seed,arm,policy_kind,declaration_source,solver_status,feasible,fallback_used,queue_order_completion_mean,queue_order_tasks_per_run,best_subset_completion_mean,best_subset_tasks_per_run,frac_zero_qo,frac_zero_bs,capacity_utilization,unused_installed_total,capacity_violation,bound_violation,alloc_latency_ms
delta0.00__high,0.0,high,19063083,carrier_execution_queue_oracle,carrier,execution_queue_oracle,optimal,True,False,0.4375,21.0,0.4375,21.0,0.0,0.0,0.878419452887538,120,0,0,635
delta0.00__high,0.0,high,19063083,carrier_latent_distribution_oracle,carrier,latent_distribution_oracle,optimal,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.9290780141843972,69,0,0,655
delta0.00__high,0.0,high,19063083,carrier_refreshed_calibration,carrier,refreshed_calibration,optimal,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.9290780141843972,68,0,0,624
delta0.00__high,0.0,high,19063083,carrier_stale_calibration,carrier,stale_calibration,optimal,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.9290780141843972,69,0,0,630
delta0.00__high,0.0,high,19063083,drf_execution_queue_oracle,drf,execution_queue_oracle,drf,True,False,0.3958333333333333,19.0,0.3958333333333333,19.0,0.16666666666666666,0.16666666666666666,0.8237082066869301,113,0,0,0
delta0.00__high,0.0,high,19063083,drf_latent_distribution_oracle,drf,latent_distribution_oracle,drf,True,False,0.3958333333333333,19.0,0.3958333333333333,19.0,0.16666666666666666,0.16666666666666666,0.8237082066869301,97,0,0,0
delta0.00__high,0.0,high,19063083,drf_refreshed_calibration,drf,refreshed_calibration,drf,True,False,0.3958333333333333,19.0,0.3958333333333333,19.0,0.16666666666666666,0.16666666666666666,0.8237082066869301,96,0,0,0
delta0.00__high,0.0,high,19063083,drf_stale_calibration,drf,stale_calibration,drf,True,False,0.3958333333333333,19.0,0.3958333333333333,19.0,0.16666666666666666,0.16666666666666666,0.8237082066869301,96,0,0,0
delta0.00__high,0.0,high,19063083,equal,equal,,equal,True,False,0.375,18.0,0.375,18.0,0.16666666666666666,0.16666666666666666,0.7051671732522796,291,0,0,0
delta0.00__high,0.0,high,27327381,carrier_execution_queue_oracle,carrier,execution_queue_oracle,optimal,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.9094903339191565,100,0,0,647
