cell,delta,contention,comparison,mean_tasks,ci_lo_tasks,ci_hi_tasks,n
delta0.00__moderate,0.0,moderate,carrier_minus_drf_stale_calibration,2.1100,1.8550,2.3650,200
delta0.00__moderate,0.0,moderate,carrier_minus_drf_refreshed_calibration,2.1550,1.8900,2.4150,200
delta0.00__moderate,0.0,moderate,carrier_minus_drf_latent_distribution_oracle,2.2850,2.0550,2.5250,200
delta0.00__moderate,0.0,moderate,carrier_minus_drf_execution_queue_oracle,2.1550,1.8800,2.4300,200
delta0.00__moderate,0.0,moderate,carrier_stale_minus_refreshed,-0.0250,-0.2000,0.1500,200
delta0.00__moderate,0.0,moderate,drf_stale_minus_refreshed,0.0200,-0.1900,0.2300,200
delta0.00__moderate,0.0,moderate,difference_in_differences,-0.0450,-0.2850,0.1950,200
delta0.00__moderate,0.0,moderate,best_subset_carrier_minus_drf_stale,2.1550,1.9200,2.3900,200
delta0.00__high,0.0,high,carrier_minus_drf_stale_calibration,1.5400,1.2650,1.8200,200
delta0.00__high,0.0,high,carrier_minus_drf_refreshed_calibration,1.6350,1.3500,1.9200,200
delta0.00__high,0.0,high,carrier_minus_drf_latent_distribution_oracle,1.5700,1.3000,1.8400,200
delta0.00__high,0.0,high,carrier_minus_drf_execution_queue_oracle,1.8250,1.5300,2.1200,200
delta0.00__high,0.0,high,carrier_stale_minus_refreshed,-0.0350,-0.2050,0.1301,200
delta0.00__high,0.0,high,drf_stale_minus_refreshed,0.0600,-0.1000,0.2200,200
delta0.00__high,0.0,high,difference_in_differences,-0.0950,-0.3000,0.1150,200
delta0.00__high,0.0,high,best_subset_carrier_minus_drf_stale,1.6400,1.3600,1.9150,200
delta0.25__moderate,0.25,moderate,carrier_minus_drf_stale_calibration,1.6050,1.3100,1.8950,200
delta0.25__moderate,0.25,moderate,carrier_minus_drf_refreshed_calibration,1.5700,1.3000,1.8650,200
delta0.25__moderate,0.25,moderate,carrier_minus_drf_latent_distribution_oracle,1.5950,1.3300,1.8900,200
delta0.25__moderate,0.25,moderate,carrier_minus_drf_execution_queue_oracle,1.7500,1.4700,2.0200,200
delta0.25__moderate,0.25,moderate,carrier_stale_minus_refreshed,-0.5750,-0.9050,-0.2400,200
delta0.25__moderate,0.25,moderate,drf_stale_minus_refreshed,-0.6100,-0.9750,-0.2350,200
delta0.25__moderate,0.25,moderate,difference_in_differences,0.0350,-0.3500,0.4100,200
delta0.25__moderate,0.25,moderate,best_subset_carrier_minus_drf_stale,1.8350,1.6250,2.0450,200
delta0.25__high,0.25,high,carrier_minus_drf_stale_calibration,1.5000,1.2250,1.7700,200
delta0.25__high,0.25,high,carrier_minus_drf_refreshed_calibration,1.2700,0.9850,1.5650,200
delta0.25__high,0.25,high,carrier_minus_drf_latent_distribution_oracle,1.3300,1.0300,1.6350,200
delta0.25__high,0.25,high,carrier_minus_drf_execution_queue_oracle,1.4450,1.1600,1.7200,200
delta0.25__high,0.25,high,carrier_stale_minus_refreshed,0.4500,0.1300,0.7650,200
delta0.25__high,0.25,high,drf_stale_minus_refreshed,0.2200,-0.1150,0.5550,200
delta0.25__high,0.25,high,difference_in_differences,0.2300,-0.1150,0.5650,200
delta0.25__high,0.25,high,best_subset_carrier_minus_drf_stale,1.5700,1.3200,1.8100,200
delta0.50__moderate,0.5,moderate,carrier_minus_drf_stale_calibration,1.1950,0.8900,1.5000,200
delta0.50__moderate,0.5,moderate,carrier_minus_drf_refreshed_calibration,1.1350,0.8250,1.4550,200
delta0.50__moderate,0.5,moderate,carrier_minus_drf_latent_distribution_oracle,1.3650,1.0400,1.7250,200
delta0.50__moderate,0.5,moderate,carrier_minus_drf_execution_queue_oracle,1.5850,1.2650,1.9250,200
delta0.50__moderate,0.5,moderate,carrier_stale_minus_refreshed,-1.9050,-2.3750,-1.4300,200
delta0.50__moderate,0.5,moderate,drf_stale_minus_refreshed,-1.9650,-2.4500,-1.4550,200
delta0.50__moderate,0.5,moderate,difference_in_differences,0.0600,-0.3650,0.4800,200
delta0.50__moderate,0.5,moderate,best_subset_carrier_minus_drf_stale,1.3500,1.1150,1.5850,200
delta0.50__high,0.5,high,carrier_minus_drf_stale_calibration,1.1950,0.9300,1.4551,200
delta0.50__high,0.5,high,carrier_minus_drf_refreshed_calibration,1.3600,1.0650,1.6650,200
delta0.50__high,0.5,high,carrier_minus_drf_latent_distribution_oracle,1.4950,1.1700,1.8350,200
delta0.50__high,0.5,high,carrier_minus_drf_execution_queue_oracle,1.6100,1.2850,1.9450,200
delta0.50__high,0.5,high,carrier_stale_minus_refreshed,-0.1750,-0.5500,0.2000,200
delta0.50__high,0.5,high,drf_stale_minus_refreshed,-0.0100,-0.4300,0.4300,200
delta0.50__high,0.5,high,difference_in_differences,-0.1650,-0.5300,0.1900,200
delta0.50__high,0.5,high,best_subset_carrier_minus_drf_stale,1.3300,1.1000,1.5550,200
delta0.75__moderate,0.75,moderate,carrier_minus_drf_stale_calibration,1.0900,0.7900,1.3950,200
delta0.75__moderate,0.75,moderate,carrier_minus_drf_refreshed_calibration,1.7100,1.3950,2.0350,200
delta0.75__moderate,0.75,moderate,carrier_minus_drf_latent_distribution_oracle,1.7700,1.4750,2.0650,200
delta0.75__moderate,0.75,moderate,carrier_minus_drf_execution_queue_oracle,1.5450,1.2400,1.8600,200
delta0.75__moderate,0.75,moderate,carrier_stale_minus_refreshed,-4.2450,-4.8300,-3.6500,200
delta0.75__moderate,0.75,moderate,drf_stale_minus_refreshed,-3.6250,-4.1600,-3.0850,200
delta0.75__moderate,0.75,moderate,difference_in_differences,-0.6200,-1.0500,-0.1850,200
delta0.75__moderate,0.75,moderate,best_subset_carrier_minus_drf_stale,1.3250,1.0750,1.5850,200
delta0.75__high,0.75,high,carrier_minus_drf_stale_calibration,0.7850,0.5300,1.0400,200
delta0.75__high,0.75,high,carrier_minus_drf_refreshed_calibration,1.8700,1.5750,2.1850,200
delta0.75__high,0.75,high,carrier_minus_drf_latent_distribution_oracle,1.8750,1.5850,2.1750,200
delta0.75__high,0.75,high,carrier_minus_drf_execution_queue_oracle,1.9250,1.6250,2.2400,200
delta0.75__high,0.75,high,carrier_stale_minus_refreshed,-2.4050,-2.8600,-1.9600,200
delta0.75__high,0.75,high,drf_stale_minus_refreshed,-1.3200,-1.8250,-0.8100,200
delta0.75__high,0.75,high,difference_in_differences,-1.0850,-1.4350,-0.7300,200
delta0.75__high,0.75,high,best_subset_carrier_minus_drf_stale,0.8500,0.6300,1.0700,200
delta1.00__moderate,1.0,moderate,carrier_minus_drf_stale_calibration,1.2250,0.9500,1.5050,200
delta1.00__moderate,1.0,moderate,carrier_minus_drf_refreshed_calibration,1.6750,1.3950,1.9550,200
delta1.00__moderate,1.0,moderate,carrier_minus_drf_latent_distribution_oracle,1.6350,1.3650,1.9100,200
delta1.00__moderate,1.0,moderate,carrier_minus_drf_execution_queue_oracle,1.5600,1.2500,1.8750,200
delta1.00__moderate,1.0,moderate,carrier_stale_minus_refreshed,-7.5050,-8.2400,-6.7900,200
delta1.00__moderate,1.0,moderate,drf_stale_minus_refreshed,-7.0550,-7.6900,-6.4300,200
delta1.00__moderate,1.0,moderate,difference_in_differences,-0.4500,-0.8250,-0.0750,200
delta1.00__moderate,1.0,moderate,best_subset_carrier_minus_drf_stale,1.3600,1.0950,1.6300,200
delta1.00__high,1.0,high,carrier_minus_drf_stale_calibration,0.7800,0.5400,1.0200,200
delta1.00__high,1.0,high,carrier_minus_drf_refreshed_calibration,1.9750,1.6950,2.2550,200
delta1.00__high,1.0,high,carrier_minus_drf_latent_distribution_oracle,1.9200,1.6500,2.1900,200
delta1.00__high,1.0,high,carrier_minus_drf_execution_queue_oracle,1.9750,1.7000,2.2600,200
delta1.00__high,1.0,high,carrier_stale_minus_refreshed,-5.8900,-6.4550,-5.3350,200
delta1.00__high,1.0,high,drf_stale_minus_refreshed,-4.6950,-5.2450,-4.1550,200
delta1.00__high,1.0,high,difference_in_differences,-1.1950,-1.5450,-0.8500,200
delta1.00__high,1.0,high,best_subset_carrier_minus_drf_stale,0.8050,0.5700,1.0400,200
