cell,policy,mean,min,p5,frac_zero,frac_worse_than_equal,worst_change_vs_equal,cap_util,unused_installed,n_agents
dirichlet_0.1__moderate,equal,0.7038541666666667,0.25,0.375,0.0,0.0,0.0,0.8790023250434976,199.55,1200
dirichlet_0.1__moderate,drf,0.7209375,0.0,0.375,0.0008333333333333334,0.21833333333333332,-0.625,0.9031247671083428,85.495,1200
dirichlet_0.1__moderate,joint_leontief,0.775,0.25,0.375,0.0,0.049166666666666664,-0.375,0.9496138237956171,79.975,1200
dirichlet_0.1__moderate,joint_cobb_douglas,0.7611458333333333,0.125,0.375,0.0,0.07583333333333334,-0.5,0.9335050822298331,107.56,1200
dirichlet_0.1__moderate,joint_ces,0.6721875,0.0,0.25,0.0033333333333333335,0.2625,-0.625,0.8274438320348461,275.58,1200
dirichlet_0.1__high,equal,0.47333333333333333,0.125,0.25,0.0,0.0,0.0,0.8242454038909571,199.835,1200
dirichlet_0.1__high,drf,0.5083333333333333,0.0,0.25,0.004166666666666667,0.1875,-0.5,0.8639396368693668,102.52,1200
dirichlet_0.1__high,joint_leontief,0.5452083333333333,0.125,0.25,0.0,0.07,-0.25,0.9118142418339584,98.785,1200
dirichlet_0.1__high,joint_cobb_douglas,0.5433333333333333,0.125,0.25,0.0,0.115,-0.25,0.8801539641869516,136.365,1200
dirichlet_0.1__high,joint_ces,0.4553125,0.0,0.125,0.0325,0.32,-0.375,0.7265942837409655,308.22,1200
